Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;Last Trend
China Chongqing;28846170;82300;576;1.9967988818;;;;;;;;0.6574960151;0.4301008448;0.3048961515;0.2222065264;0.1920107662;0.1814895944;0.1767598302;0.1674190969;0.1429064038;0.1136720909;0.0851994158;0.0597352929;0.0489437611;0.0434037017;0.0444585404;0.0450803416;0.0409145171;0.0346936494;0.0249263203;0.0197829078;0.0151176351;0.0116325676;0.0088870385;0.0075728564;0.0076484539;0.0078928019;0.0077042731;0.006184951;0.0040948502;0.0023283045;0.0011607681;0.0005795424;0.0001447283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
China Fujian;36894216;121580;303;0.8212669433;;;;;;;;0.8159643415;0.6123069676;0.4321098477;0.2846075027;0.2034717606;0.1735696676;0.1613156832;0.1492193987;0.121782714;0.0976326094;0.0751268483;0.0625014108;0.0538782045;0.0512916695;0.0483913581;0.0422336078;0.034941837;0.0262791734;0.020867265;0.0161662371;0.0131843911;0.0109370481;0.0087599606;0.0072479013;0.0048943451;0.0028645381;0.0011409032;0.0002846165;0.0002842929;0.0005683435;0.0014190471;0.0019849807;0.0022650202;0.0019804878;0.0011293073;0.000563857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0008435267;0.0028035038;0.0133779264
China Gansu;25575254;454300;134;0.5239439655;;;;;;;;;0.6337899385;0.5178415409;0.3332812469;0.2414118981;0.2045548971;0.2060795154;0.1985057674;0.1633393296;0.1082157861;0.0694737463;0.0628425499;0.0710791334;0.0786284656;0.0717458077;0.0532807757;0.0352138328;0.0217303504;0.0173978273;0.0134001161;0.0075193264;0.0046491258;0.0027662782;0.0027662782;0.0018399342;0.0009178532;0;0;0;0;0;0;0;0;0;0;0;0.0099245355;0.0339463079;0.0571775525;0.0738311415;0.0669212612;0.0456553395;0.0247274415;0.0108416925;0.0087168819;0.0066360641;0.0085337567;0.0103910054;0.011607359;0.0102841288;0.006995657;0.0037760269;0.0018744225;0
China Guangdong;104303132;180000;1400;1.3422415733;;;;;;;;0.4337138016;0.4049036157;0.3641344072;0.3309795281;0.2964648867;0.2604915809;0.2257990441;0.1941910957;0.1640765958;0.1368921364;0.1125813376;0.0931769367;0.0758924819;0.0603201754;0.0457464684;0.0349145843;0.0277356587;0.0239417454;0.0229233459;0.0215176893;0.019688572;0.0160691371;0.0119673331;0.0076614384;0.0040445719;0.0023868017;0.0020659327;0.0021852595;0.0023689462;0.0021781876;0.0016773892;0.0009920647;0.000619157;0.0004329943;0.0004327801;0.0004326731;0.0003707137;0.000308804;0.0003086515;0.0003702562;0.0003701648;0.0003084231;0.0002466396;0.0003697086;0.0005542727;0.0007388258;0.0006771527;0.0006764863;0.0007371918;0.0010431062;0.0016551781;0.0024468008;0.0040227545;0.0053425893;0.0035842294
China Guangxi;46026629;236000;254;0.5518544493;;;;;;;;0.4510507318;0.3203539849;0.2288728196;0.2071990667;0.18808786;0.1775277251;0.1594947149;0.1402737373;0.1193395888;0.112820158;0.0972860171;0.0852757142;0.0723025523;0.0650384366;0.0605933564;0.0546312794;0.0462384612;0.0331761425;0.0244888911;0.0191492413;0.0188100808;0.0170939904;0.0146808537;0.0116155317;0.0086889137;0.0079248229;0.0068356679;0.0060999101;0.0057328263;0.0050294964;0.0040080964;0.0023283045;0.0013271429;0.0003309615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0003305239;0.0006607205;0.0009905906;0.0013201349;0.0013183944;0
China Guizhou;34746468;176000;146;0.4201865928;;;;;;;;0.316074013;0.2574334297;0.2574334297;0.3295739742;0.3512001548;0.3998542046;0.3931224702;0.2981640708;0.2446659546;0.1907525466;0.1758280787;0.1413850362;0.1248917964;0.1137809489;0.1159577793;0.112377846;0.1008070541;0.0826197073;0.0568974953;0.0371710289;0.0232286699;0.0167322085;0.0117528984;0.0063789839;0.0028744188;0.0011448216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0005702882;0.0005702882;0.0005702882;0;-0.0005699632;0
China Hainan;9171300;34000;168;1.8318013804;;;;;;;;0.5375125556;0.3798345105;0.2737916791;0.1748890285;0.1391976866;0.1129880548;0.113060754;0.1125221326;0.1191503496;0.1248800497;0.1292696866;0.1258199257;0.1033601756;0.0836447283;0.0642007116;0.0605563811;0.0533692458;0.047411041;0.0372166059;0.0241667039;0.0154671315;0.0078355428;0.0082651656;0.0081806406;0.008614933;0.008097827;0.0050227597;0.002495652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
China Hebei;71854202;187700;318;0.4425628441;;;;;;;;1;0.7320508076;0.5872899077;0.4953487812;0.3959072887;0.2991325925;0.2100348274;0.151635058;0.113823386;0.1033969861;0.1034265024;0.111755513;0.1125531173;0.1031348166;0.0933240135;0.0781408282;0.0713912185;0.0658940369;0.0606256067;0.0540702202;0.0425682038;0.0322030237;0.0213561403;0.0126305365;0.0080305492;0.004653198;0.0040822729;0.0032485539;0.0032415336;0.0026947159;0.0032171997;0.0042690405;0.0053165084;0.0053108612;0.0037027875;0.0018428405;0.0002622263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
China Heilongjiang;38312224;454000;484;1.2633043699;;;;;;;;;0.5737079619;0.4235900774;0.3304594719;0.2761464002;0.262865234;0.2666262017;0.2736165658;0.2632337107;0.2503887075;0.2374194551;0.2114157546;0.1719274844;0.1301117847;0.0950722348;0.0754933551;0.0655166947;0.0631600598;0.0555655096;0.0478974971;0.0403039638;0.0346503547;0.0293521024;0.0226842058;0.0179723581;0.0122192982;0.0083421903;0.0051026553;0.0026212545;0.0010443878;0.0003475239;0.0001736865;0;0;0;0;0;0.0001735659;0.0003470415;0.0005204269;0.0005204269;0.0003468008;0.0001733253;0.0001732052;0.0003463204;0.0005193458;0.0005193458;0.0003460807;0.0001729655;0;0;0.0001728459;0.0005182692;0.000863335;0
China Henan;94023567;167000;1273;1.3539158752;;;;;;;;1.1133498738;0.817550437;0.5142810155;0.361914993;0.2907559404;0.2604285285;0.2276564946;0.2000813979;0.1749642676;0.1594838846;0.1431374235;0.1217933468;0.0992948006;0.0775198682;0.0615070162;0.0480457128;0.0387570449;0.0310030776;0.0264901992;0.0228961168;0.019930111;0.0171838574;0.0137394828;0.0106502623;0.0070410356;0.0045219932;0.0028430979;0.0018447832;0.0012496325;0.0007225201;0.000393675;0.0001966891;0.0001966375;0.0001966375;0.0001310702;0.0000655244;0;0;0;0;0;0;0;0.0000655072;0.0001310015;0.000196483;0.000196483;0.0001309672;0.0000654729;0;0;0;0;0;0
