Country/Region;Population;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16
China Shanxi;35712111;;0;0;0;0;0;0;0;1;0;0;0;2;-1;2;1;7;3;6;4;0;5;3;3;2;8;4;3;8;7;8;2;3;7;6;4;6;3;5;2;2;3;5;0;2;0;0;0;1;4;0;1;1;0;0;0
China Sichuan;80418200;;0;0;0;0;0;0;0;1;0;0;2;8;3;0;10;7;11;18;11;9;5;7;12;10;5;12;25;13;19;29;14;19;11;15;13;18;14;17;13;14;21;8;12;19;17;12;10;2;12;10;10;5;8;5;0
China Tianjin;12938224;;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;4;2;1;10;10;6;8;1;2;6;5;3;3;16;6;4;5;6;0;7;2;0;13;0;4;0;0;0;2;1;0;1;0;0;1;0
China Tibet;3002166;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
China Xinjiang;21813334;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;4;2;0;0;8;2;2;1;3;2;0;4;9;9;10;2;2;2;1;1;1;1;1;0;0;0;0;0;0;0;0
China Yunnan;45966239;;0;0;0;0;0;0;0;0;0;1;1;1;2;0;0;2;5;5;1;1;1;6;1;9;6;0;5;10;3;19;17;11;8;9;5;15;6;6;1;6;5;1;0;0;1;0;0;0;0;0;0;0;2;0;0
China Zhejiang;54426891;;0;0;1;0;0;0;2;0;1;10;7;11;11;19;16;16;29;52;26;41;28;51;39;43;25;28;51;28;69;29;46;40;41;22;26;59;65;43;41;30;23;24;21;10;23;7;7;15;15;4;2;0;14;0;5
Colombia;50882891;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Congo (Brazzaville);5518087;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Congo (Kinshasa);81340000;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
