country;WBK Y2016;WBK Y2017;WBK Y2018;WBK Y2019;WBK Y2020;WBK Y2021;IMF Y2019;IMF Y2020;IMF Y2021;IMF Y2022;IMF Y2023;IMF Y2024;IMF Y2025;IMF Y2026;Delta Y2019;Delta Y2020;Delta Y2021
Tanzania;6.9;6.8;6;5.4;5.7;6.1;;;2.7;4.6;4.7;5;5.5;5.5;;;-3.4
Thailand;3.4;4;4.1;3.5;3.6;3.7;;;2.6;5.6;3.8;3.5;3.6;3.6;;;-1.1
Timor-Leste;5.1;-3.5;-0.7;3.9;4.6;5;;;2.8;4.9;2.6;2;2.8;3;;;-2.2
Togo;5.2;4.3;4.9;5;5.2;5.1;;;3.5;4.5;5;5.5;5.5;5.5;;;-1.6
Tonga;;;;;;;0.7;-0.5;-2.5;2.5;3.5;3;2;1.8;;;
Trinidad and Tobago;-6.5;-1.9;0.7;0.9;1.5;2.1;;;2.1;4.1;2.1;1.5;1.5;1.5;;;0
Tunisia;1.1;2;2.5;2.7;3.2;3.5;;;3.8;2.4;2;1.8;1.8;1.8;;;0.3
Turkey;3.2;7.4;2.6;-1;3;4;;;6;3.5;3.5;3.5;3.5;3.5;;;2
Turkmenistan;6.2;6.5;6.2;5.6;5.1;4.9;;;4.6;3.9;3.9;3.9;3.8;3.7;;;-0.3
Tuvalu;;;;;;;6;0.5;2.5;3.5;3.8;4;4;4;;;
Uganda;4.6;3.9;5.9;6.1;6.5;5.8;;;6.3;5;5.5;6.5;7;6.4;;;0.5
Ukraine;2.4;2.5;3.3;2.7;3.4;3.8;;;4;3.4;3.4;3.8;4;4;;;0.2
United Arab Emirates;3;0.8;1.7;2.6;3;3.2;;;3.1;2.6;2.6;2.6;2.6;2.6;;;-0.1
United Kingdom;;;;;;;1.4;-9.9;5.3;5.1;2;1.8;1.5;1.4;;;
United States;1.6;2.2;2.9;2.5;1.7;1.6;;;6.4;3.5;1.4;1.5;1.6;1.6;;;4.8
Uruguay;1.7;2.6;1.6;1.5;2.3;2.5;;;3;3.1;2.7;2.6;2.3;2.3;;;0.5
Uzbekistan;6.1;4.5;5.1;5.3;5.5;6;;;5;5.3;5.5;5.5;5.5;5.5;;;-1
Vanuatu;;;;;;;3.3;-9.2;3.2;4.6;3.8;3.2;3.2;2.7;;;
Venezuela;;;;;;;-35;-30;-10;-5;0;0;0;0;;;
Vietnam;6.2;6.8;7.1;6.6;6.5;6.5;;;6.5;7.2;7;6.8;6.6;6.6;;;0
West Bank and Gaza;4.7;3.1;0.9;0.5;1;1.6;;;5.7;7;3.8;2.4;2;2;;;4.1
World;2.6;3.1;3;2.6;2.7;2.8;;;6;4.4;3.5;3.4;3.3;3.3;;;3.2
Yemen;;;;;;;2.1;-5;0.5;2.5;7;6.5;6;5.5;;;
Zambia;3.6;3.4;3.5;2.5;2.8;2.8;;;0.6;1.1;1.4;1.6;1.6;1.6;;;-2.2
Zimbabwe;0.8;4.7;3.5;-3.1;3.5;4.9;;;3.1;4;2.5;2.5;2.5;2.5;;;-1.8
