#;Company;Symbol;Weight sp500;      Price;Chg;% Chg
195;HP Inc.;HPQ;0.106384;  37.09;0.00;(0.00%)
196;Baxter International Inc.;BAX;0.106092;  79.12;0.00;(0.00%)
197;DuPont de Nemours Inc.;DD;0.105119;  76.71;0.00;(0.00%)
198;Motorola Solutions Inc.;MSI;0.104425;  233.09;0.00;(0.00%)
199;Digital Realty Trust Inc.;DLR;0.104325;  138.99;0.00;(0.00%)
200;Global Payments Inc.;GPN;0.103612;  135.00;0.00;(0.00%)
201;Nucor Corporation;NUE;0.103218;  136.16;0.00;(0.00%)
202;Aflac Incorporated;AFL;0.102452;  62.95;0.00;(0.00%)
203;General Mills Inc.;GIS;0.102412;  62.77;0.36;(0.58%)
204;Williams Companies Inc.;WMB;0.10236;  31.46;0.00;(0.00%)
205;Kroger Co.;KR;0.101135;  55.86;0.04;(0.07%)
206;ResMed Inc.;RMD;0.100766;  261.47;0.00;(0.00%)
207;Realty Income Corporation;O;0.100708;  66.88;0.00;(0.00%)
208;Allstate Corporation;ALL;0.10045;  133.50;0.00;(0.00%)
209;Xcel Energy Inc.;XEL;0.100279;  68.87;0.08;(0.12%)
210;Trane Technologies plc;TT;0.099928;  158.72;0.00;(0.00%)
211;Parker-Hannifin Corporation;PH;0.099619;  290.39;0.00;(0.00%)
212;Constellation Brands Inc. Class A;STZ;0.09749;  225.25;-0.68;(-0.30%)
213;Valero Energy Corporation;VLO;0.097326;  90.43;0.00;(0.00%)
214;Phillips 66;PSX;0.097082;  78.77;0.01;(0.01%)
215;Devon Energy Corporation;DVN;0.096769;  58.49;0.22;(0.38%)
216;SBA Communications Corp. Class A;SBAC;0.096633;  330.63;0.00;(0.00%)
217;Electronic Arts Inc.;EA;0.0952;  126.40;0.12;(0.10%)
218;Dollar Tree Inc.;DLTR;0.093392;  157.16;-0.01;(-0.01%)
219;Yum! Brands Inc.;YUM;0.093356;  121.55;-0.44;(-0.36%)
220;eBay Inc.;EBAY;0.093243;  56.24;0.22;(0.39%)
221;TransDigm Group Incorporated;TDG;0.092767;  661.36;0.00;(0.00%)
222;Cintas Corporation;CTAS;0.0923;  401.50;1.13;(0.28%)
223;AvalonBay Communities Inc.;AVB;0.09177;  245.38;0.00;(0.00%)
224;Public Service Enterprise Group Inc;PEG;0.091534;  66.80;0.00;(0.00%)
225;Kinder Morgan Inc Class P;KMI;0.091458;  17.43;0.07;(0.40%)
226;Arthur J. Gallagher & Co.;AJG;0.091129;  167.37;0.00;(0.00%)
227;Walgreens Boots Alliance Inc;WBA;0.091075;  47.30;-0.06;(-0.13%)
228;Ameriprise Financial Inc.;AMP;0.089807;  300.82;0.00;(0.00%)
229;Discover Financial Services;DFS;0.089121;  115.84;0.00;(0.00%)
230;SVB Financial Group;SIVB;0.088437;  570.44;0.00;(0.00%)
231;T. Rowe Price Group;TROW;0.08839;  147.70;0.95;(0.65%)
232;Ross Stores Inc.;ROST;0.088017;  93.33;0.00;(0.00%)
233;Fastenal Company;FAST;0.087752;  57.99;0.12;(0.21%)
234;Verisk Analytics Inc;VRSK;0.087244;  208.24;0.00;(0.00%)
235;Otis Worldwide Corporation;OTIS;0.087121;  77.98;0.00;(0.00%)
236;International Flavors & Fragrances Inc.;IFF;0.086234;  129.13;0.00;(0.00%)
237;State Street Corporation;STT;0.08603;  88.93;0.00;(0.00%)
238;Mettler-Toledo International Inc.;MTD;0.085776;  1,405.23;0.00;(0.00%)
239;Fifth Third Bancorp;FITB;0.085527;  46.68;-0.01;(-0.02%)
240;Halliburton Company;HAL;0.085358;  36.19;0.15;(0.42%)
241;Consolidated Edison Inc.;ED;0.085236;  88.70;0.00;(0.00%)
242;Rockwell Automation Inc.;ROK;0.084024;  275.83;0.00;(0.00%)
243;PACCAR Inc;PCAR;0.083747;  88.67;0.00;(0.00%)
244;Aptiv PLC;APTV;0.083636;  118.70;0.00;(0.00%)
245;Align Technology Inc.;ALGN;0.083529;  442.40;-0.47;(-0.11%)
246;AMETEK Inc.;AME;0.082011;  134.76;0.00;(0.00%)
247;Baker Hughes Company Class A;BKR;0.081864;  35.56;0.27;(0.77%)
248;CBRE Group Inc. Class A;CBRE;0.081689;  91.09;0.00;(0.00%)
249;PPG Industries Inc.;PPG;0.081603;  130.67;-0.26;(-0.20%)
250;Equity Residential;EQR;0.081323;  89.00;0.00;(0.00%)
251;First Republic Bank;FRC;0.081081;  170.51;0.00;(0.00%)
252;Old Dominion Freight Line Inc.;ODFL;0.080888;  328.85;0.55;(0.17%)
253;WEC Energy Group Inc;WEC;0.080729;  94.68;0.00;(0.00%)
254;Biogen Inc.;BIIB;0.080694;  203.66;-4.91;(-2.35%)
255;Hershey Company;HSY;0.080297;  206.73;0.00;(0.00%)
256;West Pharmaceutical Services Inc.;WST;0.080061;  416.00;1.31;(0.32%)
257;Ball Corporation;BLL;0.079929;  93.00;0.00;(0.00%)
258;ONEOK Inc.;OKE;0.079628;  67.34;0.34;(0.51%)
259;Twitter Inc.;TWTR;0.079525;  37.77;0.00;(0.00%)
260;Weyerhaeuser Company;WY;0.079146;  39.99;0.00;(0.00%)
261;Cummins Inc.;CMI;0.078813;  206.75;0.00;(0.00%)
262;Equifax Inc.;EFX;0.077916;  241.11;0.00;(0.00%)
263;Monster Beverage Corporation;MNST;0.077906;  80.70;0.11;(0.14%)
264;Willis Towers Watson Public Limited Company;WTW;0.077668;  236.00;0.00;(0.00%)
265;Corning Inc;GLW;0.077429;  38.04;0.02;(0.05%)
266;Eversource Energy;ES;0.077377;  83.43;0.00;(0.00%)
267;Keysight Technologies Inc;KEYS;0.077168;  161.41;0.00;(0.00%)
268;American Water Works Company Inc.;AWK;0.076358;  158.72;0.00;(0.00%)
269;Arista Networks Inc.;ANET;0.07566;  131.25;0.00;(0.00%)
270;Expedia Group Inc.;EXPE;0.075042;  192.71;-0.47;(-0.24%)
271;Cerner Corporation;CERN;0.074053;  93.64;0.00;(0.00%)
272;Republic Services Inc.;RSG;0.073855;  132.00;0.51;(0.39%)
273;Alexandria Real Estate Equities Inc.;ARE;0.073243;  195.64;0.00;(0.00%)
274;Copart Inc.;CPRT;0.072872;  129.24;0.00;(0.00%)
275;D.R. Horton Inc.;DHI;0.072457;  85.74;0.00;(0.00%)
276;Match Group Inc.;MTCH;0.072182;  102.69;0.00;(0.00%)
277;LyondellBasell Industries NV;LYB;0.072173;  102.20;-0.23;(-0.22%)
278;ANSYS Inc.;ANSS;0.072059;  318.56;-0.04;(-0.01%)
279;Kraft Heinz Company;KHC;0.07155;  37.71;0.09;(0.24%)
280;Hess Corporation;HES;0.071458;  98.02;0.61;(0.63%)
281;Tractor Supply Company;TSCO;0.071068;  234.50;0.97;(0.42%)
282;Laboratory Corporation of America Holdings;LH;0.070242;  275.00;-0.23;(-0.08%)
283;Extra Space Storage Inc.;EXR;0.0701;  194.42;0.00;(0.00%)
284;Tyson Foods Inc. Class A;TSN;0.069802;  87.49;0.35;(0.40%)
285;Zimmer Biomet Holdings Inc.;ZBH;0.068219;  120.77;0.00;(0.00%)
286;Southwest Airlines Co.;LUV;0.067631;  43.19;-0.05;(-0.12%)
287;Edison International;EIX;0.067154;  64.70;0.05;(0.08%)
288;United Rentals Inc.;URI;0.067012;  346.24;0.00;(0.00%)
289;DTE Energy Company;DTE;0.06616;  126.07;0.00;(0.00%)
290;Lennar Corporation Class A;LEN;0.065555;  92.54;0.00;(0.00%)
291;Stanley Black & Decker Inc.;SWK;0.065095;  151.20;0.00;(0.00%)
292;Enphase Energy Inc.;ENPH;0.065059;  184.64;0.12;(0.07%)
293;Vulcan Materials Company;VMC;0.064911;  183.47;0.00;(0.00%)
294;Mid-America Apartment Communities Inc.;MAA;0.064546;  206.77;0.00;(0.00%)
295;McCormick & Company Incorporated;MKC;0.064497;  96.24;0.00;(0.00%)
296;Gartner Inc.;IT;0.064494;  298.35;0.00;(0.00%)
297;Northern Trust Corporation;NTRS;0.06442;  115.45;0.24;(0.21%)
298;Hartford Financial Services Group Inc.;HIG;0.064073;  70.85;0.00;(0.00%)
299;CDW Corp.;CDW;0.064061;  178.91;-0.48;(-0.27%)
300;FirstEnergy Corp.;FE;0.064031;  43.14;0.00;(0.00%)
301;Martin Marietta Materials Inc.;MLM;0.063864;  385.73;0.00;(0.00%)
302;Church & Dwight Co. Inc.;CHD;0.063809;  96.94;0.00;(0.00%)
303;Delta Air Lines Inc.;DAL;0.06352;  37.68;0.00;(0.00%)
304;Ventas Inc.;VTR;0.063313;  59.46;0.00;(0.00%)
