Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24
US Nevada;3080156;284332;110281;3580.3706046057;14.1931788932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;15;15;15;15;15;173;175;179;188;189;213;223;223;1721;2101;2508;2638;3735;4232;4572;5117;6696;8522;9150;11215;11794;12798;14046;14532;16163;16831;17629;18639;20566;21771;22749;23587;24611;25464;26661;27655;28451;29762;30751;31598;32347;33055;33888;34749;36192;37208;38186;38813;40119;41028;41986;43595;44387;45269;46166;47884;49275;51357;53344;56111;58809;60084;64075;66672;69484;72146;73664;80637;81832;87555;91171;94382;99941;107047;110281
US New Hampshire;1359711;23187;59539;4378.7981416639;14.5607728051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;18;22;22;42;42;42;42;100;100;219;284;284;372;539;660;789;1028;1253;1452;1548;2464;3138;3553;3843;4738;5700;5727;6400;6493;7054;7505;8032;8370;8734;9177;9551;9958;10493;10925;11207;11610;12166;12166;12708;12852;13424;14118;14339;15041;16012;16809;17727;18751;19724;20145;20746;21921;22049;24349;28393;26870;26870;27733;28806;30672;32298;33453;34883;35561;37216;39175;42612;42676;44752;44878;49474;50888;52830;55100;59539;59539
US New Jersey;8882190;19047;603807;6797.9518564678;3.9169077676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;4;37;46;59;81;104;147;147;218;298;430;617;952;1154;1621;2241;3203;12000;14854;20537;25372;30510;35602;41860;45773;52642;59110;67503;75356;82166;89032;94974;100416;107192;113523;120193;126735;129469;139774;144021;151830;157449;162536;170688;178057;184826;191659;200148;205962;213686;223144;227775;234359;241318;247918;256545;262312;275066;277220;287623;288920;292658;298759;305206;312447;425933;433060;441450;451696;462972;475224;487565;505569;520182;531343;544274;555314;578735;603807
US New Mexico;2096829;314161;169119;8065.46456578;24.8887417219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;48;48;57;69;90;160;200;247;495;583;1272;2354;2797;3814;3828;4779;5386;5973;6842;7793;8513;9387;11006;11179;12527;13240;14011;14778;15632;16828;19136;21825;22245;23807;27098;27098;28692;30515;31970;32850;33394;34488;35613;36632;37042;38755;40877;41232;46563;51510;53735;56615;58803;61745;65085;67869;71118;74944;77977;81720;83251;85684;89032;93262;97053;102498;106721;110289;115011;119601;124458;128584;133253;137620;142246;147344;152767;158383;169119
US New York;19453561;122057;1699826;8737.8655249802;4.7019515096;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;98;125;168;197;234;265;308;308;3200;3303;5272;5493;7206;14597;22284;32427;45437;61401;78289;91270;103479;122104;145753;155934;172360;186468;205186;220880;238965;260520;283621;302280;320811;340058;365153;391549;417885;440980;461601;478357;499143;526012;550579;573223;596532;617555;633861;649325;669982;695920;730656;777568;805350;826095;844994;872481;900636;927438;959071;985911;1007310;1028899;1055921;1089916;1121543;1153768;1182998;1204651;1225113;1258907;1298757;1338048;1378717;1413396;1439557;1467739;1505836;1555055;1600793;1652061;1699826
US North Carolina;10488084;125920;336656;3209.8903860801;14.4972870554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;2;2;2;7;7;72;101;160;259;329;514;1850;2505;3233;5276;6438;8438;8539;10489;12910;15136;17527;18945;20864;23106;26243;28679;31598;38773;40045;40726;41082;42987;47809;57645;60393;62139;63388;65039;67827;70917;72981;76211;78772;79484;83331;90336;96185;100584;105265;107894;109920;112752;118440;128036;133832;139475;143835;146439;151800;164482;171328;178613;186362;192135;195865;202244;210457;219268;231547;238586;248944;255755;265008;277603;290645;303224;329582;336656
US North Dakota;762062;178711;65488;8593.5265109663;27.0835401158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;6;7;13;40;55;96;124;223;274;508;820;1169;1288;1383;1488;1773;2091;2492;2892;3453;3837;4257;4493;4980;5798;6207;6787;7213;7703;8552;8990;9608;10080;10350;10781;10916;11317;11704;12342;12963;13630;14747;14987;15589;16330;17449;19350;20717;22434;23723;25536;27460;29525;31547;33353;34754;36421;38632;40867;42501;43933;44869;47014;47832;48945;50246;51715;53487;55221;56561;57731;59200;61279;62830;64148;65488
US Ohio;11689100;105829;324553;2776.5439597574;10.1705681426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;8;9;10;14;17;25;35;63;63;175;190;207;228;259;309;387;491;582;704;14764;17316;20149;20418;20665;27275;29191;29539;34918;38375;41871;43756;48378;50838;53341;55985;58573;60471;63243;65112;68001;71552;74840;77926;79041;87299;90839;94714;98506;102877;107697;111983;116386;119391;122706;128908;133890;140506;145819;150166;155155;160735;168929;176059;184316;196670;204862;210530;217731;225854;233352;246182;246702;264462;271849;277602;289528;299078;307800;316494;324553
US Oklahoma;3956971;177660;160980;4068.26332566;26.6655623654;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;9;17;17;39;39;40;127;184;264;407;510;587;613;736;775;841;969;1206;1406;1557;1634;1688;1794;1967;2144;2303;2521;2653;2749;13293;13345;20279;22164;22658;22760;22859;28269;29219;30899;33620;35536;35565;35646;44344;45913;46036;46140;53084;53144;53171;59699;61267;63422;63552;63655;63776;63848;79417;82890;86887;89857;95869;95968;95992;96111;109127;112183;118192;123399;123472;123560;139147;144371;149595;153167;160903;160980
US Oregon;4217737;248608;112195;2660.0757704902;28.5701553349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;48;67;84;114;179;228;305;305;367;367;456;618;736;1193;1417;2117;2117;3025;3840;4559;4559;7280;8924;10172;11426;12883;13826;13872;16085;17434;17534;20624;21801;23007;24564;25627;25627;27224;29758;31121;32363;33351;34938;36321;37583;39038;40045;41128;41185;43976;45492;47377;48964;51198;51198;54472;56032;58176;60136;62054;63457;65424;67976;70458;72693;74620;75507;77606;77606;83987;84050;89506;92199;94356;97315;99720;102149;105224;107839;110207;112195
