Country/Region;Population;Area;% Max;% Min;% Latest;% Last Day;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24
US Delaware;973764;5047;0.2547365973;0.0561344906;0.0724506569;0.013693901;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2421015078;0.2330732542;0.2500404891;0.2547365973;0.2543038361;0.2461028479;0.2278785081;0.2121009467;0.1988144938;0.1827007822;0.1667152101;0.1559743712;0.1646158891;0.1734333181;0.1924734897;0.2069791491;0.2031449695;0.189183443;0.1697679053;0.1600511555;0.1378945833;0.1170959431;0.1003524907;0.0943440485;0.0943071145;0.1033021868;0.1116510298;0.1061030698;0.101045201;0.093467508;0.1016773112;0.1049602931;0.1069028394;0.1003977314;0.0915781044;0.0931346965;0.1046839211;0.1183703059;0.1071974893;0.0946917146;0.0688165172;0.0615485659;0.0561344906;0.0576958836;0.0638544659;0.0684270307;0.0802157752;0.0852671526;0.0925281252;0.0840173248;0.0808084427;0.0767529368;0.0770345426;0.084313039;0.0871276455;0.0860266577;0.0761747591;0.0685565403;0.072573658;0.0744180991;0.0748564196;0.0751023055;0.0724506569
US District of Columbia;705749;158;0.3729819028;0.056756009;0.080827312;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1808612863;0.216563085;0.320589356;0.3626153591;0.3729819028;0.33945483;0.2657941095;0.245767232;0.2334663357;0.2479854375;0.2405445291;0.2129063646;0.1817897174;0.1686594976;0.1751867721;0.1849845062;0.1931588121;0.1847800583;0.1742505966;0.1639275098;0.1516011561;0.1470628992;0.1409147098;0.1363829565;0.1288187368;0.1114866819;0.0963958247;0.082074758;0.0787484109;0.0774453588;0.0833415909;0.09382482;0.0983341716;0.0983683892;0.0961269341;0.0972482238;0.0924233938;0.0896372834;0.0901034055;0.0906869771;0.0861379686;0.0787536041;0.0680086369;0.0641849268;0.0733890492;0.0925581517;0.1085279419;0.1105362605;0.1037296145;0.0903864343;0.0797911942;0.0803380016;0.0836628288;0.0890802054;0.0860774692;0.0779818902;0.0653822271;0.056756009;0.0574602315;0.0598268119;0.0665494865;0.0691323036;0.069231313;0.0682890903;0.0731105416;0.0804748984;0.0864290388;0.080827312
US Florida;21477737;138887;0.4466059215;0.0589243865;0.0822081139;0.0147625032;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1788176521;0.2333853963;0.322503369;0.4044538435;0.4466059215;0.4305052818;0.4264927125;0.3924506996;0.3922694046;0.3797044202;0.3372905427;0.3196295857;0.2962125855;0.2890429355;0.2873825305;0.2695512046;0.2757958748;0.2680304751;0.2609001051;0.2467716804;0.2153205271;0.1953223733;0.1709199699;0.1661573569;0.1612336321;0.1587201555;0.145275685;0.1230637285;0.1064988518;0.0922354565;0.0857498057;0.0795066367;0.0796243815;0.0793401648;0.0771036742;0.0736556687;0.073583024;0.0749116771;0.0747995537;0.0786832899;0.0780521715;0.0737450179;0.067903729;0.0688592742;0.072331553;0.0757362915;0.0778780852;0.0725430773;0.0696646446;0.0589243865;0.0598713925;0.0645837416;0.0715610429;0.0762344498;0.0790214009;0.0774672401;0.0711266119;0.0740948841;0.0733961911;0.0725218678;0.0723951284;0.072625694;0.069405428;0.0715926151;0.0765446864;0.0807154403;0.084779623;0.0864279947;0.0867644083;0.0817555383;0.0779467698;0.0753754079;0.08063885;0.0822081139
US Georgia;10617423;148959;0.4252439898;0.0645838819;0.0924630627;0.0167568594;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4236638809;0.4252439898;0.4037695279;0.3552929712;0.3323985292;0.3440179278;0.3594617355;0.3607114919;0.3246687822;0.2850961389;0.267033561;0.2641384508;0.2711274905;0.2595670854;0.2411349982;0.2070265367;0.1913993589;0.1867076007;0.1972196165;0.207257396;0.1806031793;0.1443985145;0.1079806659;0.1080469969;0.1223523468;0.1397694066;0.1484107469;0.1328533363;0.1081432596;0.0846290853;0.0797485367;0.0809745293;0.0849734935;0.0905322291;0.0924809016;0.090154177;0.084300068;0.081419094;0.0803374064;0.0781070553;0.084364169;0.0821382017;0.0738926089;0.068336873;0.0663956767;0.067613867;0.0709218883;0.0829712124;0.0863628847;0.0899434832;0.0875163816;0.0798441082;0.0732123667;0.0697826033;0.0719602687;0.0764751713;0.0744864001;0.0719482009;0.0690756641;0.0714884961;0.0708996176;0.0755249676;0.0769775256;0.0741111375;0.0715718514;0.0645838819;0.0667516541;0.0714580433;0.0813081815;0.0860879724;0.0924630627
US Guam;162742;543;0.250160204;0.0018392457;0.052112075;0.0015082956;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.250160204;0.1989009103;0.1732968517;0.1471967864;0.1363278448;0.1090734474;0.0895419257;0.0871668709;0.104483571;0.1140477238;0.1081628358;0.1198799588;0.116677253;0.1255737921;0.1208058257;0.1026776059;0.0783188877;0.0529257637;0.0429617158;0.0291965026;0.0220402425;0.0132293991;0.006523439;0.0018392457;0.0022424771;0.004194082;0.0043772228;0.0070590309;0.0101250579;0.0240076131;0.0698642887;0.1601116866;0.2132145074;0.2104479731;0.1626263842;0.1165981322;0.0710576131;0.0599900707;0.0532513731;0.0551914658;0.0584960749;0.0553104396;0.0449753766;0.0374219551;0.0529523574;0.0442127011;0.0435868877;0.0302929577;0.0239012856;0.0279381351;0.0359789576;0.0541950178;0.0799971842;0.1254666487;0.1320089219;0.1515820256;0.1571276567;0.1501500425;0.1243026711;0.0877241611;0.052112075
US Hawaii;1415872;16635;0.3839301441;0.0295692699;0.0730517498;0.0015576324;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3839301441;0.3499153723;0.3029239607;0.2446448439;0.2024029037;0.1566123463;0.1421566063;0.1481694809;0.1700399199;0.1746295355;0.1648266176;0.1531053193;0.1462605429;0.1498795317;0.1371664638;0.12778318;0.1010992227;0.084110312;0.0716467247;0.0658148078;0.0653212062;0.0640261125;0.0623617137;0.0529166422;0.0530468232;0.0485805308;0.0518353858;0.0604904124;0.0672931047;0.0676533748;0.0618333126;0.0498658376;0.0352247475;0.0320679777;0.0393953207;0.0414239512;0.0379215783;0.0303173088;0.0295692699;0.0330520678;0.0435936265;0.0642670812;0.0634767731;0.0488153347;0.0323010291;0.0370683672;0.0523174696;0.0682404052;0.0706010035;0.067885699;0.0529040783;0.0516620052;0.0571936886;0.0750182194;0.0705814665;0.0573505762;0.0429420176;0.0407667706;0.0444282949;0.0517675858;0.065447303;0.0868876112;0.0730517498
US Idaho;1787065;214045;0.422303671;0.034294879;0.0854120936;0.0119460501;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2716977157;0.2652197672;0.3438077829;0.4123979601;0.422303671;0.3500798765;0.269586628;0.2363841743;0.2442737331;0.2773485013;0.2795404;0.2525388473;0.1950303204;0.1313039752;0.0835292083;0.0546250306;0.0514817661;0.0529704933;0.0556227145;0.0513839169;0.0432326377;0.034294879;0.0351052606;0.0550358699;0.081053541;0.0911774031;0.0767344272;0.0662721095;0.0516010446;0.0579972556;0.0755319772;0.0813860777;0.077281138;0.0648596471;0.0556318242;0.0460399624;0.0570932197;0.0639303973;0.0765445012;0.0767447191;0.0691795598;0.0703016991;0.0677838494;0.0682742518;0.0718177942;0.0751798824;0.0749881248;0.0717249218;0.0682568837;0.0650994145;0.0672204532;0.0742274912;0.0809478273;0.0879724676;0.0904313577;0.085013353;0.0751269743;0.0689136275;0.0656483786;0.0725248757;0.0854120936
US Illinois;12671821;143793;0.5948470159;0.0674097339;0.0793217655;0.0232661694;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3243050208;0.4168351672;0.5204027332;0.5797024006;0.5948470159;0.5405376188;0.4538829915;0.3750688408;0.317627822;0.2798004754;0.2585249313;0.249530555;0.2410718914;0.2452897342;0.2238698893;0.2102673169;0.1959949883;0.1775463775;0.1683714823;0.157081418;0.1550415419;0.1466909294;0.1350340118;0.1252778496;0.1209585122;0.1189623967;0.1173880683;0.1166600805;0.1082155992;0.1019843428;0.0964170651;0.0879254013;0.0863879505;0.0880440349;0.0900273664;0.0894773162;0.0858253776;0.0850379952;0.0866283068;0.0956383599;0.1048881094;0.1122701808;0.1110569839;0.1046366295;0.0993758038;0.0940543371;0.0965099567;0.0992920934;0.1005479729;0.0982938647;0.0937859861;0.0881362327;0.081161061;0.080725185;0.0807388521;0.0812928325;0.0769353696;0.0718050847;0.0696453655;0.0740856195;0.0814586651;0.0840329773;0.0846291231;0.0764001566;0.0720940102;0.0674097339;0.0680691395;0.072293052;0.0774379303;0.0793217655
US Indiana;6732219;92789;0.4917941548;0.0612566978;0.078772792;0.0153716708;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2116015436;0.2434832849;0.2837973533;0.3242837276;0.3873824345;0.4591825628;0.4845506787;0.4917941548;0.4462305963;0.3937736319;0.3858094485;0.3736780793;0.3641122573;0.327701533;0.2755663728;0.234454148;0.2066483621;0.1942157385;0.1814452435;0.1679929248;0.1522242139;0.1417014927;0.1301707427;0.1204684471;0.1118690872;0.1034006893;0.098376816;0.0932533252;0.0868868199;0.0782727821;0.0727208107;0.0751174919;0.0840565388;0.0926569567;0.0961374289;0.0940968605;0.0867776822;0.0797783109;0.0797660461;0.0850530118;0.0939858927;0.0996950728;0.1024979156;0.1017502556;0.0992113457;0.0940622185;0.0904371499;0.0881272444;0.0866031401;0.0815081128;0.0757364917;0.0740199532;0.076036127;0.078071456;0.0759259462;0.0739556838;0.066984249;0.0627690396;0.0612566978;0.0634130312;0.0685232299;0.0739717988;0.0767545573;0.0760968233;0.0750225417;0.0743369995;0.0770715766;0.0804784411;0.078772792
US Iowa;3155070;144669;0.3197294482;0.0618999528;0.0808935622;0.0212514059;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1001908367;0.1201687828;0.1525720491;0.1839566242;0.2442541544;0.2869630544;0.3165026272;0.3197294482;0.2795739071;0.2374045753;0.2225908269;0.235732386;0.2479115982;0.2527736902;0.2354587313;0.2097779365;0.1872207929;0.1622348291;0.1497136529;0.1392394465;0.1335276137;0.1286800346;0.121193868;0.1180737697;0.1200632033;0.1227642122;0.1183699621;0.1136085766;0.1099163164;0.105984358;0.1080065764;0.1099888675;0.1117709252;0.1203081143;0.1309827645;0.1497990242;0.1562255131;0.1467979832;0.1313249736;0.1212733607;0.1299029322;0.1381326548;0.1419640413;0.1287677577;0.1130755597;0.1051481883;0.105844222;0.1128654118;0.1158369799;0.113941796;0.0984126174;0.0819455951;0.0749584778;0.0747696779;0.0701979079;0.0634560611;0.0618999528;0.063174057;0.0680672323;0.0754475049;0.0776473359;0.0740159054;0.0698327919;0.0680080995;0.0666249386;0.0728995884;0.0781704661;0.0799565297;0.0808935622
