Country/Region;Population;Area;Maximum;Per 100,000 inh.;% CDGR;Blank 2;Comments;Day 1;Day 2;Day 3;Day 4;Day 5;Day 6;Day 7;Day 8;Day 9;Day 10;Day 11;Day 12;Day 13;Day 14;Day 15;Day 16;Day 17;Day 18;Day 19;Day 20;Day 21;Day 22;Day 23;Day 24;Day 25;Day 26;Day 27;Day 28;Day 29;Day 30;Day 31;Day 32;Day 33;Day 34;Day 35;Day 36;Day 37;Day 38;Day 39;Day 40;Day 41;Day 42;Day 43;Day 44;Day 45;Day 46;Day 47;Day 48;Day 49;Day 50;Day 51;Day 52;Day 53;Day 54;Day 55;Day 56;Day 57;Day 58;Day 59;Day 60;Day 61;Day 62;Day 63;Day 64;Day 65;Day 66;Day 67;Day 68;Day 69;Day 70;Day 71;Day 72;Day 73;Day 74;Day 75;Day 76;Day 77;Day 78;Day 79;Day 80;Day 81;Day 82;Day 83;Day 84;Day 85;Day 86;Day 87;Day 88;Day 89;Day 90;Day 91;Day 92;Day 93;Day 94;Day 95;Day 96;Day 97;Day 98;Day 99;Day 100;Day 101;Day 102;Day 103;Day 104;Day 105;Day 106;Day 107;Day 108;Day 109;Day 110;Day 111;Day 112;Day 113;Day 114;Day 115;Day 116;Day 117;Day 118;Day 119;Day 120;Day 121;Day 122;Day 123;Day 124
American Samoa;55191;200;0;0;0;;
US Louisiana;4648794;111898;37169;799.5406980821;0.1011828066;;;36;51;90;115;137;240;347;473;580;837;1172;1388;1795;2305;2746;3315;3540;4025;5237;6424;9150;10297;12496;13010;14867;16284;17030;18283;19253;20014;20595;21016;21518;21951;22532;23118;23580;23928;24523;24854;25258;25739;26140;26512;26773;27068;27286;27660;28001;28711;29140;29340;29673;29996;30399;30652;30855;31417;31600;31815;32050;32662;33489;33837;34117;34432;34709;35038;35316;36504;36925;37040;37169
US Maine;1344212;79883;2055;152.8776710816;0.0631223844;;;32;43;53;57;73;89;107;125;149;155;168;211;253;275;303;344;376;432;456;470;499;519;537;560;586;616;633;698;734;770;796;827;847;867;875;888;907;937;965;990;1015;1023;1040;1056;1095;1123;1152;1185;1205;1226;1254;1330;1374;1408;1436;1462;1477;1515;1565;1603;1648;1687;1713;1741;1819;1877;1948;2013;2055
US Maryland;6045680;25142;46313;766.0511307247;0.1100632671;;;31;37;57;85;107;149;190;244;288;349;423;580;774;992;1239;1413;1660;1985;2331;2758;3125;3609;4045;4371;5529;6185;6968;7694;8225;8936;9472;10032;10784;11572;12308;12830;13684;14193;14775;15737;16616;17766;18581;19487;20113;20849;21742;23472;24473;25462;26408;27117;28163;29374;30485;31534;32587;33373;34061;34812;35903;36986;37968;38804;39762;41546;42323;43531;44424;45495;46313
US Massachusetts;6892503;20202;92675;1344.5768540108;0.1161093502;;;38;64;97;118;156;229;314;426;547;678;1060;1739;2318;3151;4158;4856;5653;6521;7639;8867;10303;11637;12402;13739;15104;16692;18843;20878;22766;25381;26794;28109;29970;32492;35125;37527;39820;41416;43168;44913;47992;50969;53348;54938;56462;58302;60265;62205;64311;66263;68087;69087;70271;72025;73721;75333;76743;77793;78462;79332;80497;82182;83421;84933;86010;86967.5;87925;88970;90084;90889;91662;92675
US Michigan;9986857;146435;54679;547.5095918566;0.0942126402;;;34;52;72;98;128;168;254;358;497;702;945;1196;1480;1933;2393;2913;3392;4027;4543;5098;5789;6441;7060;7767;8659;9287;10010;10901;11875;12888;14117;15252;16395;17567;18850;19823;20589;21504;22783;23993;24638;25635;27001;28059;29263;30023;30791;31424;32000;32967;33966;35291;36641;37203;37778;38210;39262;40399;41379;42356;43207;43754;43950;44397;45054;45646;46326;46756;47138;47552;48021;48391;49582;50079;50504;51142;51915;52350;53009;53510;53913;54365;54679
US Minnesota;5639632;206232;20573;364.7933056625;0.0953689414;;;35;54;60;77;89;115;138;169;235;262;287;346;398;441;503;576;629;689;742;789;865;935;986;1069;1154;1242;1336;1427;1621;1650;1695;1809;1912;2071;2213;2356;2470;2567;2721;2942;3185;3446;3602;3816;4181;4644;5136;5730;6228;6663;7234;7851;8579;9365;10088;10790;11271;11799;12494;12917;13435;14240;14969;15668;16372;17029;17670;18200;19005;19845;20573
US Mississippi;2976149;121531;13252;445.2734053302;0.0931221491;;;34;50;80;140;207;249;320;377;485;579;663;758;847;937;1073;1177;1358;1455;1638;1738;1915;2003;2260;2469;2642;2781;2942;3087;3360;3624;3793;3974;4274;4512;4716;4894;5153;5434;5718;5911;6094;6342;6569;6815;7212;7441;7550;7877;8207;8424;8686;9090;9378;9501;9674;9908;10090;10483;10801;11123;11296;11432;11704;11967;12222;12624;13005;13252
US Missouri;6137428;178040;11988;195.3261203227;0.0889937001;;;47;73;90;183;269.5;356;502;669;838;934.5;1031;1327;1581;1834;2113;2291;2367;2722;3037;3327;3539;3799;4024;4160;4388;4686;4895;5111;5283;5517;5667;5807;5941;6137;6321;6625;6826;6997;7171;7303;7425;7562;7835;8154;8386;8754;8916;9102;9341;9489;9666;9844;9918;10006;10142;10317;10456;10675;10789;10945;11080;11232;11340;11558;11752;11988
US Montana;1068778;376962;479;44.8175392832;0.0444137969;;;31;34;46;53;71;108;129;154;171;184;208;227;243;265;286;299;319;332;354;365;377;387;394;399;404;415;422;426;433;435;437;439;442;444;445;448;449;451;452;453;454;455;456;457;456;456.6666666667;457.3333333333;458;458.3333333333;458.6666666667;459;461;462;464;466;468;469;470;471;478;479;479;479;479
US Nebraska;1934408;198974;11989;619.7761795857;0.0954545248;;;32;38;48;50;52;61;73;85;96;108;145;172;210;246;279;321;363;409;447;519;567;635;700;791;814;871;901;952;1066;1138;1287;1474;1648;1722;1813;2124;2421;2732;3028;3358;3374;3784;4281;4838;5326;5910;6083;6438;6771;7190;7831;8234;8315;8572;8692;9075;9416;9772;10220;10348;10625;10846;11122;11425;11662;11989
US Nevada;3080156;284332;7770;252.25995047;0.0775149678;;;45;55;75;95;109;124;190;245;278;321;420;535;621;738;1008;1113;1279;1458;1514;1742;1836;1953;2087;2318;2456;2584;2700;2836;2971;3088;3211;3321;3524;3626;3728;3830;3937;4081;4208;4398;4539;4602;4690;4805;4898;4998;5227;5311;5426;5491;5594;5663;5766;5884;6028;6098;6152;6311;6394;6499;6614;6662;6857;6906;7046;7166;7255;7401;7696;7770
US New Hampshire;1359711;23187;4089;300.7256689105;0.073036344;;;39;44;55;65;78;101;108;137;158;187;214;314;364.5;415;447;479;540;621;669;715;788;803.5;819;885;929;985;1020;1139;1213;1287;1314.5;1342;1392;1491;1539.5;1588;1670;1720;1787;1864;1938;2010;2054;2146;2310;2429;2588;2612;2636;2740;2843;2947;3011;3160;3199.5;3239;3299;3464;3510;3556;3596;3652;3721;3868;3935;4089;4089
US New Jersey;8882190;19047;154154;1735.5404466691;0.1241734811;;;30;50;74;98;178;267;427;742;890;1327;1914;2844;3675;4402;6876;8825;11124;13386;16636;18696;22255;25590;29895;34124;37505;41090;44416;47437;51027;54588;58151;61850;64584;68824;71030;75317;78467;81420;85301;88806;92387;95865;99989;102196;105523;109038;111188;113856;116264;118652;121190;123717;126744;128269;130593;131890;133635;135454;137085;138532;139945;140743;141560;142704;143905;145089;146334;148039;149013;150399;151472;152719;153104;154154
US New Mexico;2096829;314161;6795;324.0607603195;0.0830998765;;;35;43;57;61;65;83;100;112;136;191;237;259;281;315;363;403;495;543;624;686;794;865;1091;1132.5;1174;1245;1345;1407;1484;1597;1711;1798;1845;1971;2072;2210;2379;2521;2660;2726;2823;2974;3213;3411;3513;3732;3850;4031;4138;4291;4493;4673;4778;4863;5069;5212;5364;5503;5662;5857;5938;6096;6192;6317;6472;6625;6795
US New York;19453561;122057;361515;1858.3487105523;0.1249528853;;;33;76;105;142;173;216;318.5;421;524;729;950;1700;2382;4152;7102;10356;15168;20875;25665;30811;37258;44635;52318;59513;66497;75795;83712;92381;102863;113704;122031;130689;138863;149316;159937;170512;180458;188694;195031;202208;213779;222284;229642;236732;242786;247512;251690;257216;263460;271590;282143;288045;291996;295106;299691;304372;308314;312977;316415;318953;321192;323978;327649;330407;333122;335395;337055;338485;340661;343051;345813;348232;350121;351371;352845;354370;356458;358154;359926;361515
US North Carolina;10488084;125920;23222;221.4131770874;0.0986714827;;;32;33;40;63;97;137;184;255;297;398;504;636;763;935;1040;1307;1498;1584;1857;2093;2402;2585;2870;3221;3426;3651;3908;4312;4520;4816;5024;5123;5465;5859;6140;6493;6764;6951;7220;7608;8052;8623;8830;9142;9568;9948;10509;10923;11509;11664;11848;12256;12758;13397;13868;14360;14764;15045;15346;15816;16507;17129;17982;18512;19023;19700;20122;20860;21618;22725;23222
US North Dakota;762062;178711;2418;317.2970178279;0.0733647765;;;30;34;39;52;65;83;98;109;126;142;159;173;186;207;225;237;251;269;278;293;308;331;341;365;393;439;528;585;627;644;679;709;748;803;867;942;991;1033;1067;1107;1153;1191;1225;1266;1323;1371;1425;1464;1491;1518;1571;1647;1704;1761;1848;1900;1931;1994;2095;2229;2317;2365;2418
