Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;Last Trend
2 Asia Pacific;4192529278;31181951;163273;3.8943794825;;;;;;;;0.4907593497;0.4835705048;0.4525447598;0.3922359;0.2985226436;0.2749104792;0.2496319594;0.2563587858;0.2403786562;0.2076227019;0.1750356585;0.1399077189;0.1179009255;0.0983197701;0.0825309863;0.0667847686;0.0768994535;0.0946334783;0.1133167317;0.1175003393;0.0911480278;0.0615699094;0.0326572877;0.022160375;0.016436303;0.0126868404;0.0106705509;0.0101410468;0.0098658395;0.0087225537;0.0084791743;0.0086271158;0.0104421212;0.0119229896;0.0127594373;0.0130566156;0.0122364063;0.0110441192;0.0097377904;0.0086791567;0.0079547055;0.006924383;0.0057824726;0.0047228812;0.0037854057;0.0035440625;0.0036506629;0.0041332192;0.0048052643;0.0054926024;0.006274234;0.0070234853;0.007794931;0.0089485478;0.0105707307;0.0119967388;0.013259215;0.013748048;0.0141949072;0.0147065835;0.0158070477;0.0171504921;0.0178950539;0.0182202635;0.0183061512;0.0189560142;0.0195593841;0.0201862875;0.020088304;0.020491981;0.0208254313;0.0213986119;0.0217664124;0.0214638632;0.0216822918;0.021921926;0.0231847732;0.0240341719;0.0245091883;0.0249147891;0.0275851218
21 C. Asia;75861692;3497518;6007;7.9183575289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2232187066;0.2376927617;0.198115656;0.1963355488;0.2085501589;0.2473095078;0.2985224322;0.335501595;0.3394355198;0.3242361034;0.2818610192;0.2389788586;0.2124727419;0.1855591974;0.1749023305;0.1525720491;0.1443995833;0.1434382383;0.1558476273;0.1727654223;0.1805474549;0.173929158;0.151625917;0.1328436024;0.1196346314;0.1153818442;0.1135482959;0.1134214556;0.1104766463;0.1041485057;0.0955538946;0.0828561471;0.0751909001;0.0705795566;0.073259929;0.0776956919;0.079380895;0.0775308317;0.0509097271
22 India Region;1817448317;4118717;22205;1.2217678925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3809146167;0.2419747692;0.1692438427;0.153086246;0.1879664173;0.2019277171;0.2077073339;0.189207115;0.1978206626;0.2340876145;0.3010421532;0.342935546;0.3677823999;0.3361333364;0.3045788159;0.2679422778;0.2342356402;0.2046821784;0.1627008498;0.1409341413;0.1254909534;0.1256845958;0.1180472301;0.1126015602;0.1042286724;0.1134090076;0.1342261745;0.1486586994;0.1534285006;0.1403910539;0.1395093739;0.1425985816;0.1472037378;0.1445425543;0.1245521555;0.1095830399;0.0975798317;0.096845013;0.0957225886;0.0947209868;0.0952535067;0.098333086
23 China;1439323776;9388211;83403;5.7945961423;;;;;;;;0.4920083106;0.4858914753;0.4552326936;0.3943066921;0.2995247966;0.2756314978;0.2503303903;0.257318293;0.2414436524;0.2084698329;0.1756104676;0.1402356087;0.1181086084;0.0984576425;0.0826132058;0.0668474808;0.0770524073;0.0948954308;0.1136294031;0.1177847052;0.0912644051;0.0615423178;0.0325359073;0.0219464572;0.0160347734;0.0118414408;0.009258725;0.0081150318;0.0074318568;0.006022182;0.0053441821;0.0047548783;0.0052034725;0.0053765578;0.0051871988;0.0048804871;0.004089726;0.0031003719;0.0022778989;0.0017306237;0.0015537938;0.0013127983;0.0009887525;0.0006924708;0.0004712228;0.0003555494;0.0002925706;0.0002646599;0.0002810465;0.0003046409;0.0003487926;0.0004021449;0.0005088435;0.0006339252;0.0008183031;0.0009459846;0.0010414588;0.0010641118;0.0010680038;0.0011260945;0.001177761;0.0012926904;0.0013084722;0.0012804521;0.0011783226;0.0010693434;0.0009982242;0.0008980228;0.000827451;0.0007459109;0.0006877142;0.00071241;0.000760269;0.0008292412;0.000858824;0.0009023124;0.0009557161;0.001024034;0.0010402183;0.0009781335;0.0005638466
24 N.E. Asia;177745646;461785;19239;10.8238938241;;;;;;;;;;;;;;0.2763475107;0.1933149728;0.1215400352;0.0745699318;0.0686816558;0.070870841;0.0675231916;0.0556616843;0.0401137307;0.0314692326;0.0264333272;0.024264794;0.0395247189;0.0729180131;0.1124525238;0.142699494;0.143991185;0.1794529818;0.2497195135;0.3845437021;0.5030963535;0.530907323;0.4679176793;0.3558518418;0.2978862643;0.2711720228;0.2875115022;0.2902996503;0.272265284;0.2379507488;0.1923415444;0.1578488322;0.1279770374;0.1046194727;0.0862404016;0.068527707;0.0533477421;0.0395040564;0.0285859461;0.0235569926;0.0217496443;0.0204357908;0.0188532051;0.0161400885;0.0143537819;0.0133783365;0.0133822094;0.0146699855;0.016866729;0.0171329753;0.0169462414;0.0156525154;0.0150796089;0.0156118262;0.0177721278;0.0209264134;0.0219864009;0.0215907765;0.0203235553;0.020705004;0.0217422852;0.0258424676;0.0272997957;0.0286170494;0.0279354987;0.0272864426;0.0281299098;0.0300293666;0.0343170325;0.0381071326;0.0410884008;0.0395163526;0.0361197716;0.030795396;0.0293189235
25 S.E. Asia;650252129;5729240;24453;3.7605413207;;;;;;;;;;0.2266660457;0.2070949484;0.1783124666;0.1566800837;0.1232153509;0.1119898989;0.0996993508;0.0999224469;0.098380609;0.0973868274;0.0938486557;0.0893846931;0.0876175363;0.0719264433;0.0587887599;0.0467533031;0.0484242658;0.0510330882;0.0501394321;0.0443635895;0.0353185025;0.0272623148;0.0212834838;0.0171081217;0.0149396416;0.0142638504;0.014922946;0.0172775462;0.0182549326;0.0188248992;0.022890629;0.0285548096;0.0354118627;0.0402372714;0.0420896063;0.0430036368;0.0555745343;0.0717182465;0.0904963761;0.102275051;0.1048939744;0.1137664059;0.1103390164;0.1263751352;0.1414736006;0.1749674183;0.2097860586;0.2286454672;0.2343002141;0.2108342107;0.191569678;0.174062018;0.1676340326;0.1640860533;0.1599785609;0.1517718886;0.1395676046;0.1247862477;0.1151576296;0.1098580014;0.1057631579;0.1043117229;0.0995484662;0.094454531;0.0893964392;0.0810071259;0.0744076938;0.066327015;0.0604364264;0.0568841881;0.054846247;0.0537660519;0.0529980049;0.0525404951;0.0535673522;0.0548900646;0.0550320739;0.0561280085;0.0640066139
26 AU / NZ;30322117;7945610;7863;25.9315667175;;;;;;;;;;;;;;;;;0.0384007589;0.0352537242;0.0376113421;0.0361392074;0.028315897;0.0167988292;0.0085386617;0.0031496453;0.0031397561;0.0031299287;0.0031201627;0.0031104575;0.0031008124;0.003091227;0.0030817006;0.0030722328;0.003062823;0.0030534706;0.0030441752;0.0030349363;0.0030257532;0.0030166255;0.0030075528;0.0513753969;0.1013819674;0.1552942843;0.1992841856;0.2142967018;0.2159013697;0.2012643403;0.1770085065;0.1402557333;0.1249122946;0.1303973848;0.1574445505;0.1807424695;0.1993901248;0.2150962391;0.2242457292;0.2294834832;0.2282858885;0.2289354007;0.2313532092;0.2245290383;0.232396796;0.2584385207;0.2683927215;0.2757404859;0.252539583;0.2152713331;0.1910617235;0.1737915711;0.1657431452;0.1455846822;0.1242456049;0.1011826766;0.0837053967;0.0690057937;0.0615815952;0.0542172046;0.0479678788;0.0399966162;0.0328299158;0.0271628376;0.0232233283;0.0208073907;0.018151223;0.0151237885;0.0118104194;0.0092974036;0.0077313029;0.0047278303
27 Pacific Ocean;1575601;40870;103;6.5371880317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2282491844;0.1830505297;0.1318719046;0.0881040015;0.0573712634;0.0472445342;0.0463462132;0.05296616;0.0570507022;0.0622553253;0.05941;0.0537920358;0.0485352413;0.0488187428;0.0512901325;0.0474587218;0.0374964458;0.0236742495;0.0144933489;0.0115774909;0.0135854552;0.0138834472;0.0048780488
3 ME/Africa;1706894362;34551900;207808;12.1746257195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2913976955;0.406349234;0.4841715065;0.5044473683;0.5077938107;0.5306214838;0.5555312269;0.5292571376;0.5094513588;0.4875032457;0.492042296;0.4681645967;0.4125078558;0.3540737119;0.2923557679;0.2534661493;0.2178803739;0.1808296943;0.1496363583;0.1291061407;0.1272301703;0.1293923232;0.1278115958;0.1198550572;0.1084829303;0.0978956379;0.0892980341;0.0853873496;0.0838143397;0.0844284685;0.0851291037;0.0882651251;0.0964533008;0.1064644784;0.1192013714;0.1278158208;0.1305911972;0.1269703562;0.1193951454;0.1118275082;0.1047368989;0.0993347556;0.0933658138;0.0879224335;0.0817553658;0.0767128562;0.0718920895;0.0676881493;0.064680754;0.0625274184;0.0611539296;0.0593573425;0.0567053539;0.053337205;0.0502424595;0.0482171411
31 MENA;581540947;12894980;196971;33.8705298425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2913976955;0.406349234;0.4841715065;0.5044473683;0.5077938107;0.5306214838;0.555174003;0.5287781219;0.5089770614;0.4870868696;0.4919700637;0.4681295502;0.4124313111;0.3539170589;0.2922426819;0.2534265059;0.2178774535;0.1807909673;0.1494440021;0.1288105566;0.1267203797;0.1286629084;0.1267648546;0.1184554227;0.1069558522;0.0961032692;0.0872950434;0.082791055;0.0804950383;0.0805129571;0.080454965;0.0829477434;0.0905409535;0.1003052155;0.1135309742;0.1235612746;0.1280020525;0.1259557834;0.1193887765;0.112235447;0.1052082823;0.0994761573;0.0933128929;0.0876559402;0.0814887194;0.0766078249;0.0718327526;0.0676011926;0.0644804344;0.0623530911;0.061055898;0.059355714;0.0566570231;0.0531367059;0.0498581031;0.0476010658
32 SSa Africa;1125353415;21656920;10837;0.9629863699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4207965807;0.4506609263;0.4708265585;0.4165964075;0.382236447;0.3342669122;0.3311243241;0.3459553333;0.3381825155;0.3345195278;0.3138790521;0.3046370389;0.2924534766;0.2684596905;0.2271000417;0.1855880297;0.1471890522;0.1195173575;0.1040717147;0.095769301;0.0966344661;0.0943795356;0.093045189;0.0868994816;0.0787256747;0.0730240571;0.0693351807;0.0684760199;0.06583556;0.063013737;0.0593880605;0.0576112751;0.0570898388;0.0574228052;0.0595424325
Afghanistan;38928346;652860;840;2.1578106606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.098915251;0.0768393635;0.0995919845;0.1736002663;0.2501856729;0.2830562289;0.2728649475;0.2223644036;0.1686881572;0.1254991175;0.1259357806;0.1266301601;0.1617063475;0.186613409;0.1821711733;0.164414923;0.124501128;0.1037036661;0.0954354976;0.0967093148;0.0981455569;0.0930765712;0.0818080743;0.0806678692;0.0783774546;0.0820011308;0.0851330231;0.0856506525;0.0714285714
Albania;2877797;27400;518;17.9998797691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3062150865;0.2146137708;0.1510363068;0.1203027182;0.1017206847;0.0914136846;0.0924359399;0.1087485616;0.1311818896;0.1544427064;0.1717473122;0.1711150421;0.1522375603;0.1238336547;0.0928947457;0.0758947647;0.0681216128;0.0696830719;0.0737187867;0.0775293923;0.0831737676;0.0828367913;0.0748097109;0.0613972263;0.0454094667;0.0341574251;0.0292449792;0.02790492;0.0308422285;0.0317235513;0.0336379587;0.0351667171;0.048582996
Algeria;43851044;2381740;2268;5.1720547406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.085218068;0.0663350727;0.0593239426;0.0625884619;0.0958231807;0.147587347;0.1957116809;0.2219261073;0.2124383062;0.1878656497;0.1592169702;0.1817973642;0.2297806393;0.2672743523;0.2899645361;0.2598141915;0.2136774896;0.1726974379;0.1534003443;0.146221146;0.1351217454;0.1384787331;0.1494278966;0.1670669639;0.1800818413;0.1712383496;0.14899446;0.118818287;0.0881063087;0.0697488424;0.0589782367;0.0577152574;0.0567806899;0.053619866;0.0500838584;0.0452453045;0.0429035819;0.0425676725;0.05
American Samoa;55191;200;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;77265;470;673;871.0282792985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2472882902;0.2389638991;0.2241143719;0.2019277171;0.1940728585;0.1815190564;0.1700530045;0.1513026579;0.1230225977;0.091962912;0.0705577774;0.0556955509;0.0540266664;0.0547553753;0.0572826953;0.0573292016;0.0522173914;0.0473787527;0.0403827704;0.0351063919;0.0327082068;0.029883572;0.0267928671;0.0233578732;0.0191496341;0
Angola;32866272;1246700;19;0.0578100248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0925811817;0.0494077071;0.0232173086;0.0089695078;0;0;0;
Antigua and Barbuda;97929;440;23;23.4864034147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0506998184;0.0414664128;0.0330476141;0.0296303115;0.0306163249;0.0317854888;0.0291851086;0.0209837769;
Argentina;45195774;2736690;2571;5.6885849549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1993289392;0.2148574653;0.2196942695;0.2251982288;0.2255001877;0.2203918124;0.2249967988;0.2269532557;0.2841352271;0.3129163148;0.3309713214;0.3113235452;0.2467043809;0.2063628471;0.1689041114;0.1562269139;0.1403505636;0.1428031253;0.1361396122;0.1283202525;0.1154917818;0.101040016;0.0919225411;0.082677031;0.0762490949;0.0620514305;0.0505313366;0.050292403;0.0561446159;0.0597062738;0.0567945677;0.0484194872;0.0441497036;0.0423864157;0.0523945968
Armenia;2963243;28470;1159;39.1125533748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3667635668;0.274028977;0.2301146101;0.2075604524;0.1927412018;0.1618765834;0.1317877583;0.1068384629;0.1091222475;0.1155628493;0.1304521114;0.1293450568;0.1148603664;0.1107931106;0.1067521518;0.108217915;0.1008760596;0.0825058722;0.0622220844;0.0430174615;0.0334045928;0.0309083857;0.0302028097;0.0324704724;0.032641672;0.0330131158;0.033018626;0.0342009786;0.0432043204
Australia;25499884;7682300;6462;25.3412917486;;;;;;;;;;;;;;;;;0.0384007589;0.0352537242;0.0399995331;0.0430742392;0.041904464;0.0366998511;0.0321576387;0.0281966153;0.0274226617;0.0266900961;0.0259956824;0.0253365136;0.024709971;0.0241136891;0.0235455259;0.0230035371;0.0224859536;0.0219911623;0.0215176893;0.0210641852;0.0206294122;0.0202122327;0.0198115995;0.0194265469;0.0242657814;0.036998155;0.0735547489;0.1322002831;0.1751907444;0.1946086489;0.1669095451;0.1324444991;0.1203242718;0.1317708993;0.1633205486;0.1899534016;0.2093703495;0.2235013477;0.2303417188;0.2336011594;0.2299666105;0.2281658256;0.228417311;0.2189602653;0.2258913833;0.2500325685;0.2610767624;0.2680841496;0.2439924172;0.2061013111;0.1791636258;0.1612694342;0.1531063271;0.1351553234;0.1160648058;0.0948117512;0.0779410708;0.0630901734;0.0551683604;0.0470873351;0.0404242429;0.0322302507;0.0256583859;0.0211406008;0.0185426611;0.0174748986;0.0156037423;0.0130120161;0.0100477331;0.0076955286;0.0063638858;0.0034161491
Australia Australian Capital Territory;426709;2358;103;24.138230035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1989956534;0.157466308;0.1312467335;0.0991589399;0.0680107042;0.0455952622;0.037643603;0.0362758021;0.0371358974;0.0331730707;0.0265921154;0.020574023;0.0148447386;0.0137018229;0.0123688483;0.0116978953;0.0083132671;0.0043860702;0.0019029582;0.0008107019;0
Australia New South Wales;8089526;809952;2897;35.8117397731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1789983843;0.1829643424;0.2114449106;0.211973631;0.1988684052;0.1897338957;0.190972832;0.2039096234;0.2160574127;0.2306629851;0.2340985459;0.2210569498;0.207816147;0.2247448714;0.2391556119;0.2454624071;0.2399188447;0.2042139576;0.185652863;0.1742660671;0.1675031642;0.1541352013;0.1287590758;0.1049162975;0.0816031675;0.060043419;0.048980555;0.0423591033;0.040139714;0.035677679;0.0292295102;0.0236392443;0.0194938752;0.0169319134;0.0146316665;0.0116052702;0.0078316374;0.0049034751;0.0033210467;0.0038115038
