Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16
US California;39512223;403466;26182;66.2630396675;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;56.5;60;69;88;114;133;157;198;223;247;288;329;472;558;867.5;1003;1210;1448;1619;1969;2198;2804;3652;4391;5415;6112;6999;7544;8267;9638;10747;11902;12603;13763;14602;15303;15593;15990;16086;15901;15856;16269;16991
US Colorado;5758736;268431;8280;143.7815520628;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;8.5;9;12;28;45;72;100;130;144.5;159;181;214;274;355;466.5;582;708;884;1041;1358;1633;1930;2481.5;2636.5;2783;3126;3451;3810;4090;4359;4452;4517;4569;5080;4967.5;4832;5057;4894.5;4975;4938
US Connecticut;3565287;12542;15884;445.5181307984;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;6;8.5;11;20;26;41;68;95;191;204.5;218;405;606;856;991;1264;1615;1959;2535;3059;3472;3712;4720;5067.5;5452;6491;7163;7907.5;8772;9247;9868;10042;10810;10861;11198;12060
US Delaware;973764;5047;2075;213.0906461935;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;6;7;8;16;25;30;38;45;56;68;91;114;126;158;208;225;256;303;343;363;412;548;617;732.5;837;952.5;1077;1163;1265;1320;1361;1442;1646;1682
US District of Columbia;705749;158;2350;332.9795720575;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;7.5;10;12;14;16;17;22;31;39;70;76;97;114;132;175.5;221;255;290;326;384;473;555;614;686;825;900;981;1074;1257;1292;1393;1474;1533;1554;1563;1611;1697
US Florida;21477737;138887;22897;106.6080658311;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;11.5;14;17;18;19;26;30;48;74;112;137;180;307;381;508.5;644;813;1153;1393;1654;2323;2715;3686;4130;5332;6152;6641;7620;9065;10453;11321;12153;13335;13773;14009;14766;14731;15109;15128;15029;15556;14887
US Georgia;10617423;148959;15669;147.5781835197;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;6;7;12;17;22;31;41;65;98;120;145;195;277;407;493;577;747;994;1207;1477;1937;2297;2552;2688;3783;4441;5061;5411;5653;6047;6542;7792;8654;9041;9482;9793;9801;10506;10294;10349;10321
US Guam;162742;543;135;82.9533863416;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;8;12;14;15;26;28;31;36;44;50;54;55;55;64;69;70;70;78;85;84;89;88;83;79;78;78;77;66;58;53
US Hawaii;1415872;16635;530;37.4327622836;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;2;7;10;14;16;26;36;47;54;75;88;93;104;118;149;168;194;194;242;259;282;303;315;310;320;340;336;345;335;324;300;309;272
US Idaho;1787065;214045;1587;88.8048280281;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;6;7;9;11;23;31;42;47;50;73;123;186;226;256;304;408;516;658;868;982;1035;1054;1120;1137;1109;1164;1166;1146;1116;1038;939;918
