Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14
Switzerland Grisons;198379;7105;740;373.0233542865;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;145;213;239;266;271;276;322;373;409;438.3333333333;467.6666666667;497;513;521;569;598;622;646;657;668;680;704;715;728;732;735;740
Switzerland Jura;73419;88;185;251.9783707215;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2;4;4.5;5;6;7;8.6666666667;10.3333333333;12;17;18;19;25;29;32;36;44;54;61;69;82;92;100;114;119;127;128;140;145;149;151.5;154;160;164;171;174;179;182;183;183.5;184;185
Switzerland Lucerne;409557;1493;589;143.8139257783;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;78.5;92;109;131;156;205;228;253;287;317;339;351;375;401;422;449;469;478;497;509;527;542;560;568;576;580;589
Switzerland Neuchâtel;176850;220;602;340.4014701725;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;8;9;13;18;24;27;31;37;46;59;68;74;93;114;146;175;188;200;216;247;265;280;299;316;337;346;378;402;420;430;433;449;459;466;492;516;536;552;579;589;590;602
Switzerland Nidwalden;43223;276;105;242.9262198367;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6.625;9.25;11.875;14.5;17.125;19.75;22.375;25;28;33;36;39;42;44;48;54;55;59;63;70;73;76;79;80;83;86;87;93;96;100;103;104;104.5;105
Switzerland Obwalden;37841;491;64;169.1287228139;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;25;26;27;30;37;40;43;46;47;48;51;56;57.3333333333;58.6666666667;60;60.5;61;62;62.4;62.8;63.2;63.6;64
Switzerland Schaffhausen;81991;298;57;69.5198253467;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;19.3333333333;24.6666666667;30;32;34;35;36;37;40;41;42;44;47;47.6666666667;48.3333333333;49;50;50.6666666667;51.3333333333;52;53;55;57;57;57
Switzerland Schwyz;159165;908;258;162.0959381774;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;6;6.4285714286;6.8571428571;7.2857142857;7.7142857143;8.1428571429;8.5714285714;9;12;13;21.6;30.2;38.8;47.4;56;64.6;73.2;81.8;90.4;99;109;119;122;128;135;141;146;155;164;168;170;178;185;196;213;215;249;251;254.5;258
Switzerland Solothurn;273194;791;325;118.9630811804;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;43;54.5;66;75.6666666667;85.3333333333;95;104;129;141;157;173;190;193;196;216;227;237;250;258;261;264;276;282;294;306;315;321;325
Switzerland St. Gallen;507697;2026;664;130.786670002;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;2;15;21.4;27.8;34.2;40.6;47;61;85;98;141.3333333333;184.6666666667;228;254;280;306;322.5;339;365;389;414;447;480;492;504;515;532;557;578;604;632;641;649;657;664
Switzerland Thurgovia;276472;991;296;107.0632830811;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;23;32;36;49;56;75;81;87;96;110;117;134;138;148;154;166;179;198;208;213;219;221;236;255;264;274;285;292;296
Switzerland Ticino;353343;2812;2912;824.1283964873;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;4;5;18;31.5;45;58;68;105.3333333333;142.6666666667;180;258;265;291;330;422;511;638;834;918;939;1165;1211;1354;1401;1688;1727;1837;1962;2091;2195;2271;2377;2442;2508;2546;2599;2659;2714;2776;2818;2869;2900;2912
Switzerland Uri;36433;1077;78;214.0916202344;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;5;7;9.5;12;17;22;25;31.5;38;40;48;50;53;57;59;60;62;66;67;67.5;68;72;73;74;75;77;78;78
Switzerland Valais;343955;5224;1664;483.7842159585;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;3;4;5;6;6.5;7;12;17;22;30;53;76;98;116;173;225;311;346;433;490;527;606;651;715;808;902;964;1000;1085;1145;1218;1273;1319;1356;1400;1436;1484;1525;1565;1592;1616;1642;1664
Switzerland Vaud;799145;3212;4741;593.259045605;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;30;40;51;77;108;156;204;350;406;508;608;796;1212;1432;1676;1782;1822;2162;2215;2532;2745;2936;3168;3272;3465;3639;3796;3915;4035;4115;4155;4235;4315;4424;4524;4560;4649;4684;4741
Switzerland Zug;126837;239;171;134.8187043213;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;3;3;3;3;3;3;13;16.6666666667;20.3333333333;24;30;36;42;48;52.6666666667;57.3333333333;62;72;80;87;101;104.6666666667;108.3333333333;112;114;125;131;138;146;149;152;157;162;165;168;168.6666666667;169.3333333333;170;171
Switzerland Zurich;1520968;1729;3067;201.6478979176;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;7;11;14;16;24;30;35;41;50;63;102;141;164;219;251;327;430;569;680;712;833.3333333333;954.6666666667;1076;1224;1371;1503;1630;1704;1736;1862;1954;2143;2307;2435;2468;2498;2612;2696;2791;2888;2928;2986;3003;3020;3067
