#;Company;Symbol;Price;Chg;% Chg;Weight sp500;Weight nasdaq100
137;Corteva Inc;CTVA;47.9;0.66;1.40%;0.086979
138;Costco Wholesale Corporation;COST;550.8;0.88;0.16%;0.610455;1.657
139;Coterra Energy Inc.;CTRA;20.46;-0.22;-1.06%;0.042134
140;Crowdstrike Holdings Inc;CRWD;188.9;9.61;5.36%;;0.259
141;Crown Castle International Corp;CCI;192.5;4.04;2.14%;0.204305
142;Cummins Inc.;CMI;230.19;3.24;1.43%;0.081714
143;D.R. Horton Inc.;DHI;101.5;-1.57;-1.52%;0.084263
144;DENTSPLY SIRONA Inc.;XRAY;56.22;-0.04;-0.07%;0.030836
145;DISH Network Corporation Class A;DISH;32.86;-0.16;-0.48%;0.020643
146;DTE Energy Company;DTE;119.57;0.32;0.27%;0.057958
147;DXC Technology Co.;DXC;33.72;0.25;0.75%;0.021147
148;DaVita Inc.;DVA;111.28;-2.72;-2.39%;0.019227
149;Danaher Corporation;DHR;304;-1.30;-0.43%;0.48782
150;Darden Restaurants Inc.;DRI;148;-1.93;-1.29%;0.048993
151;Datadog Inc;DDOG;143.89;-1.63;-1.12%;;0.27
152;Deere & Company;DE;376.36;4.31;1.16%;0.26488
153;Delta Air Lines Inc.;DAL;40.11;-0.17;-0.42%;0.064646
154;Devon Energy Corporation;DVN;48.37;1.76;3.78%;0.073602
155;DexCom Inc.;DXCM;483;-4.81;-0.99%;0.118362;0.33
156;Diamondback Energy Inc.;FANG;123.89;5.78;4.89%;0.050418
157;Digital Realty Trust Inc.;DLR;160.8;-2.08;-1.28%;0.11543
158;Discover Financial Services;DFS;123;2.36;1.96%;0.090558
159;Discovery Inc. Class A;DISCA;25.82;-0.63;-2.38%;0.010847
160;Discovery Inc. Class C;DISCK;25.12;-0.56;-2.18%;0.01888
161;DocuSign Inc;DOCU;143.25;-0.93;-0.64%;;0.202
162;Dollar General Corporation;DG;235.8;2.00;0.86%;0.13848
163;Dollar Tree Inc.;DLTR;143.4;3.00;2.13%;0.079323;0.21
164;Dominion Energy Inc;D;79.06;-0.15;-0.19%;0.160626
165;Domino's Pizza Inc.;DPZ;524.41;3.88;0.75%;0.048088
166;Dover Corporation;DOV;181.47;2.13;1.19%;0.064755
167;Dow Inc.;DOW;58.24;-0.11;-0.19%;0.109129
168;DuPont de Nemours Inc.;DD;81.99;0.20;0.24%;0.107281
169;Duke Energy Corporation;DUK;103.47;-0.17;-0.16%;0.199979
170;Duke Realty Corporation;DRE;61.55;-0.51;-0.82%;0.058627
171;EOG Resources Inc.;EOG;95.52;1.92;2.05%;0.137082
172;EPAM Systems Inc.;EPAM;579.45;-8.35;-1.42%;0.083743
173;Eastman Chemical Company;EMN;122.15;0.01;0.01%;0.041579
174;Eaton Corp. Plc;ETN;169.41;0.40;0.24%;0.168967
175;Ecolab Inc.;ECL;230.46;-2.77;-1.19%;0.145616
176;Edison International;EIX;64.78;-0.43;-0.65%;0.062088
177;Edwards Lifesciences Corporation;EW;123.23;-0.69;-0.56%;0.193749
178;Electronic Arts Inc.;EA;129.69;-4.11;-3.07%;0.095473;0.255
179;Eli Lilly and Company;LLY;259.33;-1.32;-0.51%;0.519949
180;Emerson Electric Co.;EMR;96.23;0.54;0.56%;0.143486
181;Enphase Energy Inc.;ENPH;151.49;-5.71;-3.63%;0.053076
182;Entergy Corporation;ETR;109.65;-1.89;-1.69%;0.056202
183;Equifax Inc.;EFX;279.85;0.58;0.21%;0.085334
184;Equinix Inc.;EQIX;775.08;-14.02;-1.78%;0.177692
185;Equity Residential;EQR;90.72;0.26;0.29%;0.077322
186;Essex Property Trust Inc.;ESS;348.95;-0.38;-0.11%;0.056959
187;Estee Lauder Companies Inc. Class A;EL;355.39;-0.72;-0.20%;0.20711
188;Etsy Inc.;ETSY;197.04;8.69;4.61%;0.060006
189;Everest Re Group Ltd.;RE;274.31;5.06;1.88%;0.026892
190;Evergy Inc.;EVRG;65.79;-1.73;-2.56%;0.038749
191;Eversource Energy;ES;88.9;-0.33;-0.37%;0.076913
192;Exelon Corporation;EXC;56.74;-0.23;-0.40%;0.139726;0.371
193;Expedia Group Inc.;EXPE;177.58;-3.72;-2.05%;0.066512
194;Expeditors International of Washington Inc.;EXPD;129.95;0.28;0.22%;0.055243
195;Extra Space Storage Inc.;EXR;217.65;-0.09;-0.04%;0.073102
196;Exxon Mobil Corporation;XOM;68.41;1.66;2.49%;0.709993
197;F5 Inc.;FFIV;235.7;3.39;1.46%;0.034999
198;FLEETCOR Technologies Inc.;FLT;239.26;1.96;0.83%;0.049117
199;FMC Corporation;FMC;107.9;-1.10;-1.01%;0.035191
200;FactSet Research Systems Inc.;FDS;449.43;-1.86;-0.41%;0.042855
201;Fastenal Company;FAST;61.89;0.35;0.57%;0.088712;0.238
202;FedEx Corporation;FDX;263.19;1.06;0.40%;0.161809
203;Federal Realty Investment Trust;FRT;135.99;0.05;0.04%;0.023889
204;Fidelity National Information Services Inc.;FIS;116.65;0.12;0.10%;0.178271
205;Fifth Third Bancorp;FITB;48.37;1.94;4.18%;0.08039
206;First Republic Bank;FRC;202.63;4.66;2.35%;0.089163
207;FirstEnergy Corp.;FE;41.08;0.28;0.69%;0.05567
208;Fiserv Inc.;FISV;109.1;0.74;0.68%;0.161981;0.478
209;Ford Motor Company;F;24.48;0.82;3.47%;0.232864
210;Fortinet Inc.;FTNT;314;10.51;3.46%;0.103215;0.35
211;Fortive Corp.;FTV;72.45;0.14;0.19%;0.064999
212;Fortune Brands Home & Security Inc.;FBHS;104.84;0.72;0.69%;0.035996
213;Fox Corporation Class A;FOXA;38.43;0.82;2.18%;0.0305
214;Fox Corporation Class B;FOX;35.48;0.72;2.07%;0.012926
215;Franklin Resources Inc.;BEN;34.1;0.24;0.71%;0.023365
216;Freeport-McMoRan Inc.;FCX;40.53;-1.15;-2.76%;0.153522
217;Gap Inc.;GPS;18.56;0.14;0.76%;0.009595
218;Garmin Ltd.;GRMN;132.78;-0.27;-0.20%;0.050254
219;Gartner Inc.;IT;306.23;3.02;1.00%;0.063553
220;Generac Holdings Inc.;GNRC;317.39;5.30;1.70%;0.049391
221;General Dynamics Corporation;GD;211.74;1.43;0.68%;0.121778
222;General Electric Company;GE;99.95;0.58;0.58%;0.273577
223;General Mills Inc.;GIS;68.49;-0.31;-0.45%;0.104607
224;General Motors Company;GM;63.14;0.40;0.64%;0.228452
225;Genuine Parts Company;GPC;140.3;1.36;0.98%;0.049905
226;Gilead Sciences Inc.;GILD;71.59;-0.59;-0.82%;0.226999;0.602
227;Global Payments Inc.;GPN;152;5.58;3.81%;0.107843
228;Globe Life Inc.;GL;98.99;1.55;1.59%;0.022873
229;Goldman Sachs Group Inc.;GS;396.93;-1.70;-0.43%;0.339996
230;HCA Healthcare Inc;HCA;254.51;-4.46;-1.72%;0.155806
231;HP Inc.;HPQ;38.68;-0.19;-0.49%;0.112533
232;Halliburton Company;HAL;25.39;0.21;0.83%;0.056234
233;Hartford Financial Services Group Inc.;HIG;71.5;1.14;1.62%;0.061223
234;Hasbro Inc.;HAS;103.15;-0.17;-0.16%;0.033349
