Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;Last Trend
Algeria;43851044;2381740;264;0.602038118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1362193665;0.316074013;0.6068568379;0.763271491;0.692206906;0.5035879293;0.2758848144;0.1788200319;0.095259525;0.0686816558;0.048276925;0.0573712634;0.1019624863;0.1662534248;0.2139721024;0.2334008507;0.2124383062;0.1878656497;0.1592169702;0.1817973642;0.2297806393;0.2672743523;0.2899645361;0.147826087
American Samoa;55191;200;0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;77265;470;164;212.2565197696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0.0745699318;0.9343364203;1.2724387329;1.5706177987;1.541933121;0.5059172746;0.3628710732;0.263626697;0.2517478277;0.2330827068
Angola;32866272;1246700;3;0.0091278987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;97929;440;3;3.0634439237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0.1362193665;0.235930917;
Argentina;45195774;2736690;387;0.8562747482;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8072040072;0.7892909542;0.4453137623;0.2574334297;0.211782784;0.1963929834;0.2303760308;0.2516784346;0.2510060312;0.2468212284;0.2203918124;0.2249967988;0.2269532557;0.2841352271;0.3129163148;0.3309713214;0.2857142857
Armenia;2963243;28470;249;8.4029558156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0.189207115;0.442797976;0.77827941;1.0404244654;1;0.8612097182;0.6342674454;0.5192145333;0.3667635668;0.274028977;0.2301146101;0.2075604524;0.1927412018;0.0595744681
Australia;25499884;7682300;2044;8.0157227382;;;;;;;;;;;;0.209896735;0.1983908635;0.1582921853;0.1142884286;0.0608783473;0.0492682046;0.0392898776;0.0442698471;0.0431751412;0.029883572;0.0173978273;0.0056340257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0514473818;0.1046267912;0.1618507285;0.2085501589;0.2178832856;0.214981075;0.1946086489;0.1669095451;0.1324444991;0.1203242718;0.1317708993;0.1633205486;0.1621532128;0.186613409;0.2051589182;0.2303417188;0.2631104744;0.2535549812;0.2468584186;0.228417311;0.2189602653;0.2258913833;0.2500325685;0.2610767624;0.2680841496;0.2152199762
Australia Australian Capital Territory;426709;2358;39;9.1397181686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.316074013;0.3426748071;0.3961944238;0.4845513329;0.6068568379;0.6220894112;
Australia New South Wales;8089526;809952;818;10.1118409163;;;;;;;;;;;;0.0219911623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0392898776;0.0745699318;0.2014057071;0.359567119;0.4204851732;0.4462538043;0.3204391608;0.2239142538;0.189207115;0.1913250345;0.2193374772;0.1908196029;0.181304969;0.1752582049;0.190972832;0.2252961859;0.2341375422;0.2458210982;0.2340985459;0.2210569498;0.207816147;0.2247448714;0.2264769431;0.2349297571;0.2227204783
