Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12
US Louisiana;4648794;111898;20595;443.0181247007;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;14;36;69;91;114;171;240;347;479;585;837;1172;1388;1795;2305;2746;3315;3540;4025;5237;6424;9150;10297;12496;13010;14867;16284;17030;18283;19253;20014;20595
US Maine;1344212;79883;633;47.0907862748;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;3;17;32;43;53;57;73;89;107;125;149;155;168;211;253;275;303;344;376;432;456;470;499;519;537;560;586;616;633
US Maryland;6045680;25142;8225;136.0475579257;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;5;6;9;12;17;26;31;37;57;85;107;149;190;244;288;349;423;580;774;992;1239;1413;1660;1985;2331;2758;3125;3609;4045;4371;5529;6185;6968;7694;8225
US Massachusetts;6892503;20202;25475;369.6044818551;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;13;27;41;92;93.5;95;123;138;151;164;218;256;328;413;525;646;777;1159;1838;2417;3240;4257;4955;5752;6620;7738;8966;10402;11736;12500;13837;15202;16790;18941;20974;22860;25475
US Michigan;9986857;146435;24638;246.7042433871;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;16;25;33;53;65;80;336;549;787;1035;1328;1791;7060;7767;8659;9287;10010;10901;11875;12888;14117;15252;16395;17567;18850;19823;20589;21504;22783;23993;24638
US Minnesota;5639632;206232;1621;28.7430101822;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;5;9;14;21;35;54;60;77;89;115;138;169;235;262;287;346;398;441;503;576;629;689;742;789;865;935;986;1069;1154;1242;1336;1427;1621
US Mississippi;2976149;121531;2781;93.4429022203;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;6;10;12;21;34;50;80;140;207;249;320;377;485;579;663;758;847;937;1073;1177;1358;1455;1638;1738;1915;2003;2260;2469;2642;2781
US Missouri;6137428;178040;4160;67.7808358811;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;4;5;6;8;13;24;47;73;90;183;269.5;356;502;669;838;934.5;1031;1327;1581;1834;2113;2291;2367;2722;3037;3327;3539;3799;4024;4160
US Montana;1068778;376962;387;36.2095776672;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;7;7.5;8;10;12;16;20;31;34;46;53;71;108;129;154;171;184;208;227;243;265;286;299;319;332;354;365;377;387
US Nebraska;1934408;198974;791;40.8910633124;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;5;10;13;14;17;18;21;24;27;32;38;48;50;52;61;73;85;96;108;145;172;210;246;279;321;363;409;447;519;567;635;700;791
US Nevada;3080156;284332;2836;92.0732586272;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;5;7;11;20;21;45;55;75;95;109;124;190;245;278;321;420;535;621;738;1008;1113;1279;1458;1514;1742;1836;1953;2087;2318;2456;2584;2700;2836
US New Hampshire;1359711;23187;929;68.3233422396;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;4.5;5;5.5;6;6.5;7;13;15;17;26;39;44;55;65;78;101;108;137;158;187;214;314;364.5;415;447;479;540;621;669;715;788;803.5;819;885;929
US New Jersey;8882190;19047;61850;696.3372771805;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;6;11;15;24;30;50;74;98;178;267;427;742;890;1327;1914;2844;3675;4402;6876;8825;11124;13386;16636;18696;22255;25590;29895;34124;37505;41090;44416;47437;51027;54588;58151;61850
US New Mexico;2096829;314161;1174;55.9893057565;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;10;11.5;13;17;23;28;35;43;57;61;65;83;100;112;136;191;237;259;281;315;363;403;495;543;624;686;794;865;1091;1132.5;1174
US New York;19453561;122057;188694;969.9715131847;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;22;33;76;105;142;173;216;318.5;421;524;729;950;1700;2382;4152;7102;10356;15168;20875;25665;30811;37258;44635;52318;59513;66497;75795;83712;92381;102863;113704;122031;130689;138863;149316;159937;170512;180458;188694
US North Carolina;10488084;125920;4520;43.0965274496;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;7;9.5;12;15;23;32;33;40;63;97;137;184;255;297;398;504;636;763;935;1040;1307;1498;1584;1857;2093;2402;2585;2870;3221;3426;3651;3908;4312;4520
US North Dakota;762062;178711;308;40.416659012;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;3;6;15;20;28;29;30;34;39;52;65;83;98;109;126;142;159;173;186;207;225;237;251;269;278;293;308
