Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;Last Trend
US Kansas;2913314;211754;1337;45.892753064;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4165900602;0.3342349737;0.2749140361;0.2372422911;0.2512847702;0.2611027552;0.2755077272;0.2711620007;0.2546524198;0.2326230973;0.1995837917;0.1804387665;0.1607002615;0.1498024016;0.1393926334;0.1314806824;0.1210921477;0.1155295668;0.1163668985;0.113168975;0.1155005507;0.1081297234;0
US Kentucky;4467673;102269;1840;41.1847509878;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1984873499;0.2108076769;0.2411028371;0.3143289602;0.3395806587;0.3353358894;0.3130736946;0.2563151323;0.2486748041;0.2409826295;0.2619862049;0.2527874975;0.2250653432;0.2008141013;0.1760837779;0.1682802548;0.1583514504;0.1528742462;0.1286654703;0.1025124624;0.0935395928;0.1008804778;0.135535262;0.1647020987;0.1811357279;0
US Louisiana;4648794;111898;20595;443.0181247007;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4608026919;0.4118346225;0.4148273886;0.4028434506;0.3887380152;0.3708727326;0.3476066344;0.3376840237;0.3148273966;0.2870170189;0.2636191901;0.2282546466;0.1955879941;0.1774924981;0.1777216124;0.2217832171;0.2535802044;0.269437735;0.2448967355;0.1956033056;0.15635397;0.1209678393;0.1094612966;0.0912333159;0.0820306885;0.0673444691;0
US Maine;1344212;79883;633;47.0907862748;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2421214794;0.2040252024;0.2035202457;0.2012087069;0.1842391695;0.1536701862;0.1376450895;0.1364934909;0.1552325481;0.1698364662;0.1671973563;0.1489442576;0.1352250694;0.1316160046;0.1253905491;0.1099679133;0.0870374086;0.0735794833;0.0614542211;0.0595518918;0.0656451605;0.0703976549;0
US Maryland;6045680;25142;8225;136.0475579257;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3431440278;0.3577275357;0.3878975464;0.380384118;0.347670107;0.3103090379;0.2724983152;0.2468844451;0.2389781154;0.2581993755;0.2848998198;0.305218135;0.2888627932;0.2569174021;0.2212220816;0.196543577;0.1906810125;0.1861303847;0.1827859967;0.1710693132;0.1541471457;0.1531940358;0.1555331126;0.1658082869;0.1692926324;0.1552456102;0
US Massachusetts;6892503;20202;25475;369.6044818551;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4003714823;0.2213285344;0.1613342982;0.1273047426;0.1437136109;0.158261222;0.1823002994;0.222311752;0.2475729202;0.2663939228;0.2622371543;0.2917295696;0.3308188881;0.3744088182;0.416346234;0.4132185281;0.35868041;0.2978772771;0.2410070622;0.2000307829;0.1763297012;0.1667444656;0.164881755;0.1535407339;0.1380791444;0.1219169655;0.1142520237;0.1159893936;0.1238488658;0.1336326865;0.1352594478;0
US Michigan;9986857;146435;24638;246.7042433871;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6020942755;0.7210619571;0.82943761;0.8669306863;0.6065616273;0.4463873183;0.5742844481;0.6319728241;0.6594423474;0.5831027746;0.2911773765;0.1638121653;0.0889150062;0.0875121375;0.0885738115;0.0908992958;0.0913324766;0.0890874919;0.0856027363;0.0814379685;0.1015845599;0.0924834608;0.0851387576;0.0810736839;0.0804015221;0
US Minnesota;5639632;206232;1621;28.7430101822;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3404561136;0.2642367443;0.2325488237;0.2204901249;0.246534584;0.2435608445;0.2345605559;0.2123010082;0.1807549759;0.1626914884;0.1545798094;0.1562226876;0.1486908626;0.1400358044;0.1284988175;0.1162758247;0.105064513;0.0992120733;0.1029280386;0.1023728078;0.100856156;0.1047662982;0.1079927836;0.1097070698;0.1176214563;0
US Mississippi;2976149;121531;2781;93.4429022203;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5871682242;0.5917282357;0.5457186748;0.4763610955;0.3701075388;0.2935053252;0.2504255898;0.2258272496;0.2096992706;0.1803525053;0.1559607742;0.1384966862;0.1290195132;0.1307712836;0.1320092212;0.1341708659;0.1279199398;0.1205953524;0.112282771;0.1087593419;0.1129895221;0.1153702595;0.1193912617;0
US Missouri;6137428;178040;4160;67.7808358811;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6008418222;0.5517198685;0.5306659277;0.4548474004;0.3918956229;0.3216813438;0.2589949242;0.2140322222;0.1854292586;0.1829215019;0.1892044803;0.1789223337;0.1507619803;0.1253515906;0.1109463545;0.1103927773;0.11619247;0.1170260934;0.1104047772;0.0923934652;0
