Country/Region;Population;Area;Maximum;Per 100,000 inh.;Rate A;aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12
US Minnesota;5639632;206232;70;1.2412157389;0.0431832202;0.0709939148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;2;4;5;9;10;12;17;18;22;24;29;30;34;39;50;57;64;70
US Mississippi;2976149;121531;96;3.2256449526;0.0345199569;0.0552359033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;2;6;8;13;14;16;20;22;26;29;35;43;51;59;67;76;82;93;96
US Missouri;6137428;178040;110;1.792281718;0.0264423077;0.0404114622;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;1;1;3;3;3;3;8;8;8;10;10;13;14;18;19;19;24;34;39;53;58;77;96;109;110
US Montana;1068778;376962;6;0.561388801;0.015503876;0.0200668896;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;4;4;5;5;5;5;6;6;6;6;6;6;6;6
US Nebraska;1934408;198974;17;0.8788218411;0.0214917826;0.0415647922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;2;2;2;3;4;5;6;6;8;8;10;12;14;15;17;17
US Nevada;3080156;284332;112;3.6361794662;0.0394922426;0.0573476703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;2;2;4;4;6;10;10;10;14;15;17;26;38;43;46;46;46;58;71;80;86;102;112
US New Hampshire;1359711;23187;23;1.691535922;0.0247578041;0.0343796712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;3;3;4;4;5;7;9;9;9;18;18;21;22;23
US New Jersey;8882190;19047;2350;26.4574389875;0.0379951496;0.0571915308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;3;5;9;11;16;20;27;44;62;81;108;140;161;198;267;355;537;646;846;917;1003;1232;1504;1700;1932;2183;2350
US New Mexico;2096829;314161;20;0.9538212224;0.0170357751;0.0320512821;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;4;5;6;7;10;11;12;12;13;16;19;19;20
US New York;19453561;122057;9385;48.2430954415;0.0497366106;0.0718117057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;7;7;12;12;35;44;114;114;210;285;385;519;728;965;1218;1550;1941;2373;2935;3565;4159;4758;5489;6268;7067;7844;8627;9385
US North Carolina;10488084;125920;81;0.7723050273;0.017920354;0.0282229965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;1;2;3;4;4;6;8;10;16;19;24;31;33;46;53;65;74;80;81
US North Dakota;762062;178711;8;1.049783351;0.025974026;0.0355555556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;3;3;3;3;3;3;4;4;5;6;7;8
US Ohio;11689100;105829;253;2.1644095782;0.0383101151;0.0568539326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;3;6;8;10;15;19;25;29;39;55;65;81;91;102;119;142;167;193;213;231;247;253
US Oklahoma;3956971;177660;96;2.4260981443;0.0487309645;0.0723436323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;3;5;7;8;15;16;17;23;30;34;38;42;46;51;67;79;80;88;94;96
US Oregon;4217737;248608;52;1.232888632;0.0340537001;0.0459363958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;3;4;5;8;8;11;12;13;13;16;18;18;21;22;26;27;27;33;33;44;44;48;52
US Pennsylvania;12801989;115883;507;3.9603221031;0.0222047037;0.0390600924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;6;7;11;16;22;34;38;49;63;74;90;102;136;150;162;240;309;338;416;494;507
US Puerto Rico;3193694;8868;44;1.3777149595;0.0490523969;0.0857699805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;3;3;5;6;8;11;12;15;18;20;21;23;24;33;39;42;44
US Rhode Island;1059361;2678;63;5.9469812462;0.0236397749;0.0582255083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;8;10;12;14;17;25;27;30;35;43;49;56;63
US South Carolina;5148714;77857;82;1.5926307035;0.0247062368;0.0367218988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;3;5;5;7;9;9;13;16;18;22;26;31;31;40;44;44;51;63;67;72;80;82
US South Dakota;884659;196350;6;0.67822743;0.0082191781;0.0208333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;4;6;6;6;6;6;6
US Tennessee;6829174;106798;101;1.4789489915;0.0190278824;0.0265649658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;3;3;6;6;7;13;23;24;32;37;43;44;65;72;79;94;98;101;101
US Texas;28995881;676587;271;0.9346155063;0.0200978938;0.0372457394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;3;5;5;5;8;9;12;18;23;27;34;34;41;58;70;90;105;127;140;154;177;199;226;254;271
US Utah;3205958;212818;18;0.5614546416;0.0078158923;0.0107462687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;1;1;1;1;1;2;2;2;4;5;7;7;7;8;8;13;13;13;13;17;18;18
US Vermont;623989;23871;27;4.3269993542;0.0371389271;0.0497237569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;5;7;8;9;10;12;12;12;13;16;17;17;20;22;23;23;23;23;24;25;27
US Virgin Islands;104425;350;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
US Virgin Islands;104425;350;1;0.9576250898;0.0196078431;0.023255814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1
US Virginia;8535519;102279;141;1.6519206389;0.0267349261;0.0489923558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;2;3;6;7;9;13;14;17;22;25;27;34;41;46;52;51;54;63;75;109;121;130;141
US Washington;7614893;172119;491;6.4478909947;0.0480242567;0.0565733379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;5;8;11;14;16;20;26;27;31;35;37;40;44;47;51;56;68;77;81;91;102;108;122;133;142;155;177;191;211;228;239;252;270;296;325;345;365;378;393;446;446;446;491;491
US West Virginia;1792147;62259;8;0.4463919533;0.0130932897;0.0231884058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;3;4;4;4;5;5;5;8
US Wisconsin;5822434;140268;144;2.4731924827;0.043100868;0.0590163934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;4;5;5;7;8;13;13;13;14;16;24;31;37;56;68;77;92;99;111;128;137;144
US Wyoming;578759;251470;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
