Country/Region;Population;Maximum;Per 100,000 inh.;CDGR per day;Comments;Day 1;Day 2;Day 3;Day 4;Day 5;Day 6;Day 7;Day 8;Day 9;Day 10;Day 11;Day 12;Day 13;Day 14;Day 15;Day 16;Day 17;Day 18;Day 19;Day 20;Day 21;Day 22;Day 23;Day 24;Day 25;Day 26;Day 27;Day 28;Day 29;Day 30;Day 31;Day 32;Day 33;Day 34;Day 35;Day 36;Day 37;Day 38;Day 39;Day 40;Day 41;Day 42;Day 43;Day 44;Day 45;Day 46;Day 47;Day 48;Day 49;Day 50;Day 51;Day 52;Day 53;Day 54;Day 55;Day 56;Day 57;Day 58;Day 59;Day 60;Day 61;Day 62;Day 63;Day 64;Day 65;Day 66;Day 67;Day 68;Day 69;Day 70;Day 71;Day 72;Day 73;Day 74;Day 75;Day 76;Day 77;Day 78;Day 79;Day 80;Day 81;Day 82
American Samoa;55191;0;0;0;
US Kansas;2913314;1337;45.892753064;0.1653163873;;34;44;55;64;82;98;126;168;202;261;319;368;428;482;552;620;698;747;845;900;1003;1106;1166;1268;1337
US Kentucky;4467673;1840;41.1847509878;0.1801795736;;21;22;26;35;47;54;99;104;124;157;198;248;302;394;439;480;591;680;770;831;917;955;1008;1149;1346;1693;1766.5;1840
US Louisiana;4648794;20595;443.0181247007;0.2357064394;;36;69;91;114;171;240;347;479;585;837;1172;1388;1795;2305;2746;3315;3540;4025;5237;6424;9150;10297;12496;13010;14867;16284;17030;18283;19253;20014;20595
US Maine;1344212;633;47.0907862748;0.1216462605;;32;43;53;57;73;89;107;125;149;155;168;211;253;275;303;344;376;432;456;470;499;519;537;560;586;616;633
US Maryland;6045680;8225;136.0475579257;0.2195862013;;26;31;37;57;85;107;149;190;244;288;349;423;580;774;992;1239;1413;1660;1985;2331;2758;3125;3609;4045;4371;5529;6185;6968;7694;8225
US Massachusetts;6892503;25475;369.6044818551;0.2161660324;;27;41;92;93.5;95;123;138;151;164;218;256;328;413;525;646;777;1159;1838;2417;3240;4257;4955;5752;6620;7738;8966;10402;11736;12500;13837;15202;16790;18941;20974;22860;25475
US Michigan;9986857;24638;246.7042433871;0.2683229262;;25;33;53;65;80;336;549;787;1035;1328;1791;7060;7767;8659;9287;10010;10901;11875;12888;14117;15252;16395;17567;18850;19823;20589;21504;22783;23993;24638
US Minnesota;5639632;1621;28.7430101822;0.1616850601;;21;35;54;60;77;89;115;138;169;235;262;287;346;398;441;503;576;629;689;742;789;865;935;986;1069;1154;1242;1336;1427;1621
US Mississippi;2976149;2781;93.4429022203;0.2067427007;;21;34;50;80;140;207;249;320;377;485;579;663;758;847;937;1073;1177;1358;1455;1638;1738;1915;2003;2260;2469;2642;2781
US Missouri;6137428;4160;67.7808358811;0.2396148028;;24;47;73;90;183;269.5;356;502;669;838;934.5;1031;1327;1581;1834;2113;2291;2367;2722;3037;3327;3539;3799;4024;4160
US Montana;1068778;387;36.2095776672;0.144156675;;20;31;34;46;53;71;108;129;154;171;184;208;227;243;265;286;299;319;332;354;365;377;387
US Nebraska;1934408;791;40.8910633124;0.1497773209;;21;24;27;32;38;48;50;52;61;73;85;96;108;145;172;210;246;279;321;363;409;447;519;567;635;700;791
US Nevada;3080156;2836;92.0732586272;0.1863032825;;20;21;45;55;75;95;109;124;190;245;278;321;420;535;621;738;1008;1113;1279;1458;1514;1742;1836;1953;2087;2318;2456;2584;2700;2836
US New Hampshire;1359711;929;68.3233422396;0.1537765149;;26;39;44;55;65;78;101;108;137;158;187;214;314;364.5;415;447;479;540;621;669;715;788;803.5;819;885;929
US New Jersey;8882190;61850;696.3372771805;0.2781969133;;24;30;50;74;98;178;267;427;742;890;1327;1914;2844;3675;4402;6876;8825;11124;13386;16636;18696;22255;25590;29895;34124;37505;41090;44416;47437;51027;54588;58151;61850
US New Mexico;2096829;1174;55.9893057565;0.163295398;;23;28;35;43;57;61;65;83;100;112;136;191;237;259;281;315;363;403;495;543;624;686;794;865;1091;1132.5;1174
US New York;19453561;188694;969.9715131847;0.2691379381;;22;33;76;105;142;173;216;318.5;421;524;729;950;1700;2382;4152;7102;10356;15168;20875;25665;30811;37258;44635;52318;59513;66497;75795;83712;92381;102863;113704;122031;130689;138863;149316;159937;170512;180458;188694
US North Carolina;10488084;4520;43.0965274496;0.1997289097;;23;32;33;40;63;97;137;184;255;297;398;504;636;763;935;1040;1307;1498;1584;1857;2093;2402;2585;2870;3221;3426;3651;3908;4312;4520
US North Dakota;762062;308;40.416659012;0.1262410057;;20;28;29;30;34;39;52;65;83;98;109;126;142;159;173;186;207;225;237;251;269;278;293;308
US Ohio;11689100;6604;56.4970784748;0.2128726592;;24.5;36;50;67;88;119;169;247;351;442;564;704;867;1137;1406;1653;1933;2199;2547;2902;3312;3739;4043;4450;4782;5148;5512;5836;6187;6604
US Oklahoma;3956971;1970;49.7855556687;0.1838119758;;29;44;49;53;67;81;106;164;248;322;377;429;481;565;719;879;988;1159;1252;1327;1472;1524;1684;1794;1868;1970
US Oregon;4217737;1527;36.2042488662;0.1425959383;;24.5;30;33;36;39;47;75;88;114;137.5;161;191;209;268;327;414;479;548;606;690;736;826;899;999;1068;1132;1181;1239;1321;1346;1371;1527
US Pennsylvania;12801989;22833;178.3550977899;0.2511081358;;22;41;47;63;76;96;133;185;268;371;479;644;851;1127;1687;2218;2751;3394;4087;4843;5805;7016;8420;10017;11510;12980;14559;16239;18228;19979;21655;22833
US Puerto Rico;3193694;897;28.0865981525;0.1860881345;;21;23;31;39;51;64;79;100;127;174;239;286;316;378;452;475;513;573;620;683;725;788;897
US Rhode Island;1059361;2665;251.5667463688;0.1837619789;;20;20.5;21;23;33;44;54;66;83;106;124;132;165;203;239;294;402;489;566;657;709;806;922;1082;1230;1450;1727;2015;2349;2665
US South Carolina;5148714;3319;64.4626988409;0.1934637446;;28;33;60;70.5;81;152;195;298;361;424;456;497.5;539;774;925;1083;1293;1554;1735.5;1917;2049;2233;2417;2552;2792;3065;3207;3319
US South Dakota;884659;730;82.5176706505;0.1840931918;;21;28;30;41;46;58;68;90;101;108;129;165;187;212;240;288;320;393;447;536;626;730
US Tennessee;6829174;5308;77.7253588794;0.1939842158;;26;32;39;52;73;98;154;228;371;505;615;667;784;957;1203;1373;1537;1834;2239;2683;2845;3067;3321;3633;3802;4138;4362;4634;4862;5114;5308
US Texas;28995881;13484;46.503156776;0.2238761814;;21;23;39;51;56;57;64;83;143;194;304;334;352;410;974;1396;1731;2052;2552;2877;3266;3997;4669;5330;6110;6812;7276;8262;9353;10230;11671;12561;13484
US Utah;3205958;2303;71.8350022053;0.1705708662;;28;39;51;63;78;112;136;181;257;299;346;402;480;602;719;806;887;1012;1074;1246;1428;1605;1675;1738;1846;1976;2102;2206;2303
US Vermont;623989;727;116.5084640915;0.1569013346;;22;29;40.5;52;75;95;123;158;184;211;235;256;293;321;338;389;461;512;543;575;605;628;679;711;727
US Virgin Islands;104425;0;0;0;
US Virgin Islands;104425;51;48.8388795786;0.0576529044;;22;23;30;31;32;33;38;40;42;43;44;45;46;50;51;51
US Virginia;8535519;5274;61.7888613452;0.1880479311;;30;37.5;45;51;67;77;94;114;152;219;254;290;391;460;604;739;890;1020;1250;1484;1706;2012;2407;2637;2878;3333;3645;4042;4509;5077;5274
US Washington;7614893;10224;134.2632128908;0.1489406869;;30;34;58;76;96;149;181;246;343;390;474;543;693;793;924;1052;1218;1388;1535;1773;2006;2242;2450;2823;3275;3745;4238;4707;5102;5566;6030;6593;6962;7548;7934;8332;8679;9043;9506;9769;10224;10224;10224
US West Virginia;1792147;611;34.0931854362;0.1971773317;;20;39;51;76;96;113;126;162;191;217;237;282;324;345;412;462;523;554;577;611
US Wisconsin;5822434;3341;57.3815005889;0.1822812375;;26;33;47;72;106;155;206;281;385;416;457;585;707;842;989;1112;1221;1351;1550;1730;1912;2112;2267;2440;2578;2756;2885;3068;3213;3341
US Wyoming;578759;320;55.2907168614;0.1167361526;;23;24;26;29;44;53;70;82;86;94;109;130;150;162;187;197;210;216;221;230;320;261;261
