Country/Region;Population;Area;Maximum;Per 100,000 inh.;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12
US Louisiana;4648794;111898;20595;443.0181247007;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;14;36;69;89;112;167;234;339;467;569;817;1138;1342;1730;2222;2627;3178;3389;3840;4998;6151;8803;9818;11911;12173;13695;14896;15235;15978;16507;16699;17055
US Maine;1344212;79883;633;47.0907862748;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;3;17;32;43;53;57;73;89;107;125;149;154;165;208;250;258;271;301;323;375;383;381;392;394;388;405;418;405;380
US Maryland;6045680;25142;8225;136.0475579257;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;5;6;9;12;17;26;31;37;57;85;106;146;187;241;283;343;414;568;757;966;1208;1376;1603;1900;2224;2609;2935;3365;3757;4022;5106;5605;6194;6702;6986
US Massachusetts;6892503;20202;25475;369.6044818551;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;13;27;41;92;93.5;95;123;138;151;164;218;254;326;405;512;619;736;1067;1744.5;2322;3117;4119;4804;5588;6402;7482;8638;9989;11211;11854;13060;14043;14952;16524;17734;18603;20520
US Michigan;9986857;146435;24638;246.7042433871;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;16;25;33;53;65;80;333;546;782;1027;1313;1767;7017;7707;8567;9195;9878;10717;11616;12551;13700;14703;15608;16532;17522;18032;13529;13737;14124;14706;14628
US Minnesota;5639632;206232;1621;28.7430101822;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;5;9;14;21;35;54;60;77;89;115;137;168;233;259;282;337;384;420;468;522;569;612;653;674;727;766;751;807;867;896;938;986;1118
US Mississippi;2976149;121531;2781;93.4429022203;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;6;10;12;21;34;50;79;139;206;248;319;375;479;571;650;744;831;916;1039;1127;1278;1315;1431;1489;1595;1626;1775;1890;1979;2023
US Missouri;6137428;178040;4160;67.7808358811;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;4;5;6;8;13;23;46;70;87;180;266.5;348;494;661;828;924.5;1018;1313;1563;1810;2066;2218;2277;2539;2767.5;2971;3037;3130;3186;3225.5
US Montana;1068778;376962;387;36.2095776672;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;7;7.5;8;10;12;16;20;31;34;46;53;70;107;124;147;163.5;176;198;215;227;245;255;265;273;279;283;257;248;233
US Nebraska;1934408;198974;791;40.8910633124;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;5;10;13;14;17;18;21;24;27;32;37;47;47;49;56;63;72;82;91;127;151;186;219;247;283;315;359;395;458;494;550;604;683
