#;Company;Symbol;Weight sp500;      Price;Chg;% Chg
207;Yum! Brands Inc.;YUM;0.100451;  136.92;1.40;(1.03%)
208;SVB Financial Group;SIVB;0.100338;  733.00;51.07;(7.49%)
209;Travelers Companies Inc.;TRV;0.099925;  162.33;2.56;(1.60%)
210;Ross Stores Inc.;ROST;0.098226;  109.51;-0.15;(-0.14%)
211;Rockwell Automation Inc.;ROK;0.098165;  335.11;-2.25;(-0.67%)
212;Walgreens Boots Alliance Inc;WBA;0.097239;  52.44;-1.56;(-2.89%)
213;SBA Communications Corp. Class A;SBAC;0.09636;  348.51;-2.26;(-0.64%)
214;Archer-Daniels-Midland Company;ADM;0.096258;  69.22;0.61;(0.89%)
215;McKesson Corporation;MCK;0.095895;  244.61;-2.70;(-1.09%)
216;Electronic Arts Inc.;EA;0.095473;  129.69;-4.11;(-3.07%)
217;Welltower Inc.;WELL;0.095133;  87.63;0.65;(0.75%)
218;Xcel Energy Inc.;XEL;0.093242;  68.50;-0.54;(-0.78%)
219;Aflac Incorporated;AFL;0.092945;  61.19;1.11;(1.85%)
220;International Flavors & Fragrances Inc.;IFF;0.092688;  143.82;-1.10;(-0.76%)
221;Mettler-Toledo International Inc.;MTD;0.091904;  1,602.85;19.74;(1.25%)
222;Discover Financial Services;DFS;0.090558;  123.00;2.36;(1.96%)
223;CBRE Group Inc. Class A;CBRE;0.089863;  105.71;-1.01;(-0.95%)
224;Ameriprise Financial Inc.;AMP;0.089803;  319.20;4.26;(1.35%)
225;Monster Beverage Corporation;MNST;0.089771;  95.52;-0.53;(-0.55%)
226;Otis Worldwide Corporation;OTIS;0.089723;  84.71;0.88;(1.05%)
227;Biogen Inc.;BIIB;0.089365;  237.30;-1.97;(-0.82%)
228;ResMed Inc.;RMD;0.089326;  241.80;-2.94;(-1.20%)
229;Match Group Inc.;MTCH;0.089291;  126.80;1.28;(1.02%)
230;First Republic Bank;FRC;0.089163;  202.63;4.66;(2.35%)
231;Cintas Corporation;CTAS;0.089104;  403.00;-2.98;(-0.73%)
232;State Street Corporation;STT;0.089098;  98.92;1.77;(1.82%)
233;Keysight Technologies Inc;KEYS;0.088782;  192.59;0.43;(0.22%)
234;Fastenal Company;FAST;0.088712;  61.89;0.35;(0.57%)
235;Nucor Corporation;NUE;0.088109;  117.01;-5.71;(-4.65%)
236;AvalonBay Communities Inc.;AVB;0.087948;  251.93;0.78;(0.31%)
237;Allstate Corporation;ALL;0.08716;  122.40;1.38;(1.14%)
238;Corteva Inc;CTVA;0.086979;  47.90;0.66;(1.40%)
239;Verisk Analytics Inc;VRSK;0.086714;  212.67;-1.64;(-0.77%)
240;Phillips 66;PSX;0.086031;  80.48;2.16;(2.76%)
241;Equifax Inc.;EFX;0.085334;  279.85;0.58;(0.21%)
242;Arthur J. Gallagher & Co.;AJG;0.085119;  166.08;1.79;(1.09%)
243;TransDigm Group Incorporated;TDG;0.085114;  645.00;-2.84;(-0.44%)
244;D.R. Horton Inc.;DHI;0.084263;  101.50;-1.57;(-1.52%)
245;EPAM Systems Inc.;EPAM;0.083743;  579.45;-8.35;(-1.42%)
246;Public Service Enterprise Group Inc;PEG;0.083479;  65.89;0.06;(0.09%)
247;AMETEK Inc.;AME;0.083175;  145.15;1.72;(1.20%)
248;ANSYS Inc.;ANSS;0.082324;  376.16;-0.78;(-0.21%)
249;Cummins Inc.;CMI;0.081714;  230.19;3.24;(1.43%)
250;Williams Companies Inc.;WMB;0.081671;  27.70;0.90;(3.36%)
