#;Company;Symbol;Price;Chg;% Chg;Weight sp500;Weight nasdaq100
129;Comcast Corporation Class A;CMCSA;46.91;0.00;0.00%;0.567174;1.59
130;Comerica Incorporated;CMA;94.95;0.00;0.00%;0.033909
131;Conagra Brands Inc.;CAG;31.74;0.00;0.00%;0.041147
132;ConocoPhillips;COP;99.6;0.00;0.00%;0.348902
133;Consolidated Edison Inc.;ED;88.7;0.00;0.00%;0.085236
134;Constellation Brands Inc. Class A;STZ;225.25;-0.68;-0.30%;0.09749
135;Constellation Energy Corporation;CEG;49.9;0.89;1.82%;0.044412;0.12
136;Cooper Companies Inc.;COO;421.31;0.00;0.00%;0.054968
137;Copart Inc.;CPRT;129.24;0.00;0.00%;0.072872;0.23
138;Corning Inc;GLW;38.04;0.02;0.05%;0.077429
139;Corteva Inc;CTVA;55.86;0.01;0.02%;0.109471
140;Costco Wholesale Corporation;COST;561.42;0.07;0.01%;0.65378;1.866
141;Coterra Energy Inc.;CTRA;25;0.15;0.60%;0.05369
142;Crowdstrike Holdings Inc;CRWD;208.4;0.34;0.16%;;0.325
143;Crown Castle International Corp;CCI;174.88;0.00;0.00%;0.204336
144;Cummins Inc.;CMI;206.75;0.00;0.00%;0.078813
145;D.R. Horton Inc.;DHI;85.74;0.00;0.00%;0.072457
146;DENTSPLY SIRONA Inc.;XRAY;48.66;0.00;0.00%;0.028465
147;DISH Network Corporation Class A;DISH;31.65;0.00;0.00%;0.020936
148;DTE Energy Company;DTE;126.07;0.00;0.00%;0.06616
149;DXC Technology Co.;DXC;33.2;0.00;0.00%;0.021952
150;DaVita Inc.;DVA;113.59;0.00;0.00%;0.020269
151;Danaher Corporation;DHR;292.19;0.00;0.00%;0.479059
152;Darden Restaurants Inc.;DRI;133.63;0.00;0.00%;0.04543
153;Datadog Inc;DDOG;145.99;0.23;0.16%;;0.289
154;Deere & Company;DE;413.15;0.00;0.00%;0.3067
155;Delta Air Lines Inc.;DAL;37.68;0.00;0.00%;0.06352
156;Devon Energy Corporation;DVN;58.49;0.22;0.38%;0.096769
157;DexCom Inc.;DXCM;469.61;1.56;0.33%;0.117533;0.34
158;Diamondback Energy Inc.;FANG;131.75;0.30;0.23%;0.060887
159;Digital Realty Trust Inc.;DLR;138.99;0.00;0.00%;0.104325
160;Discover Financial Services;DFS;115.84;0.00;0.00%;0.089121
161;Discovery Inc. Class A;DISCA;26.27;0.01;0.04%;0.011207
162;Discovery Inc. Class C;DISCK;26.37;0.04;0.15%;0.020095
163;DocuSign Inc;DOCU;95.36;-0.15;-0.16%;;0.142
164;Dollar General Corporation;DG;229.63;0.00;0.00%;0.138544
165;Dollar Tree Inc.;DLTR;157.16;-0.01;-0.01%;0.093392;0.265
166;Dominion Energy Inc;D;81.27;0.00;0.00%;0.178629
167;Domino's Pizza Inc.;DPZ;417.95;2.29;0.55%;0.040368
168;Dover Corporation;DOV;159.27;0.00;0.00%;0.060507
169;Dow Inc.;DOW;62.34;-0.05;-0.08%;0.124389
170;DuPont de Nemours Inc.;DD;76.71;0.00;0.00%;0.105119
171;Duke Energy Corporation;DUK;105.01;-0.04;-0.04%;0.218933
172;Duke Realty Corporation;DRE;56.5;0.22;0.39%;0.056052
173;EOG Resources Inc.;EOG;116.56;0.76;0.66%;0.183889
174;EPAM Systems Inc.;EPAM;294.94;0.47;0.16%;0.041493
175;Eastman Chemical Company;EMN;107.47;-0.43;-0.40%;0.038933
176;Eaton Corp. Plc;ETN;155.34;-0.24;-0.15%;0.164773
177;Ecolab Inc.;ECL;171.14;0.00;0.00%;0.114159
178;Edison International;EIX;64.7;0.05;0.08%;0.067154
179;Edwards Lifesciences Corporation;EW;112.77;0.00;0.00%;0.187443
180;Electronic Arts Inc.;EA;126.4;0.12;0.10%;0.0952;0.266
181;Eli Lilly and Company;LLY;288.99;1.35;0.47%;0.60681
182;Emerson Electric Co.;EMR;97.1;0.10;0.10%;0.15253
183;Enphase Energy Inc.;ENPH;184.64;0.12;0.07%;0.065059
184;Entergy Corporation;ETR;109.45;0.00;0.00%;0.059261
185;Equifax Inc.;EFX;241.11;0.00;0.00%;0.077916
186;Equinix Inc.;EQIX;732.26;0.00;0.00%;0.172656
187;Equity Residential;EQR;89;0.00;0.00%;0.081323
188;Essex Property Trust Inc.;ESS;341.6;0.00;0.00%;0.059557
189;Estee Lauder Companies Inc. Class A;EL;276.87;0.00;0.00%;0.168797
190;Etsy Inc.;ETSY;148.4;0.40;0.27%;0.048076
191;Everest Re Group Ltd.;RE;286.66;0.00;0.00%;0.030375
192;Evergy Inc.;EVRG;64.77;0.00;0.00%;0.039739
193;Eversource Energy;ES;83.43;0.00;0.00%;0.077377
194;Exelon Corporation;EXC;43.21;-0.04;-0.09%;0.113529;0.318
195;Expedia Group Inc.;EXPE;192.71;-0.47;-0.24%;0.075042
196;Expeditors International of Washington Inc.;EXPD;107;0.22;0.21%;0.048048
197;Extra Space Storage Inc.;EXR;194.42;0.00;0.00%;0.0701
198;Exxon Mobil Corporation;XOM;78.79;0.12;0.15%;0.895047
199;F5 Inc.;FFIV;206.93;2.96;1.45%;0.032189
200;FLEETCOR Technologies Inc.;FLT;239.21;0.00;0.00%;0.051467
201;FMC Corporation;FMC;130.5;1.06;0.82%;0.044621
202;FactSet Research Systems Inc.;FDS;439.15;0.00;0.00%;0.043241
203;Fastenal Company;FAST;57.99;0.12;0.21%;0.087752;0.25
204;FedEx Corporation;FDX;218.65;-0.26;-0.12%;0.149119
205;Federal Realty Investment Trust;FRT;117;-0.38;-0.32%;0.022028
206;Fidelity National Information Services Inc.;FIS;95.82;0.00;0.00%;0.155174
207;Fifth Third Bancorp;FITB;46.68;-0.01;-0.02%;0.085527
208;First Republic Bank;FRC;170.51;0.00;0.00%;0.081081
209;FirstEnergy Corp.;FE;43.14;0.00;0.00%;0.064031
210;Fiserv Inc.;FISV;100.61;0.00;0.00%;0.159323;0.492
211;Ford Motor Company;F;16.86;0.00;0.00%;0.173839
212;Fortinet Inc.;FTNT;321.3;1.33;0.42%;0.109937;0.386
213;Fortive Corp.;FTV;61.9;0.00;0.00%;0.058412
214;Fortune Brands Home & Security Inc.;FBHS;86.93;0.00;0.00%;0.031805
215;Fox Corporation Class A;FOXA;40.98;0.11;0.27%;0.034822
216;Fox Corporation Class B;FOX;37.75;0.07;0.19%;0.014682
217;Franklin Resources Inc.;BEN;27.92;0.00;0.00%;0.020517
218;Freeport-McMoRan Inc.;FCX;48.08;0.00;0.00%;0.190663
219;Garmin Ltd.;GRMN;119.75;0.14;0.12%;0.046869
220;Gartner Inc.;IT;298.35;0.00;0.00%;0.064494
221;Generac Holdings Inc.;GNRC;320.01;0.68;0.21%;0.052248
222;General Dynamics Corporation;GD;230.23;0.00;0.00%;0.142183
223;General Electric Company;GE;95.59;0.00;0.00%;0.280178
224;General Mills Inc.;GIS;62.77;0.36;0.58%;0.102412
225;General Motors Company;GM;44.82;0.00;0.00%;0.169362
226;Genuine Parts Company;GPC;129;0.00;0.00%;0.049006
227;Gilead Sciences Inc.;GILD;59.42;0.00;0.00%;0.198333;0.558
228;Global Payments Inc.;GPN;135;0.00;0.00%;0.103612
229;Globe Life Inc.;GL;98.23;0.00;0.00%;0.024663
230;Goldman Sachs Group Inc.;GS;345.38;0.00;0.00%;0.311909
231;HCA Healthcare Inc;HCA;261.19;0.51;0.20%;0.171119
232;HP Inc.;HPQ;37.09;0.00;0.00%;0.106384
233;Halliburton Company;HAL;36.19;0.15;0.42%;0.085358
234;Hartford Financial Services Group Inc.;HIG;70.85;0.00;0.00%;0.064073
235;Hasbro Inc.;HAS;89.33;0.00;0.00%;0.030828
236;Healthpeak Properties Inc.;PEAK;33.16;0.00;0.00%;0.047892
237;Henry Schein Inc.;HSIC;87.26;0.00;0.00%;0.032384
238;Hershey Company;HSY;206.73;0.00;0.00%;0.080297
239;Hess Corporation;HES;98.02;0.61;0.63%;0.071458
240;Hewlett Packard Enterprise Co.;HPE;17.04;0.00;0.00%;0.058361
241;Hilton Worldwide Holdings Inc;HLT;151.79;0.00;0.00%;0.112552
242;Hologic Inc.;HOLX;74.91;0.00;0.00%;0.050231
243;Home Depot Inc.;HD;340.74;0.00;0.00%;0.950182
244;Honeywell International Inc.;HON;194.72;0.00;0.00%;0.353733;1.001
245;Hormel Foods Corporation;HRL;49.26;0.00;0.00%;0.037579
246;Host Hotels & Resorts Inc.;HST;19.06;0.03;0.16%;0.035772
247;Howmet Aerospace Inc.;HWM;35.73;0.00;0.00%;0.036048
248;Humana Inc.;HUM;440.61;0.00;0.00%;0.151401
249;Huntington Bancshares Incorporated;HBAN;15.13;0.01;0.07%;0.058803
250;Huntington Ingalls Industries Inc.;HII;194;0.31;0.16%;0.021159
251;IDEX Corporation;IEX;198.99;0.00;0.00%;0.040194
252;IDEXX Laboratories Inc.;IDXX;542.46;0.00;0.00%;0.119832;0.343
253;IPG Photonics Corporation;IPGP;119;0.00;0.00%;0.011278
254;IQVIA Holdings Inc;IQV;227.66;0.00;0.00%;0.114287
255;Illinois Tool Works Inc.;ITW;212.33;0.00;0.00%;0.161901
256;Illumina Inc.;ILMN;347.99;1.88;0.54%;0.141558;0.407
257;Incyte Corporation;INCY;75.2;0.00;0.00%;0.037393
258;Ingersoll Rand Inc.;IR;51.4;0.00;0.00%;0.055011
259;Intel Corporation;INTC;47.45;0.00;0.00%;0.513207;1.448
260;Intercontinental Exchange Inc.;ICE;136.59;-0.31;-0.23%;0.201037
261;International Business Machines Corporation;IBM;128.62;-0.14;-0.11%;0.306447
262;International Flavors & Fragrances Inc.;IFF;129.13;0.00;0.00%;0.086234
263;International Paper Company;IP;45.01;0.00;0.00%;0.046972
264;Interpublic Group of Companies Inc.;IPG;36.04;0.00;0.00%;0.038315
265;Intuit Inc.;INTU;482.68;2.81;0.59%;0.358247;1.018
266;Intuitive Surgical Inc.;ISRG;290.49;0.38;0.13%;0.269333;0.778
267;Invesco Ltd.;IVZ;21.4;0.00;0.00%;0.019431
268;Iron Mountain Inc.;IRM;49.22;-0.25;-0.51%;0.038484
269;J.B. Hunt Transport Services Inc.;JBHT;217;1.93;0.90%;0.048613
270;J.M. Smucker Company;SJM;128.07;0.00;0.00%;0.037517
271;JD.com Inc ADR;JD;65.9;0.77;1.18%;;0.291
272;JPMorgan Chase & Co.;JPM;140.1;0.00;0.00%;1.108641
273;Jack Henry & Associates Inc.;JKHY;185.51;0.00;0.00%;0.036565
274;Jacobs Engineering Group Inc.;J;141.22;0.00;0.00%;0.048032
275;Johnson & Johnson;JNJ;175;0.16;0.09%;1.245895
276;Johnson Controls International plc;JCI;65.93;0.32;0.49%;0.123474
277;Juniper Networks Inc.;JNPR;35.5;0.19;0.54%;0.030107
278;KLA Corporation;KLAC;365.05;0.00;0.00%;0.143085;0.412
279;Kellogg Company;K;60.76;0.00;0.00%;0.041427
280;Keurig Dr Pepper Inc;KDP;38.06;0.25;0.66%;;0.402
281;KeyCorp;KEY;23.93;0.00;0.00%;0.060111
282;Keysight Technologies Inc;KEYS;161.41;0.00;0.00%;0.077168
283;Kimberly-Clark Corporation;KMB;120.85;0.00;0.00%;0.109198
284;Kimco Realty Corporation;KIM;23.85;-0.17;-0.71%;0.038662
285;Kinder Morgan Inc Class P;KMI;17.43;0.07;0.40%;0.091458
286;Kraft Heinz Company;KHC;37.71;0.09;0.24%;0.07155;0.345
287;Kroger Co.;KR;55.86;0.04;0.07%;0.101135
288;L3Harris Technologies Inc;LHX;246.45;0.00;0.00%;0.130678
289;LKQ Corporation;LKQ;46.75;0.00;0.00%;0.033833
290;Laboratory Corporation of America Holdings;LH;275;-0.23;-0.08%;0.070242
291;Lam Research Corporation;LRCX;545;0.36;0.07%;0.19834;0.569
292;Lamb Weston Holdings Inc.;LW;54.58;0.00;0.00%;0.020733
293;Las Vegas Sands Corp.;LVS;39.09;0.13;0.33%;0.033044
294;Leidos Holdings Inc.;LDOS;105.48;0.00;0.00%;0.039054
295;Lennar Corporation Class A;LEN;92.54;0.00;0.00%;0.065555
296;Lincoln National Corporation;LNC;66.05;0.00;0.00%;0.029914
297;Linde plc;LIN;311.95;0.29;0.09%;0.424457
298;Live Nation Entertainment Inc.;LYV;112.99;0.01;0.01%;0.03911
299;Lockheed Martin Corporation;LMT;426.18;0.00;0.00%;0.281465
300;Loews Corporation;L;63.26;0.00;0.00%;0.034834
301;Lowe's Companies Inc.;LOW;235.93;0.26;0.11%;0.4344
302;Lucid Group Inc;LCID;25.7;0.03;0.12%;;0.318
303;Lululemon Athletica Inc;LULU;316.92;-0.01;-0.00%;;0.293
304;Lumen Technologies Inc.;LUMN;11.08;-0.01;-0.09%;0.026656
305;LyondellBasell Industries NV;LYB;102.2;-0.23;-0.22%;0.072173
306;M&T Bank Corporation;MTB;179.29;0.00;0.00%;0.061582
307;MGM Resorts International;MGM;42.25;0.08;0.19%;0.044271
308;MSCI Inc. Class A;MSCI;520.34;0.00;0.00%;0.109787
309;Marathon Oil Corporation;MRO;23.14;0.06;0.26%;0.048605
310;Marathon Petroleum Corporation;MPC;78.38;0.06;0.08%;0.127112
311;MarketAxess Holdings Inc.;MKTX;353.84;0.00;0.00%;0.035971
312;Marriott International Inc. Class A;MAR;171.25;0.06;0.04%;0.125182;0.419
313;Marsh & McLennan Companies Inc.;MMC;162.33;0.00;0.00%;0.217685
314;Martin Marietta Materials Inc.;MLM;385.73;0.00;0.00%;0.063864
315;Marvell Technology Inc;MRVL;71.33;0.00;0.00%;;0.451
316;Masco Corporation;MAS;57.4;0.00;0.00%;0.037744
317;Mastercard Incorporated Class A;MA;350.09;0.00;0.00%;0.804107
318;Match Group Inc.;MTCH;102.69;0.00;0.00%;0.072182;0.219
319;McCormick & Company Incorporated;MKC;96.24;0.00;0.00%;0.064497
320;McDonald's Corporation;MCD;239.47;0.55;0.23%;0.474976
321;McKesson Corporation;MCK;299.05;0.00;0.00%;0.120509
322;Medtronic Plc;MDT;109.81;-0.37;-0.34%;0.395333
323;MercadoLibre Inc;MELI;1186.99;1.46;0.12%;;0.448
324;Merck & Co. Inc.;MRK;79.03;-0.08;-0.10%;0.533427
325;MetLife Inc.;MET;68.45;0.00;0.00%;0.130446
326;Meta Platforms Inc. Class A;FB;216.35;-0.14;-0.06%;1.316444;3.381
327;Mettler-Toledo International Inc.;MTD;1405.23;0.00;0.00%;0.085776
328;Microchip Technology Incorporated;MCHP;77.29;0.00;0.00%;0.112031;0.322
329;Micron Technology Inc.;MU;79.55;0.14;0.18%;0.241062;0.666
330;Microsoft Corporation;MSFT;300.78;0.35;0.12%;5.930459;10.175
331;Mid-America Apartment Communities Inc.;MAA;206.77;0.00;0.00%;0.064546
332;Moderna Inc.;MRNA;179.39;0.46;0.26%;0.158885;0.54
333;Mohawk Industries Inc.;MHK;144.51;0.00;0.00%;0.021706
334;Molina Healthcare Inc.;MOH;343.35;0.00;0.00%;0.052998
335;Molson Coors Beverage Company Class B;TAP;52.96;0.00;0.00%;0.026547
336;Mondelez International Inc. Class A;MDLZ;61.51;0.00;0.00%;0.232589;0.64
337;Monolithic Power Systems Inc.;MPWR;470;0.12;0.03%;0.051566
338;Monster Beverage Corporation;MNST;80.7;0.11;0.14%;0.077906;0.32
339;Moody's Corporation;MCO;331.23;0.00;0.00%;0.139269
340;Morgan Stanley;MS;94.82;0.00;0.00%;0.360655
341;Mosaic Company;MOS;62.21;0.13;0.21%;0.060582
342;Motorola Solutions Inc.;MSI;233.09;0.00;0.00%;0.104425
343;NIKE Inc. Class B;NKE;132.5;1.26;0.96%;0.434859
344;NRG Energy Inc.;NRG;38;0.09;0.24%;0.025473
345;NVIDIA Corporation;NVDA;265.1;0.57;0.22%;1.656609;4.204
346;NVR Inc.;NVR;4988.73;0.00;0.00%;0.043154
347;NXP Semiconductors NV;NXPI;192.75;0.33;0.17%;0.134457;0.379
348;Nasdaq Inc.;NDAQ;180;0.77;0.43%;0.054675
349;NetApp Inc.;NTAP;89.05;-0.64;-0.71%;0.051767
350;NetEase Inc ADR;NTES;90.48;0.30;0.33%;;0.142
351;Netflix Inc.;NFLX;380.89;0.29;0.08%;0.440327;1.266
352;Newell Brands Inc;NWL;22.43;0.04;0.18%;0.02309
353;Newmont Corporation;NEM;74.4;0.44;0.59%;0.156552
354;News Corporation Class A;NWSA;22.39;0.25;1.13%;0.0236
355;News Corporation Class B;NWS;22.43;0.00;0.00%;0.00751
356;NextEra Energy Inc.;NEE;82.21;-0.16;-0.19%;0.434318
357;NiSource Inc;NI;30.09;0.00;0.00%;0.031361
358;Nielsen Holdings Plc;NLSN;24.41;-0.03;-0.12%;0.023038
359;Nordson Corporation;NDSN;230.97;0.00;0.00%;0.032969
360;Norfolk Southern Corporation;NSC;274.83;0.00;0.00%;0.17873
361;Northern Trust Corporation;NTRS;115.45;0.24;0.21%;0.06442
362;Northrop Grumman Corporation;NOC;427.95;0.00;0.00%;0.171021
363;NortonLifeLock Inc.;NLOK;27.35;-0.10;-0.36%;0.040269
364;Norwegian Cruise Line Holdings Ltd.;NCLH;19.92;0.02;0.10%;0.019273
365;Nucor Corporation;NUE;136.16;0.00;0.00%;0.103218
366;O'Reilly Automotive Inc.;ORLY;689.98;0.00;0.00%;0.126457;0.344
367;ONEOK Inc.;OKE;67.34;0.34;0.51%;0.079628
368;Occidental Petroleum Corporation;OXY;56.24;0.00;0.00%;0.137504
369;Okta Inc;OKTA;174.02;-0.48;-0.28%;;0.194
370;Old Dominion Freight Line Inc.;ODFL;328.85;0.55;0.17%;0.080888;0.283
371;Omnicom Group Inc;OMC;84.22;0.00;0.00%;0.048565
372;Oracle Corporation;ORCL;81.68;0.00;0.00%;0.347947
373;Organon & Co.;OGN;35.2;0.12;0.34%;0.023379
374;Otis Worldwide Corporation;OTIS;77.98;0.00;0.00%;0.087121
