Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29
US Michigan;9986857;146435;59924;600.0286176121;0.8533386497;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;18;32;47;62;85;105;132;197;272;386;543;733;913;1129;1496;3108;3855;4475;5301;5993;6672;7771;8706;9735;10719;11882;12784;13535;14972;16122;17574;18535;19595;20474;21222;22438;23493;24462;25385;26354;27051;27630;28554;29366;30198;31021;31800;32450;32916;33772;34808;35866;36769;37743;38227;38708;39570;40350;41256;42227;42915;43315;43633;44382;45027;45617;46176;46763;47120;47393;48326;49938;50731;51285;51909;52221;52460;52969;53707;54267;54709;55166;55377;55530;55690;56124;56509;56812;57126;57308;57552;57796;58069;58346;58555;58754;58827;58879;59007;59058;59068;59316;59538;59683;59896;59924
US Minnesota;5639632;206232;29223;518.1721076836;0.8148964056;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;10;20;41;58;85;119;169;234;252;269;281;303;320;363;410;463;515;583;623;655;753;837;886;962;1008;1037;1083;1187;1272;1355;1437;1511;1562;1592;1726;1864;2002;2143;2297;2393;2495;2762;2997;3273;3762;4254;4569;4934;5596;6174;6830;7453;8044;8362;8680;9495;10119;10724;11510;12189;12460;12674;13489;14135;14830;15588;16357;16669;16966;17927;18760;19512;20456;21215;21584;21924;22316;23080;23721;24279;24708;24867;24993;25562;26032;26532;26914;27295;27449;27576;28020;28441;28767;28977;29017;29013;29011;29223
US Mississippi;2976149;121531;18740;629.6727751198;0.7053863816;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;24;51;105;164;198;261;310;409;497;570;662;749;826;951;1048;1218;1303;1479;1569;1732;1810;2059;2260;2421;2554;2713;2848;3110;3363;3512;3683;3971;4202;4374;4520;4757;5025;5297;5481;5659;5885;6104;6335;6719;6931;7029;7349;7653;7854;8106;8494;8762;8876;9039;9256;9420;9790;10091;10400;10562;10693;10937;11185;11428;11821;12202;12435;12621;12894;13176;13504;13909;14340;14610;14857;15105;15384;15622;15821;15831;16332;16790;17136.5;17472;17771;18069;18313;18477;18740
US Missouri;6137428;178040;15191;247.5141052571;0.7219027705;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;28;49;56;144;216.5;298;425;573;729;824.5;917;1194;1434;1682;1948;2116;2191;2545;2848;3119;3321;3537;3751;3886;4100;4372;4577;4782;4946;5166;5315;5449;5564;5741;5903;6176;6354;6515;6683;6779;6883;7000;7259;7565;7792;8149;8300;8471;8680;8818;8990;9163;9233;9320;9446;9610;9718;9904;10017;10172;10297;10446;10554;10759;10943;11179;11348;11451;11644;11813;11923;12083;12268;12447;12693;12858;13111;13305;13487;13597;13773;13952;14212;14408;14595;14814;15002.5;15191
US Montana;1068778;376962;587;54.9225377019;0.6387377584;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;6;3.5;4;5;7;11;15;25;28;40;47;65;102;123;148;164;177;201;220;235;255;276;289;307;318;340;351;363;373;380;384;388;399;406;410;417;419;421;423;426;428;429;432;433;435;436;437;438;439;440;441;440;440.6666666667;441.3333333333;442;442.3333333333;442.6666666667;443;444;445;447;449;451;452;453;454;461;462;461.3333333333;461.6666666667;462;462.3333333333;462.6666666667;463;467;475;487;496;500;504;505;519;521;520;525;527;533;540;542;551;566;579;587
US Nebraska;1934408;198974;16458;850.8029329904;0.870839727;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;5;10;13;12;15;16;18;20;22;26;32;40;42;42;49;59;70;79;91;128;154;190;225;255;297;335;381;414;481;522;588;650;738;758;816;846;884;996;1065;1211;1396;1570;1640;1727;2034;2329;2636;2930;3258;3271;3677;4168;4719;5203;5787;5958;6306;6633;7047;7684;8087;8165;8422;8539;8912;9252;9602;10050;10178;10447;10665;10935;11239;11476;11801;11946;12167;12428;12781;13049;13438;13689;13885;14125;14380;14632;14877;15135;15299;15390;15503;15627;15768;16055;16247;16366;16458
US Nevada;3080156;284332;10775;349.8199441846;0.6021571476;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;18;30;44;50;54;114;166;187;220;310;415;496;610;875;972;1129;1300;1352;1574;1664;1773;1894;2117;2246;2368;2471;2601;2726;2837;2954;3052;3247;3345;3441;3538;3640;3770;3888;4070;4205;4263;4346;4455;4543;4640;4859;4942;5051;5108;5204;5270;5369;5484;5624;5690;5742;5899;5978;6074;6179;6223;6413;6461;6594;6711;6795;6941;7233;7305;7410;7525;7639;7733;7875;8017;8114;8205;8345;8449;8601;8775;8969;9157;9294;9538;9670;9904;10180;10446;10673;10775
US New Hampshire;1359711;23187;4978;366.1072095467;0.8642361111;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;4;4.5;4;4.5;5;5.5;5;11;12;14;22;35;39;48;56;69;92;90;119;137;165;191;291;341.5;383;415;442;503;583;628;673;746;755.5;768;832;869;925;960;1079;1147;1215;1233.5;1258;1306;1405;1447.5;1477;1556;1599;1656;1731;1805;1868;1904;1987;2151;2258;2416;2440;2454;2550;2644;2739;2803;2951;2989.5;3025;3076;3232;3272;3314;3351;3407;3465;3603;3662;3806;3836;3863;3911;3937;3985;4078;4177;4227;4331;4365;4423;4465;4545;4682;4692;4704;4740;4789;4831;4844;4886;4932;4978
US New Jersey;8882190;19047;152351;1715.2413987992;0.889526601;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;205;244;481;997;1841;2443;2898;5176;6893;8941;11036;14193;15891;19099;22072;26055;30054;33303;36713;39663;42374;45659;48971;52288;55912;58540;62382;64260;68089;70929;73678;77430;80896;84143;87316;91188;93244;96407;99783;101878;104348;106562;108706;111052;113468;116388;117834;120007;121143;122792;124469;126004;127399;128801;129552;130221;131303;132374;133455;134636;136318;137243;138519;139502;140670;140998;141978;142878;143461;144251;145372;146355;147019;147820;148242;148818;149299;149730;150501;151036;151294;151602;151847;152351;150944;151250;151657;151906;152111
US New Mexico;2096829;314161;9231;440.2361852111;0.7816919299;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;9;10.5;11;15;19;23;29;36;47;50;53;71;87;96;117;172;217;233;250;279;327;359;444;490;569;628;729;794;1013;1048.5;1081;1146;1241;1297;1372;1474;1580;1659;1694;1815;1910;2041;2207;2340;2469;2526;2615;2755;2982;3169;3260;3473;3585;3761;3862;4008;4199;4371;4470;4546;4749;4887;5035;5168;5318;5506;5582;5734;5825;5942;6089;6238;6403;6547;6626;6726;6842;6938;7067;7193;7254;7360;7577;7688;7897;8208;8331;8471;8593;8629;8770;9041;9084.5;9130;9231
US New York;19453561;122057;359102;1845.9448118522;0.9139083297;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;32;0;28;0;0;0;0;0;0;0;150;441;1779;4167;6791;11009;16117;20176;24543;30191;36791;43691;50128;56441;64961;72126;80189;90041;100342;108162;116342;124035;134014;144197;154350;163859;171728;177728;184570;195764;203963;211032;217823;223597;228097;232045;237339;242632;250545;260872;266567;270356;273261;277678;282202;286010;290499;293796;296224;298349;301002;304566;307212;309840;312004;313567;314921;317018;319329;322033;324384;326216;327412;328822;330291;332325;333979;335714;337256;338465;339488;340561;342291;343789;345133;346219;347132;348432;349456;350472;351522;352606;353372;354060;354716;355374;356092;356900;357800;358489;359102
US North Carolina;10488084;125920;43777;417.3974960536;0.6895753261;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;7;8.5;10;12;19;28;27;32;53;81;118;160;224;264;352;451;571;689;855;959;1221;1390;1467;1726;1941;2238;2413;2691;3008;3184;3398;3639;4023;4221;4510;4682;4769;5087;5460;5720;6071;6334;6499;6743;7101;7525;8079;8283;8592;8991;9351;9894;10282;10857;11005;11187;11565;12056;12681;13140;13623;14020;14291;14580;15022;15680;16270;17105;17626;18125;18779;19183;19900;20652;21733;22226;22958;23111;23575;24348;25396;26569;27480;28145;28735;29609;30791;32058;33413;34326;35261;35909;36905;38197;39946;41364;42797;43777
US North Dakota;762062;178711;3013;395.3746545557;0.8513704436;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;3;12;17;25;26;27;30;35;47;59;76;90;101;117;133;150;164;177;197;212;224;237;254;263;277;291;312;322;346;374;416;504;560;602;619;648;678;715;768;832;906;953;993;1027;1065;1111;1148;1181;1221;1274;1320;1373;1412;1438;1464;1517;1591;1647;1702;1788;1839;1870;1926;2026;2160;2243;2290;2343;2382;2347;2363;2404;2443;2477;2500;2548;2569;2602;2625;2663;2734;2778;2797;2817;2855;2893;2929;2971;2992;3013
US Ohio;11689100;105829;38758;331.5738594075;0.7592759472;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;11;12;23;38;78;145;232;300;397;511;654;906;1159;1400;1659;1875;2186;2513;2894;3288;3572;3941;4225;4538;4856;5188;5539;5876;6222;6481;6854;7439;8105;9201;10564;11863;12590;12892;13423;13863;14256;14622;14342;14692;15820;16493;17162;17725;18289;18817;19249;19795;20295;21144;21741;22112;22790;23248;23677;24259;24823;25325;25768;26248;26694;27137;27828;28439;29038;29534;30073;30585;30982;31425;32058;32480;32956;33411;33753;34181;34649;35091;35414;35776;36133;36427;36820;37232;37636;38044;38341;38758
US Oklahoma;3956971;177660;8032;202.9835447366;0.6097783176;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;11;11;21;30;39;85;168;234;283;333;382;457;596;748;852;1020;1112;1184;1308;1354;1505;1606;1674;1775;1872;1977;2049;2135;2235;2332;2361;2442;2560;2641;2757;2855;2923;2981;3006;3132;3195;3334;3463;3563;3684;3756;3833;3902;4026;4117;4179;4278;4300;4414;4530;4636;4757;4903;4976;5064;5150;5191;5336;5505;5615;5689;5742;5784;5874;5913;5979;6059;6147;6214;6329;6441;6541;6588;6635;6781;6836;6992;7108;7251;7471;7689;7846;8032
US Oregon;4217737;248608;5432;128.7894432488;0.6401885681;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;9.5;7;11;13.5;18;20;23;23;29;57;67;92;111.5;134;164;176;235;283;370;431;496;553;635;678;762;829;927;994;1057;1103;1161;1238;1260;1284;1436;1492;1541;1562;1633;1681;1735;1801;1847;1889;1944;2006;2053;2126;2184;2224;2270;2312;2373;2442;2498;2543;2621;2699;2772;2844;2921;3013;3080;3138;3203;3268;3328;3390;3459;3470;3533;3569;3642;3658;3703;3725;3763;3785;3798;3869;3915;3958;4012;4070;4126;4153;4216;4287;4382;4473;4618;4730;4796;4865;5040;5175;5261.3333333333;5347.6666666667;5432
US Pennsylvania;12801989;115883;72507;566.3729284567;0.8432223101;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;4;5;5;6;19;13;25;27;33;59;95;166;235;329;482;611;818;1349;1802;2257;2887;3563;4259;5158;6309;7664;9181;10398;11776;12995;14617;16807;18487;20118;21283;22602;23629;24295;25443;27087;28651;29840;30774;31516;32578;33637;35036;36361;37458;38319;39458;40423;41545;42629;43902;44849;45587;46333;47221;48046;49254;50220;51487;52015;52839;53433;54263;55158;56074;56679;57489;57999;58788;59575;60372;61052;61770;62233;62623;63355;63929;65177;65820;66331;66655;67234;67703;68199;68606;69287;69789;70137;70592;70948;71376;71420;71883;72219;72507
US Puerto Rico;3193694;8868;5737;179.6352437021;0.7913103448;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;10;16;27;31;40;58;83;129;194;235;260;320;392;413;450;509;553;614;648;705;813;819;837;888;951;976;1023;1116;1155;1199;816;993.5;1169;1199;1260;1276;1286;1318;1422;1453;1635;1685;1719;1800;1843;1905;2030;2046;2071;2127;2170;2200;2296;2410;2456;2510;2574;2667;2726;2773;2889;2958;3047;3118;3182;3254;3342;3501;3572;3629;3726;3788;3876;4361;4473;4768;4836;4897;5036;5180;5201;5385;5538;5658;5737
US Rhode Island;1059361;2678;15147;1429.8242053464;0.9035433071;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;3;3;3;3;3;5;9.5;14;20;17.5;17;15;23;32;40;49;58;79;94;97;122;154;183;231;329;409;479;552;591;656;758;907;1044;1249;1514;1813;2134;2439;2743;3012;3278;3572;3898;4183;4435;4757;5112;5475;5874;6300;6711;7017;7278;7482;7785;8153;8483;8800;8978;9146;9401;9667;9974;10200;10392;10666;10842;10980;11180;11339;11526;11723;11956;12075;12219;12614;12815;12964;13180;13293;13338.5;13402;13541;13671;13802;13986;14095;14140;14247;14343;14440;14547;14614;14681;14739;14785;14844;14942;15020;15068.6666666667;15117.3333333333;15147
US South Carolina;5148714;77857;18658;362.3817520258;0.5385636762;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;3;2;1;3;0;3;10;11;34;39.5;50;112;151;254;310;361;389;425.5;459;692;843;986;1186;1447;1626.5;1798;1929;2113;2293;2412;2642;2915;3041;3145;3262;3376;3453;3549.5;3675;3979;4102;4133;4156;4456;4612;4769;4923;5159;5220.5;5258;5526;5724;5878;6109;6246;6300.5;6358;6537;6632;6723;7106;7218;7350;7481;7592;7719;7924;8124.5;8322;8442;8555;8597.5;8650;9100;9350;9550;9621;9848;10048;10200;10538;10795;11261;11546;11808;12034;12384;12814;13272;13633;14141;14555;15076;15748;16476;17244;18079;18658
US South Dakota;884659;196350;5837;659.802251489;0.8691185229;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;8;8.3333333333;8.6666666667;9;10;10;11;12;15.5;19;24;24;35;40;52;62;84;95;102;123;158;180;205;233;281;312;385;438;526;616;719;857;977;1155;1294;1390;1521;1614;1664;1731;1829;1925;2009;2113;2178;2211;2274;2334;2406;2481;2544;2587;2624;2675;2733;2857;3094;3343;3467;3564;3613;3678;3738;3828;3897;3925;3965;4023;4115;4186;4291;4403;4498;4521;4585;4641;4720;4792;4885;4918;4959;4990;5084;5169;5196;5286;5357;5390;5440;5520;5578;5654;5742;5807;5837
US Tennessee;6829174;106798;30568;447.6090373448;0.7226990094;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;1;5;9.5;15;20;26;32;39;50;74;122;191;328;461;550;595;705;863;1105;1272;1436;1725;2115;2548;2704;2925;3176;3485;3650;3981;4196;4464;4694;4936;5127;5426;5635;5884;6063;6385;6553;6860;7019;7168;7603;8029;8485;8947;9424;9667;9787;10093;10448;11601;12366;12879;13270;13385;13629;13783;14126;14439;14649;15206;15768;16017;16343;16610;16924;17024;17644;17997;18144;18560;18986;19372;19727;20186;20530;20870;21238;21617;22094;22531;23071;23882;24325;24611;25005;25547;25855;26413;27033;27505;27971;28549;28957;29848;30568
US Texas;28995881;676587;86705;299.0252305146;0.5666586062;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;4;4;9;5;16;24;22;23;23;25;73;104;199;207;212;256;797;1197;1505;1798;2281;2590;2948;3633;4276;4902;5657;6335;6781;7745;8810;9669;11078;11938;12836;13243;13934;14760;15673;16555;17413;18056;18574;19290;20121;20971;21802;22724;23543;24197;25038;25896;26871;27957;29217;30212;30985;32000;33003;33950;35129;36354;37363;38342;39512;40841;42250;43572;45373;46112;47015;48214;49589;50501;51661;52690;53518;54141;54707;56036;57856;59067;60381;62311;62897;64539;66209;67815;69473;71388;72796;73424;75033;77508;79287;81356;83645;85461;86705
US Utah;3205958;212818;14440;450.4113902927;0.6665435746;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;3;4;15;26;35;46;56;71;105;128;173;244;286;333;389;463;584;701;788;868;992;1053;1223;1403;1578;1647;1706;1812;1941;2063;2165;2262;2322;2367;2497;2637;2759;2882;3019;3163;3240;3387;3551;3721;3882;4056;4165;4270;4420;4597;4751;4903;5095;5237;5361;5505;5632;5826;6006;6154;6264;6331;6515;6643;6806;6956;7125;7271;7405;7593;7757;7937;8139;8271;8397;8493;8578;8790;9125;9394;9658;9856;10057;10348;10661;11097;11643;11908;12164;12396;12701;13088;13411;13814;14146;14440
US Vermont;623989;23871;1072;171.7979002835;0.8874172185;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;5;11;27;32;54;74;102;137;162;189;209;229;265;291;329;355;425;474;505;537;568;591;637;669;687;708;714;723;732;743;752;762;765;768;776;779;781;790;799;802;809;811;813;826;832;843;847;852;855;860;862;864;872;872.5;873;875;876;876;877;885;887;889;891;893;895;897;899;901;907;912;916;919;920;922;926;928;933;935;970;971;990;1007;1019;1028;1039;1054;1063;1069;1071;1072
US Virgin Islands;104425;350;7;6.7033756284;0.875;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;3;3.3333333333;3.6666666667;4;4.2;4.4;4.6;4.8;5;5.0909090909;5.1818181818;5.2727272727;5.3636363636;5.4545454545;5.5454545455;5.6363636364;5.7272727273;5.8181818182;5.9090909091;6;6.1111111111;6.2222222222;6.3333333333;6.4444444444;6.5555555556;6.6666666667;6.7777777778;6.8888888889;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
US Virgin Islands;104425;350;67;64.1608810151;0.8271604938;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;3;3;6;10.5;16;16.5;17;17.5;18;21;22;29;30;31;32;36;37;39;40;41;42;43;47;48;47.2857142857;47.5714285714;47.8571428571;48.1428571429;48.4285714286;48.7142857143;49;49.3333333333;49.6666666667;50;50.25;50.5;50.75;51;53;54;54.5;56;60;60.25;60.5;60.75;61;61.25;61.5;61.75;62;62.5;63;63.0454545455;63.0909090909;63.1363636364;63.1818181818;63.2272727273;63.2727272727;63.3181818182;63.3636363636;63.4090909091;63.4545454545;63.5;63.5454545455;63.5909090909;63.6363636364;63.6818181818;63.7272727273;63.7727272727;63.8181818182;63.8636363636;63.9090909091;63.9545454545;64;64.3333333333;64.6666666667;65;65.1666666667;65.3333333333;65.5;65.6666666667;65.8333333333;66;66.2;66.4;66.6;66.8;67
US Virginia;8535519;102279;53146;622.6452076318;0.854588432;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;16;20.5;23;26;40;43;53;68;100;168;200;227;316;351;483;609;749;871;1096;1289;1498;1781;2149;2360;2578;3009;3296;3670;4099;4641;4826;5289;5679;5978;6337;6910;7437;7877;8306;8917;9553;10229;10782;11539;12131;12685;13448;14034;14891;15924;16729;17662;18478;19215;19839;20471;21206;22037;22910;23862;24564;25465;26475;27314;28313;29013;29748;30738;31480;32692;33497;34289;34772;36250;37846;38735;39881;40999;42070;43061;43846;44669;45322;46270;46930;47790;49070;49631;50093;50516;50972;51511;52145;52774;53146
US Washington;7614893;172119;26183;343.8393684586;0.8246094734;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;3;3;3;4;6;7;8;9.5;11;12;13;14.5;16;17;16;17.5;17;23;27;39;45;53;62;67;79;91;113;142;168;191;228;248;320;381;456;544;639;709;801;939;1100;1307;1506;1738;2019;2264;2501;2859;3170;3528;3836;4213;4472;4735;5161;5494;5886;6241;6600;6903;7206;7594;7889;8318;8630;8900;9134;9338;9653;9907;10184;10464;10736;10940;11037;11330;11538;11833;12071;12360;12583;12753;13056;13292;13513;13758;14022;14205;14371;14635;14853;15080;15334;15670;15810;15943;16208;16468;16687;16877;17080;17225;17394;17680;17882;18101;18329;18544;18727;18873;19168;19411;19655;19853;20145;20343;20499;20750;21023;21307;21563;21853;22071;22243;22581;22865;23154;23451;23778;23972;24154;24462;24728;24997;25266;25525;25681;25785;26183
