Country/Region;Population;Area;% Max;% Min;% Latest;% Last Day;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21
US Puerto Rico;3193694;8868;0.3144128479;0.0694899243;0.091164815;0.0367412141;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2793390077;0.2854265234;0.2787788523;0.2797896621;0.2717539319;0.2799524047;0.3017601542;0.3144128479;0.2989146463;0.260661546;0.2170579959;0.1775113701;0.1531649706;0.1324395259;0.1139575572;0.1047985397;0.1003018329;0.1020207108;0.1050868698;0.1037513003;0.1031663397;0.0886628979;0.0730978761;0.0694899243;0.0730735362;0.0816212899;0.0858791604;0.091164815
US Rhode Island;1059361;2678;0.2845242867;0.0938870271;0.0938870271;0.0805500982;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1716632277;0.2203298681;0.2709719004;0.2845242867;0.2713538106;0.2493097202;0.2275125782;0.212263416;0.1969146269;0.1965245898;0.2086533951;0.2329340673;0.2526409129;0.2598594899;0.2518359495;0.2153454278;0.1781378174;0.1508077683;0.146203766;0.1528629531;0.1619440928;0.176499522;0.184473355;0.1909103731;0.1901196368;0.1854298466;0.1694640854;0.1488570803;0.1310683693;0.1160574713;0.1084721785;0.1020422607;0.0978148852;0.0938870271
US South Carolina;5148714;77857;0.4270078439;0.059151529;0.0839639651;0.0070326679;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3697382502;0.3939938891;0.3748460826;0.4008949092;0.3772045827;0.4191690908;0.4270078439;0.3825334014;0.3117509826;0.2140422167;0.1534800706;0.1405337143;0.1637943578;0.19814788;0.2301841848;0.2239643813;0.2058250857;0.184234524;0.1617972521;0.1392672794;0.1170647518;0.101328245;0.0957899781;0.0945575475;0.0943807645;0.0968227266;0.0881314893;0.0751198142;0.0634558032;0.059151529;0.0605914387;0.0694395396;0.0791532414;0.0875715385;0.0839639651
US South Dakota;884659;196350;0.2685169372;0.0840674177;0.0840674177;0.0415430267;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1292357583;0.1719567062;0.1996556765;0.2520247056;0.2685169372;0.2546895303;0.2488772665;0.2412737495;0.2439221948;0.2208190788;0.2028578505;0.1823691004;0.1809225279;0.1874001835;0.1891392921;0.1825478548;0.1680467759;0.1721835641;0.1791919088;0.188094962;0.1948160292;0.1967852575;0.1999787509;0.1918217726;0.1920780529;0.1870154135;0.1729345676;0.1544034522;0.1287373011;0.1064027793;0.0840674177
US Tennessee;6829174;106798;0.4945851074;0.0759323044;0.0789232533;0.0215529152;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3052654727;0.3087985877;0.355244821;0.4072966854;0.465073924;0.4945851074;0.4657918483;0.3931858233;0.291665958;0.2193939441;0.1894958252;0.1902150466;0.1927279813;0.190128028;0.1808095879;0.1826138249;0.1821172119;0.1730438362;0.1493302636;0.120307002;0.1011630715;0.0920458951;0.0906788341;0.0881804959;0.0869012843;0.0820048363;0.0784873153;0.0759323044;0.0786098158;0.0829445518;0.080824433;0.0793508309;0.0793455114;0.0805673958;0.0796243836;0.0789232533
US Texas;28995881;676587;0.4864685843;0.0743798469;0.0743798469;0.0379278446;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3404561136;0.3347463934;0.302393584;0.2117449004;0.1630749568;0.1911762406;0.2720429774;0.3897550798;0.4340923607;0.3719616769;0.2798582343;0.2890738681;0.3579082117;0.4364713705;0.4864685843;0.3907045061;0.2864679092;0.2108190657;0.1867785063;0.1769168102;0.1759327572;0.1754016369;0.1664535916;0.1477903157;0.1306166382;0.128277884;0.1289708787;0.1354018433;0.1366600862;0.1350415819;0.1190854158;0.0988425758;0.0850679727;0.0755847093;0.0780043071;0.0829479166;0.0860749984;0.0801129822;0.0743798469
US Utah;3205958;212818;0.3173777035;0.0612401075;0.0953187604;0.0258325552;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3173777035;0.2913828974;0.2956548725;0.3161602927;0.3084953096;0.2914097945;0.2524030676;0.2120552981;0.1967757674;0.1963592143;0.2037224895;0.1950601063;0.1726894667;0.1439513706;0.1304821522;0.1287541854;0.1369273922;0.1438597696;0.1301837933;0.1087519619;0.0849408569;0.0766137936;0.0795694526;0.0855860857;0.0825486354;0.0719639808;0.0644331064;0.0612401075;0.0714296773;0.0864466761;0.0992969468;0.1003174617;0.0953187604
US Vermont;623989;23871;0.3709337943;0.0268653233;0.0499686836;0.0024509804;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3709337943;0.3610918843;0.3612017427;0.3460454141;0.3075144623;0.2717542932;0.2222781238;0.1772346781;0.1459807612;0.1274962387;0.1162951704;0.1138536535;0.1200401779;0.1319772816;0.1431190495;0.1398586785;0.1222623336;0.098054216;0.081939169;0.0779714254;0.078066147;0.0738991091;0.0636702017;0.0495694972;0.0332296599;0.0268653233;0.0317694682;0.0395623609;0.0486385731;0.0499686836
US Virgin Islands;104425;350;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
US Virgin Islands;104425;350;0.1260031246;0.0181687225;0.0316016192;0.0062111801;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0664482441;0.0507639578;0.0885440732;0.1166947643;0.1260031246;0.1173501117;0.0896149593;0.0848979589;0.0906059784;0.1128212765;0.0961095771;0.0737830785;0.0499870659;0.0493056056;0.0583757834;0.0659716036;0.0794380273;0.0583693652;0.0369373267;0.0181687225;0.0197937049;0.0224015194;0.0260703892;0.028474538;0.0316016192
