Country/Region;Population;Area;% Max;% Min;% Latest;% Last Day;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21
US Delaware;973764;5047;0.247866224;0.0638742472;0.0638742472;0.0677595628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2421015078;0.2330732542;0.247866224;0.2468985482;0.2465031049;0.2392027681;0.2210028635;0.2056736453;0.188842607;0.1702890443;0.1539888582;0.1428032021;0.1521239582;0.1590020167;0.1761234618;0.1866827024;0.1812604997;0.1688074301;0.1488989999;0.1368929761;0.1172814755;0.098072356;0.0821739305;0.077105414;0.0764455743;0.0832910012;0.0844101079;0.0779677798;0.0715782854;0.0638742472
US District of Columbia;705749;158;0.369175965;0.0559254357;0.05855117;0.0584215921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1808612863;0.216563085;0.316074013;0.3579060687;0.369175965;0.3336021605;0.2560935946;0.2356948045;0.2233595679;0.2368400246;0.2294668205;0.2029458329;0.1740829214;0.1611635199;0.1659192125;0.173936427;0.1750421996;0.1690061509;0.1571398166;0.1465933337;0.1344505711;0.1283736558;0.119541566;0.1144466617;0.106793486;0.0911515111;0.0766235865;0.0623337448;0.0577440555;0.0559254357;0.0578611449;0.0620806386;0.0631972209;0.0615012478;0.05855117
US Florida;21477737;138887;0.43393625;0.0361887282;0.0361887282;0.0313203301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1676415488;0.2240499804;0.3099383027;0.3905071592;0.43393625;0.4166180146;0.4169849132;0.383394145;0.3835942158;0.3716256027;0.3303821822;0.3147164068;0.2922267221;0.2842312814;0.2834775449;0.2646768609;0.2701524301;0.260707928;0.2541785785;0.239529722;0.2055993703;0.1858122952;0.1616473163;0.1563174198;0.1502202246;0.1447707933;0.1313657869;0.1096704453;0.0911722326;0.0776880241;0.068302173;0.0620648811;0.0584708336;0.0558058378;0.0532817181;0.0478888911;0.0443407965;0.0419723584;0.0398368911;0.0393593531;0.0361887282
US Georgia;10617423;148959;0.4217295767;0.0453065458;0.0453065458;0.049295403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4193844478;0.4217295767;0.4010039832;0.351685936;0.3208166989;0.3333697538;0.3495357704;0.346884218;0.3141548968;0.2762042515;0.2584679295;0.2558245848;0.2624557467;0.251997293;0.2321299568;0.1981086973;0.1842870386;0.1787771571;0.1866358413;0.1923288921;0.1657385994;0.131364197;0.0965831988;0.0954754139;0.1069424512;0.1195963662;0.1225490466;0.107001622;0.0851198271;0.0667753038;0.0577185852;0.055915487;0.0559711166;0.0598300407;0.060238989;0.0574098016;0.051758204;0.0453065458
US Guam;162742;543;0.2433991174;-0.0044806071;-0.0044806071;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2433991174;0.1944808901;0.1698988742;0.1445204812;0.133893419;0.1034317174;0.0830533804;0.0781105726;0.0891932923;0.0950397698;0.0907172171;0.0909803259;0.0867335332;0.0923641942;0.0850473013;0.0665800101;0.0475937856;0.0310391697;0.0254724908;0.0182129417;0.0135911587;0.009300394;0.0059294219;0.0032490565;0.0015425003;-0.0004624279;-0.0027790912;-0.0044806071
US Hawaii;1415872;16635;0.3702183532;0.0219339607;0.0228214295;0.0068965517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3702183532;0.3408266613;0.2961923171;0.2394944261;0.198583981;0.1540021405;0.1402737373;0.1422427017;0.1617046297;0.1628756245;0.1546048119;0.1391378165;0.1292961539;0.1293831855;0.1164620919;0.1023586196;0.0789067104;0.0657413933;0.0544644785;0.0488303413;0.0450259343;0.041572065;0.0371200677;0.0316271614;0.02722403;0.0229881994;0.0219339607;0.0235006306;0.0242487222;0.0228214295
US Idaho;1787065;214045;0.4142135624;0.0203066347;0.0216071509;0.038277512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2716977157;0.2652197672;0.3383505165;0.4052258217;0.4142135624;0.343304137;0.2650393837;0.2323318742;0.2402572741;0.2701891124;0.2709858567;0.2426905357;0.1867047754;0.1256926942;0.0784898428;0.0491713952;0.0442902999;0.044243263;0.0453046417;0.0402135002;0.0308847061;0.0219965105;0.0203066347;0.0245592011;0.0314419174;0.0323056626;0.0262053576;0.0216071509
US Illinois;12671821;143793;0.5892544371;0.0506504467;0.0506504467;0.0492255935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3243050208;0.4142135624;0.5131749175;0.5728338887;0.5892544371;0.5362305461;0.4499888572;0.3715332351;0.3136962724;0.27649988;0.2558765277;0.2467268409;0.2378262945;0.241820667;0.2197528437;0.2046896553;0.1879080891;0.1678095911;0.1573093398;0.1456608997;0.1405924856;0.1314619657;0.1197356718;0.1097822143;0.1022645222;0.0988371542;0.096021971;0.0909469724;0.0833690028;0.0756887283;0.0690519159;0.0616328601;0.0584931795;0.0567727019;0.0566463328;0.0546553392;0.0506504467
US Indiana;6732219;92789;0.4756255798;0.0495602004;0.0512605035;0.0351702892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.197494774;0.2309969626;0.2736617335;0.316074013;0.3750845794;0.4454756206;0.4714547144;0.4756255798;0.4331336815;0.3833951021;0.3763706852;0.3642754653;0.3564163575;0.3212796105;0.2693122032;0.2285128148;0.2013444555;0.1884519895;0.1756617624;0.1603378403;0.1442496849;0.1323096197;0.1197229143;0.108233815;0.0959803403;0.08626691;0.0795899215;0.0730310767;0.064887448;0.05585294;0.0495602004;0.0496911752;0.0528305734;0.0561975601;0.0554645341;0.0512605035
US Iowa;3155070;144669;0.307459695;0.0768119331;0.1066819197;0.1525799304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1001908367;0.1201687828;0.1525720491;0.1839566242;0.2442541544;0.2869630544;0.307459695;0.2991017419;0.2545086603;0.2188366197;0.2074357068;0.2222845653;0.2346306197;0.2396580742;0.2245622508;0.1986967705;0.1756338383;0.1517905268;0.1367613267;0.1248021767;0.1187068955;0.1134545343;0.1058461729;0.1014318762;0.0997354996;0.098536573;0.0933086469;0.0854389646;0.0811493816;0.0768187377;0.0770322476;0.0770205063;0.0768119331;0.0843234681;0.0917584229;0.1066819197
US Kansas;2913314;211754;0.4035716208;0.0456391701;0.0518614702;0.0196374622;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4035716208;0.3260829012;0.2693035456;0.2315936651;0.2453017995;0.2533472278;0.2681186311;0.2643616997;0.2470405268;0.2244704187;0.1929586036;0.1693247845;0.1492957268;0.1379984874;0.1274500249;0.1187216103;0.1079065583;0.1010163809;0.0986909139;0.0935633721;0.0917263837;0.0823306346;0.072488138;0.0602811257;0.0495792898;0.0456391701;0.0471714966;0.052703752;0.056089061;0.0569018421;0.0518614702
US Kentucky;4467673;102269;0.3265198641;0.0533283911;0.0590304632;0.0304054054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1928162828;0.2063224072;0.2321731024;0.3048038402;0.3265198641;0.3191099593;0.2971208949;0.244017184;0.2376448733;0.2298112493;0.2513471712;0.2406951571;0.2147498483;0.19197964;0.1670206423;0.1580086029;0.1480614645;0.1363698292;0.1146537332;0.0899018023;0.0807582907;0.0860407047;0.1156813075;0.1365447062;0.1423490557;0.122907591;0.0871910193;0.0666707962;0.0543505368;0.0561588842;0.0547683888;0.0533283911;0.0574600527;0.0590304632
US Louisiana;4648794;111898;0.4492826246;0.020457964;0.020457964;0.0134975329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4492826246;0.4023398762;0.4044350532;0.3918255101;0.3794491737;0.360113626;0.3360865298;0.3254559114;0.3034908786;0.2745789179;0.2527245207;0.2185183608;0.1865982354;0.1693923058;0.1701689972;0.2133724219;0.2417840582;0.2568240126;0.229141273;0.1801834446;0.14302682;0.1082175591;0.0956611386;0.0782209705;0.0684436128;0.0557688721;0.0454015033;0.0371144799;0.0288530374;0.0247072838;0.0234085643;0.02333153;0.0230019852;0.0220972789;0.020457964
US Maine;1344212;79883;0.2421214794;0.0238899082;0.0238899082;0.0148571429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2421214794;0.2040252024;0.2035202457;0.2012087069;0.1830505297;0.1509260757;0.1356880503;0.134874991;0.1456363542;0.1518999417;0.1462976868;0.1279494553;0.1173828727;0.1105458986;0.1016463813;0.0863876193;0.0660746416;0.0531635745;0.0444445706;0.0424789945;0.0431595617;0.0422608355;0.0476860198;0.0524682057;0.0573112486;0.0580908088;0.052917119;0.0457893729;0.0364463766;0.030032798;0.0238899082
US Maryland;6045680;25142;0.3800875287;0.0588178194;0.0588178194;0.0371967261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3431440278;0.3543842877;0.3800875287;0.374378053;0.3433954745;0.3049217282;0.2678135304;0.2416315846;0.2340337406;0.2525283298;0.2774326874;0.2975815231;0.2812987993;0.2480955395;0.2117490957;0.1875216282;0.1803795365;0.1748136573;0.1704280629;0.1588893473;0.1418393548;0.1414738193;0.1409479541;0.1473904318;0.1474654565;0.1318596757;0.114931474;0.0926955649;0.0807406985;0.0725571238;0.0684214311;0.0681067183;0.065893216;0.0640249878;0.0588178194
US Massachusetts;6892503;20202;0.4005404973;0.0535988637;0.0535988637;0.0393814017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4003714823;0.2213285344;0.1613342982;0.1273047426;0.1437136109;0.1570248062;0.1811887122;0.2180054711;0.2414425431;0.2552598115;0.2483996725;0.2685724338;0.3139899621;0.3596927083;0.4005404973;0.3998231424;0.3477498869;0.2893842532;0.2330705759;0.1934130677;0.1698790942;0.1601240595;0.1575059096;0.1456057488;0.130325477;0.1126220199;0.1017448635;0.1011883607;0.1047170681;0.1087475445;0.1089508879;0.1023196098;0.0915669427;0.0785532933;0.0682645823;0.0643282896;0.06342324;0.0639465636;0.0603098648;0.0535988637
US Michigan;9986857;146435;0.4099317735;0.0249427533;0.0249427533;0.03021875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3951333506;0.3659235746;0.3691007459;0.3889250814;0.4099317735;0.4051268185;0.3817216554;0.3442320462;0.3116849147;0.282812144;0.2632096341;0.2449379893;0.2236139578;0.1980686157;0.1722131752;0.1540819022;0.1379967203;0.1268915112;0.1168771873;0.1107358328;0.1037000892;0.0971997527;0.0915983795;0.0869757231;0.0852238391;0.0859574426;0.0876273503;0.0869482949;0.0838386985;0.0795719441;0.0740800811;0.0667510569;0.0590794876;0.0527805738;0.0496923934;0.0477357523;0.0465181997;0.0446897463;0.0426493537;0.042415049;0.0413866452;0.0390707751;0.0339887484;0.0281192738;0.0249427533
US Minnesota;5639632;206232;0.3404561136;0.053728885;0.062913782;0.0392712551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3404561136;0.2642367443;0.2308636873;0.2191854496;0.2444364173;0.2407719799;0.2304741351;0.2067787276;0.1743967607;0.1549442747;0.143823759;0.1415768106;0.1345073145;0.1243859395;0.1130858866;0.0993281443;0.0883027757;0.0812796237;0.0783965081;0.0772823722;0.0757732125;0.0755801958;0.0758212807;0.0758032031;0.0811232499;0.0790770187;0.0740296481;0.0650879553;0.0542704346;0.053728885;0.056881202;0.065383377;0.06772172;0.062913782
US Mississippi;2976149;121531;0.5888696452;0.0579741468;0.0579741468;0.045212766;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5829741655;0.5888696452;0.5435270335;0.4748724671;0.3681441036;0.2898743315;0.246965478;0.2213992643;0.205826197;0.1769456103;0.1524653887;0.1341081612;0.1235386503;0.1230675261;0.119307303;0.117215207;0.10959309;0.1004436486;0.0911491691;0.0854193946;0.0864925868;0.0864185252;0.0868495226;0.078709517;0.0695668901;0.0623637223;0.0628485389;0.0653884504;0.0663419282;0.0641694922;0.0609490289;0.0579741468
US Missouri;6137428;178040;0.594153416;0.033085104;0.033085104;0.0230755984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.594153416;0.5393216692;0.5222091002;0.4494082686;0.3872190642;0.3182390608;0.2557292268;0.2117741581;0.1833181095;0.1805277636;0.1849959566;0.1732211856;0.1450295856;0.1169242059;0.1011010985;0.0985803851;0.0997108029;0.0964179185;0.0874129275;0.0716382505;0.0614740914;0.055437614;0.0529982104;0.0522740007;0.0501314787;0.0471323729;0.0419869793;0.0370137266;0.033085104
US Montana;1068778;376962;0.309426962;0.0126507357;0.0126507357;0.0045977011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3073288509;0.2901868197;0.2620993111;0.2853377558;0.2906453898;0.309426962;0.2783557607;0.217047278;0.1627582232;0.1217045278;0.1054610884;0.0962065411;0.0897528836;0.0825103794;0.0745699318;0.0662500549;0.0606849088;0.0544984545;0.0493262345;0.0441011742;0.0360617118;0.0293660081;0.0222824357;0.0191505345;0.0174563944;0.0171390681;0.017100212;0.0152470752;0.0126507357
US Nebraska;1934408;198974;0.2141307269;0.0608177828;0.1086041524;0.118046133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1423119139;0.1310191414;0.1408288703;0.1472179321;0.169863967;0.1723346544;0.1594533819;0.1385548759;0.1204893531;0.1264873046;0.1407372264;0.1539249391;0.1703833119;0.1802831411;0.2001740289;0.2141307269;0.2046627404;0.1878055721;0.1626631769;0.148590261;0.1348255147;0.1291017585;0.1232565686;0.1201860942;0.1176393955;0.1151034013;0.1073430742;0.0951974968;0.0798277947;0.0639248695;0.0608177828;0.0625431811;0.0779046168;0.0937965091;0.1086041524
US Nevada;3080156;284332;0.4422641006;0.0340009261;0.0340009261;0.0279373368;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4422641006;0.3420739232;0.2831343116;0.2468826436;0.2554728415;0.2643616997;0.2665348686;0.245829052;0.2291636733;0.2193171178;0.2239378967;0.2345424234;0.2234630854;0.2119387621;0.1940436098;0.1576391662;0.133166836;0.1062476713;0.0948023784;0.0842955378;0.0776624147;0.0773945047;0.0739622875;0.0713090986;0.0630626907;0.0552303007;0.0485678609;0.0461276798;0.0432893178;0.0427068052;0.041622978;0.0408001115;0.0383781037;0.0340009261
US New Hampshire;1359711;23187;0.3233253839;0.0380330098;0.0380330098;0.0711206897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3233253839;0.2967431533;0.2465589881;0.2231812976;0.2008830158;0.2051970575;0.1944279679;0.1855347898;0.1813605873;0.1989677064;0.2199043913;0.2272779664;0.2170654564;0.1702554814;0.1320912569;0.1066397483;0.1052127447;0.1057867959;0.10326912;0.0889988038;0.0713071699;0.0575030806;0.0492953772;0.0495722987;0.0503601667;0.058182071;0.0637980177;0.0678119807;0.0678109681;0.0582781439;0.0467709086;0.0380330098
US New Jersey;8882190;19047;0.594778479;0.0434364907;0.0434364907;0.040323852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4515959323;0.5007375128;0.5116164957;0.5425844211;0.594778479;0.557388902;0.5278695791;0.4753147264;0.4347509985;0.4225955257;0.3860514786;0.3793303256;0.3481868057;0.3354862089;0.3217810252;0.2879524279;0.2476912937;0.210448122;0.188631447;0.1724092294;0.1645698571;0.1522880725;0.1408458081;0.1215660462;0.1036426136;0.0891825637;0.0794697348;0.0741624046;0.0705029062;0.0661203694;0.0627777581;0.0570230809;0.0536387033;0.0505258338;0.0476325094;0.0464883474;0.0439104966;0.0434364907
US New Mexico;2096829;314161;0.2641960881;0.0566937081;0.0575596928;0.0682926829;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2565212539;0.2641960881;0.2633232088;0.2404499354;0.2077809063;0.1849775028;0.1642050481;0.1634535122;0.1743080514;0.2038699069;0.2280240035;0.235331968;0.2223918444;0.1813413309;0.141917887;0.1199979796;0.1286869844;0.1393954124;0.147368977;0.144227632;0.1365346015;0.1294570395;0.1341628524;0.1362346956;0.1272712542;0.1093465651;0.08163126;0.0665878587;0.0566937081;0.0602548245;0.0622256851;0.063130715;0.0603044982;0.0575596928
US New York;19453561;122057;0.5957167355;0.0274927488;0.0274927488;0.0168799897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4189131263;0.3484292596;0.3114660192;0.3169870028;0.332493911;0.3283790364;0.3713217843;0.4126720302;0.4892371185;0.5773138757;0.5902545388;0.5957167355;0.540722552;0.4585241335;0.3754752856;0.3019170952;0.2484112606;0.2143997254;0.1925827187;0.1744393584;0.1567730128;0.1391528561;0.1264109781;0.1183533475;0.1123420788;0.1063487913;0.0982320364;0.0884839524;0.0790658511;0.0725721487;0.0696979479;0.0687583134;0.0653972372;0.0592717406;0.0512471928;0.0457503963;0.0428465678;0.0422345257;0.0412113885;0.0379407354;0.0330867817;0.0274927488
US North Carolina;10488084;125920;0.4345671897;0.0477421596;0.0528322029;0.0276463631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2842282703;0.3001186521;0.3554030054;0.41252696;0.4345671897;0.3850388476;0.3373398596;0.3013997691;0.2783019841;0.2680612853;0.2519711222;0.2292877821;0.2086360959;0.1922419231;0.1710250416;0.1589144971;0.1395283767;0.1337140695;0.1269818433;0.1230638078;0.1189742617;0.1063623675;0.0981961262;0.0873912325;0.0815383919;0.0756409799;0.072948882;0.0692729852;0.0595777811;0.052136964;0.0477421596;0.0501402891;0.05436578;0.0557692429;0.0528322029
