Country/Region;Population;Area;Latest;Per 100,000 inh.;% Confirmed;Blank 2;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26
US New York;19453561;122057;25351;130.315472833;0.0696769973;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;22;33;76;105;142;173;216;318.5;421;524;726;943;1693;2370;4130;7067;10280;15054;20733;25455;30526;36873;44116;51590;58548;65279;74095;81330;88229;95761;103348;106863;109814;113198;118505;122679;125877;128140;129181;128534;126413;130067;129903;126779;123028;120755;116823;112827;107900;103523;101078;101685;99351;96965;92898;85912;82088;78672;76245;73629;71441;69502;66762;64189;58817;50979;47350;45059;43379;40970;38679;37499;35255;33706;32418;31653;30392;28809;27747;26804;26120;25709;25351
US North Carolina;10488084;125920;8794;83.8475359274;0.3642916321;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;7;9.5;12;15;23;32;33;40;62;96;135;182;253;295;391;494.5;624;748;912;1008;1274;1458;1521;1760;1956;2218;2330;2573;2823;2922;3015;3145;3377;3480;3509;3526;3539;3608;3766;3738;3908;3894;3730;3794;3957;4144;4311;4310;4326;4544;4825;5044;5064;5369;5171;5084;5305;5538;5789;5816;5737;5934;5903;5778;5868;5998;6206;6473;6848;7175;7444;7364;7463;7750;8365;8458;8919;8794
US North Dakota;762062;178711;851;111.6707039585;0.3463573464;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;3;6;15;20;28;29;30;34;39;51;64;82;97;107;123;136;144;153;158;178;195;203;212;217;213;210;210;222;215;223;234;266;342;378;402;407;428;440;470;510;559;611;650;668;674;668;625;606;598;622;644;662;677;661;624;576;580;614;637;654;695;709;706;728;772;858;892;901;927;939;851
US Ohio;11689100;105829;7756;66.3524137872;0.234987578;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;4;5;13;24.5;36;50;67;88;119;168;244;348;436;556;694;852;1118;1381;1617;1883;2132;2459;2783;3143;3492;3692;4008;4218;4444;4645;4741;4844;4951;5042;5081;5244;5512;5795;6483;7559;8469;8943;8969;9182;9291;9337;9359;8724;8848;9512;9613;9636;9113;8312;7555;7244;7459;7437;7847;8110;8118;9078;9122;8418;8330;8211;8139;8009;7980;7983;7860;8036;7778;7711;7830;7700;7756
US Oklahoma;3956971;177660;1405;35.5069572155;0.2289392211;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;3;3;4;9;10;17;29;43;48;52;65;79;103;159;241;314;362;413;464;542;689;835;939;1106;1185;1246;1366;1360;1436;1472;1491;1541;1588;1619;1544;1478;1477;1411;1347;1353;1335;1370;1333;1327;1325;1283;1211;1226;1210;1261;1283;1281;1373;1364;1320;1307;1313;1303;1297;1336;1333;1322;1379;1344;1338;1386;1338;1354;1362;1331;1350;1425;1470;1448;1477;1405
US Oregon;4217737;248608;616;14.6049884097;0.1552810688;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;7;14;14.5;15;19;24.5;30;33;36;39;47;72;85;111;130.5;147;176.5;194;249;302.5;384;446;512;567;643;661;738;785;861.5;907;941;972;971;994;932;892;979;978;943;927;910;886;845;842;824;821;820;806;831;882;784;770;767;783;774;794;791;770;803;837;857;862;891;907;917;932;951;970;969;962;977;943;928;887;885;828;796;728;699;663;616
US Pennsylvania;12801989;115883;10646;83.1589528783;0.1551058467;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;10;12;16;22;41;47;63;76;96;132;184;266;367;473;634;839;1111;1665;2177;2704;3331;4011;4747;5672;6831;8152;9646;11031;12336;13708;15112;16541;17761;18904;19439;20112;20502;20685;20719;21021;21052;20774;20252;19969;19445;18825;18673;18394;18332;17851;17919;17876;18028;17530;17236;16983;16860;16429;16161;15862;15586;15267;15446;15104;14727;14332;13873;13651;13306;12967;12964;12709;12684;12477;12020;11667;11102;11032;10646
US Puerto Rico;3193694;8868;1025;32.0944962166;0.3083634176;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7.25;9.5;11.75;14;21;22;29;37;49;62;76;97;122;168;231;275;304;363;431;452;482;534;569;619;646;688;770;729;684;688;727;690;666;738;739;725;295;412.5;551;519;474;486;477;459;496;507;639;595;591;626;1053;935.5;880;866;827;867;899;896;888;967;832;838;867;881;898;882;874;927;991;1004;1025
US Rhode Island;1059361;2678;2596;245.0533859563;0.1826882477;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;3;2;3;3;3;5;9.5;14;20;19.5;20;21;31;42;51;64;80;103;121;127;155.5;189;219;273.5;381;466;533;613;655;740;839;976;1106;1318;1562;1812;2110;2371;2574;2762;2963;3181;3468;3673;3833;4016;4237;4395;4535;4684;4780;4774;4732;4675;4718;4783;4785;4810;4722;4554;4466;4360;4268;4080;3860;3835;3742;3688;3588;3395;3257;3145;3197;3143;3018;3151;3041;2957;2963;2791;2687.5;2596
US South Carolina;5148714;77857;2489;48.3421685493;0.2389592934;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;7;8;9;10;12;13;19;27;32;59;69.5;80;150;192;291;353;415;446;485.5;526;755;897;1050;1233;1483.5;1654.5;1765;1854;1935;2056;2128;2336;2567.5;2668;2545;2511;2470;2363;2239.5;2195.5;2329;2328;2175;2022;2209;2125;2020;2046;2171;2115.5;2060;2225;2301.5;2327;2243;2249;2283.5;2318;2175;2122;2057;2278;2163;2238.5;2314;2177;2094;2149;2045;2035;2250.5;2299;2179.5;2136;2496;2364;2443;2388;2489
