Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;% aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26
US New Mexico;2096829;314161;320;15.2611395588;0.0455451181;0.0516795866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;4;5;6;7;10;11;12;12;13;16;19;19;20;26;31;36;36;44;51;53;55;58;65;71;78;84;93;99;104;110;112;123;131;139;151;156;162;169;172;181;191;200;208;219;231;242;253;259;265;270;276;283;294;302;308;317;320
US New York;19453561;122057;23564;121.129493978;0.0647654438;0.0664954708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;7;7;12;12;35;44;114;114;210;285;385;519;728;965;1218;1550;1941;2373;2935;3565;4159;4758;5489;6268;7067;7844;8627;9385;10056;10834;11586;12192;12822;13362;13869;14347;14828;15302;15740;16162;16599;16966;17303;17638;18015;18321;18610;18909;19189;19415;19645;19877;20828;21045;21271;21478;21640;21845;22013;22170;22304;22478;22619;22729;22843;22976;23083;23195;23282;23391;23488;23564
US North Carolina;10488084;125920;766;7.3035265545;0.0317315659;0.0380677865;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;1;2;3;4;4;6;8;10;16;19;24;31;33;46;53;65;74;80;81;86;108;117;131;152;164;172;179;213;242;253;269;289;299;306;342;354;378;399;420;422;430;452;477;507;527;544;547;550;577;597;615;641;652;659;661;691;702;716;728;737;744;754;766
US North Dakota;762062;178711;54;7.086037619;0.021978022;0.0257756563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;3;3;3;3;3;3;4;4;5;6;7;8;8;9;9;9;9;9;10;13;13;14;15;15;16;17;19;19;19;19;23;24;25;25;25;31;31;33;35;35;36;38;40;40;42;42;43;44;45;49;51;52;52;53;54;54
US Ohio;11689100;105829;2002;17.1270670967;0.0606556384;0.0680119581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;3;6;8;10;15;19;25;29;39;55;65;81;91;102;119;142;167;193;213;231;247;253;274;324;361;389;418;451;471;509;557;610;656;690;711;728;753;799;937;975;1002;1021;1038;1056;1135;1225;1271;1306;1331;1341;1357;1436;1483;1534;1581;1610;1625;1657;1720;1781;1836;1872;1956;1969;1987;2002
US Oklahoma;3956971;177660;318;8.0364501029;0.0518168486;0.057483731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;3;5;7;8;15;16;17;23;30;34;38;42;46;51;67;79;80;88;94;96;99;108;123;131;136;139;140;143;164;170;179;188;194;195;197;207;214;222;230;238;238;238;247;253;260;266;270;272;274;278;278;284;285;288;288;288;294;299;304;307;311;311;313;318
US Oregon;4217737;248608;148;3.5089907218;0.0373077893;0.0389371218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;3;4;5;8;8;11;12;13;13;16;18;18;21;22;26;27;27;33;33;44;44;48;52;53;55;58;64;70;72;74;75;78;78;83;86;87;91;92;92;101;103;104;109;109;109;113;115;121;124;127;127;130;130;134;137;137;137;137;138;140;144;145;147;147;148;148;148
US Pennsylvania;12801989;115883;5152;40.2437464991;0.0750615557;0.0798400719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;6;7;11;16;22;34;38;49;63;74;90;102;136;150;162;240;309;338;416;494;507;524;584;647;707;756;836;1112;1204;1564;1622;1421;1492;1537;1550;1597;1716;2195;2292;2354;2418;2444;2458;3012;3106;3416;3616;3688;3707;3731;3806;3943;4218;4342;4403;4418;4505;4624;4624;4869;4984;5096;5124;5139;5152
US Puerto Rico;3193694;8868;129;4.0392097677;0.0388086643;0.0450104676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;2;3;3;5;6;8;11;12;15;18;20;21;23;24;33;39;42;44;45;45;51;56;58;60;62;63;64;67;69;77;83;84;84;86;86;92;92;95;97;97;99;99;102;107;108;111;113;114;115;117;122;122;123;124;124;125;126;126;127;127;129;129
US Rhode Island;1059361;2678;634;59.8473985733;0.0446164673;0.0474693022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;8;10;12;14;17;25;27;30;35;43;49;56;63;73;80;87;105;118;150;164;175;186;201;213;202;215;226;233;239;251;266;279;296;320;341;355;370;388;399;418;422;430;444;462;468;479;489;499;506;532;538;556;579;597;608;608;634
