Country/Region;Population;Area;% Max;% Min;% Latest;% Last Day;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26
US Massachusetts;6892503;20202;0.4454961064;0.008861195;0.008861195;0.0045244503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4163301264;0.3690081224;0.3651484912;0.3647438922;0.3459991079;0.34462833;0.3763225592;0.4120797255;0.4454961064;0.4326865767;0.3676559387;0.3011622918;0.2397952482;0.1977462421;0.1729548948;0.1627459372;0.1597348026;0.147410543;0.131749732;0.1137114209;0.1026152202;0.1019575993;0.1054397023;0.1094419714;0.1095969865;0.102957024;0.0922258518;0.0795554884;0.0702757536;0.0682382409;0.069766203;0.0729233974;0.0700966369;0.0625774482;0.0534618268;0.0487739352;0.0491202979;0.0518960046;0.053072671;0.0489675365;0.0421402282;0.0353712734;0.0321897014;0.0318774845;0.0323885771;0.0321686198;0.0299702841;0.0265794559;0.0232990796;0.0211600791;0.0210085694;0.0214186868;0.0211806745;0.0190982732;0.0160169601;0.0135551112;0.0129515537;0.0137709802;0.0154994777;0.0164522967;0.0160345571;0.0147093372;0.0130406754;0.0121744353;0.0114647725;0.0110574694;0.0105968643;0.009807795;0.008861195
US Michigan;9986857;146435;0.4099317735;0.0065304453;0.0065304453;0.004063337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3951333506;0.3659235746;0.3691007459;0.3889250814;0.4099317735;0.4051268185;0.3817216554;0.3442320462;0.3116849147;0.282812144;0.2632096341;0.2449379893;0.2236139578;0.1980686157;0.1722131752;0.1540819022;0.1379967203;0.1268915112;0.1168771873;0.1107358328;0.1037000892;0.0971997527;0.0915983795;0.0869757231;0.0852238391;0.0859574426;0.0876273503;0.0869482949;0.0838386985;0.0795719441;0.0740800811;0.0667510569;0.0590794876;0.0527805738;0.0496923934;0.0477357523;0.0465181997;0.0446897463;0.0426493537;0.042415049;0.0413866452;0.0390707751;0.0339887484;0.0281192738;0.0249427533;0.0237214809;0.0260316279;0.0296554591;0.031530068;0.0306285176;0.0258048699;0.0213822212;0.0194377905;0.0204571637;0.0233394422;0.0244507874;0.023439473;0.0197924828;0.0156728391;0.0124846254;0.0109915391;0.0114786261;0.0123122796;0.0125412369;0.0115474074;0.0102145453;0.009305047;0.0101392845;0.0114767444;0.01280962;0.0132131329;0.0127132239;0.0121947364;0.0116308225;0.0115689819;0.0110031681;0.0101106088;0.0089137064;0.0078630131;0.0065304453
US Minnesota;5639632;206232;0.3404561136;0.0383938573;0.0385877387;0.03026038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3404561136;0.2642367443;0.2308636873;0.2191854496;0.2444364173;0.2407719799;0.2304741351;0.2067787276;0.1743967607;0.1549442747;0.143823759;0.1415768106;0.1345073145;0.1243859395;0.1130858866;0.0993281443;0.0883027757;0.0812796237;0.0783965081;0.0772823722;0.0757732125;0.0755801958;0.0758212807;0.0758032031;0.0811232499;0.0790770187;0.0740296481;0.0650879553;0.0542704346;0.053728885;0.056881202;0.065383377;0.06772172;0.062913782;0.0578146844;0.0551347805;0.0588477965;0.0667357209;0.0716754938;0.0718832402;0.0700248373;0.0719717566;0.080757824;0.0930889655;0.1018076611;0.1016798146;0.09573325;0.0881828615;0.0847036817;0.0848835724;0.0863744645;0.0859288876;0.0796172822;0.0703796788;0.0613023583;0.0531947854;0.048442722;0.0463774554;0.046433979;0.0479511455;0.0488386352;0.0485561441;0.0461142228;0.0419716704;0.0394374981;0.0383938573;0.0385921912;0.0393635449;0.0385877387
US Mississippi;2976149;121531;0.5888696452;0.0195359232;0.0237765291;0.0202853321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5829741655;0.5888696452;0.5435270335;0.4748724671;0.3681441036;0.2898743315;0.246965478;0.2213992643;0.205826197;0.1769456103;0.1524653887;0.1341081612;0.1235386503;0.1230675261;0.119307303;0.117215207;0.10959309;0.1004436486;0.0911491691;0.0854193946;0.0864925868;0.0864185252;0.0868495226;0.078709517;0.0695668901;0.0623637223;0.0628485389;0.0653884504;0.0663419282;0.0641694922;0.0609490289;0.0579741468;0.0551970997;0.0522720036;0.0495112157;0.0482881461;0.0484308605;0.04674442;0.0433776092;0.039050768;0.0369215718;0.0382726437;0.0400557789;0.0396470994;0.0376413945;0.034995799;0.0336632387;0.0333564288;0.0345900014;0.0353189081;0.0335756443;0.030528189;0.0264421507;0.0224174465;0.0217345234;0.0238339741;0.0274244734;0.028639511;0.0265629193;0.0235241384;0.0201789336;0.0195359232;0.0211920544;0.0239500629;0.0258840982;0.0256193407;0.0237765291
US Missouri;6137428;178040;0.594153416;0.0123999752;0.016549183;0.0101915016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.594153416;0.5393216692;0.5222091002;0.4494082686;0.3872190642;0.3182390608;0.2557292268;0.2117741581;0.1833181095;0.1805277636;0.1849959566;0.1732211856;0.1450295856;0.1169242059;0.1011010985;0.0985803851;0.0997108029;0.0964179185;0.0874129275;0.0716382505;0.0614740914;0.055437614;0.0529982104;0.0522740007;0.0501314787;0.0471323729;0.0419869793;0.0370137266;0.033085104;0.029669544;0.0281226654;0.0294539578;0.0322426061;0.034047462;0.033535131;0.0299150522;0.0258725765;0.0217974347;0.0210914203;0.0233855255;0.0271410474;0.0321120807;0.0336857068;0.0325661078;0.0292927145;0.0251115571;0.022631201;0.0201770548;0.0183923586;0.0160425737;0.0134980974;0.0124056032;0.0123999752;0.0138199743;0.0150719045;0.0155846125;0.0150150476;0.0140806827;0.0132975659;0.0130191712;0.0137036641;0.0150016707;0.0163471188;0.016549183
US Montana;1068778;376962;0.309426962;0.0001740493;0.0001740493;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3073288509;0.2901868197;0.2620993111;0.2853377558;0.2906453898;0.309426962;0.2783557607;0.217047278;0.1627582232;0.1217045278;0.1054610884;0.0962065411;0.0897528836;0.0825103794;0.0745699318;0.0662500549;0.0606849088;0.0544984545;0.0493262345;0.0441011742;0.0360617118;0.0293660081;0.0222824357;0.0191505345;0.0174563944;0.0171390681;0.017100212;0.0152470752;0.0126507357;0.0093687045;0.0071440008;0.0059361152;0.0049440564;0.0049215948;0.0045215923;0.0043116568;0.0039212777;0.0035339526;0.0031519812;0.0025863878;0.0023952267;0.0022050851;0.0018345335;0.0014042835;0.0009144957;0.000730194;0.0008511163;0.0009720546;0.0010930969;0.0012125644;0.0015131841;0.0021747138;0.0028943863;0.0034875161;0.0037773853;0.003585572;0.0032171997;0.0037343941;0.0044252785;0.0051134524;0.0047532366;0.0031562728;0.00157192;0.0001740493
US Nebraska;1934408;198974;0.2141307269;0.022336568;0.022336568;0.018213285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1423119139;0.1310191414;0.1408288703;0.1472179321;0.169863967;0.1723346544;0.1594533819;0.1385548759;0.1204893531;0.1264873046;0.1407372264;0.1539249391;0.1703833119;0.1802831411;0.2001740289;0.2141307269;0.2046627404;0.1878055721;0.1626631769;0.148590261;0.1348255147;0.1291017585;0.1232565686;0.1201860942;0.1176393955;0.1151034013;0.1073430742;0.0951974968;0.0798277947;0.0639248695;0.0608177828;0.0625431811;0.0779046168;0.0937965091;0.1086041524;0.1130554103;0.1038443524;0.0976063596;0.0958348458;0.1071005337;0.1208727112;0.1266524708;0.1130952348;0.0964139451;0.0874152438;0.0906810746;0.1029782084;0.1119066987;0.1092608569;0.0932375758;0.0750159966;0.0613808033;0.0591160989;0.0598437942;0.0602642351;0.0534332241;0.0408703031;0.0316223312;0.0275806579;0.0299006536;0.0354889814;0.0359864461;0.0349990234;0.0300707784;0.0260409916;0.0242594164;0.0233420227;0.0246625973;0.0236327477;0.022336568
US Nevada;3080156;284332;0.4422641006;0.0155296129;0.020271566;0.0149765199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4422641006;0.3420739232;0.2831343116;0.2468826436;0.2554728415;0.2643616997;0.2665348686;0.245829052;0.2291636733;0.2193171178;0.2239378967;0.2345424234;0.2234630854;0.2119387621;0.1940436098;0.1576391662;0.133166836;0.1062476713;0.0948023784;0.0842955378;0.0776624147;0.0773945047;0.0739622875;0.0713090986;0.0630626907;0.0552303007;0.0485678609;0.0461276798;0.0432893178;0.0427068052;0.041622978;0.0408001115;0.0383781037;0.0340009261;0.0313693511;0.0296362738;0.0320255406;0.0341008705;0.0339163084;0.031317287;0.0266961654;0.0229341647;0.0207986155;0.0225771706;0.0245971139;0.026236834;0.0250133703;0.0221952448;0.0189571824;0.0161869071;0.0163114828;0.0172201115;0.0183280113;0.0179422575;0.0175535187;0.016271784;0.0161773163;0.0164018638;0.0159650786;0.0165037219;0.0155296129;0.0162842183;0.0165624728;0.0161684708;0.0166772875;0.0180434045;0.020091436;0.0211878301;0.020271566
US New Hampshire;1359711;23187;0.3233253839;0.016469014;0.019817026;0.0115690528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3233253839;0.2967431533;0.2465589881;0.2231812976;0.2008830158;0.2051970575;0.1944279679;0.1855347898;0.1813605873;0.1989677064;0.2199043913;0.2272779664;0.2170654564;0.1702554814;0.1320912569;0.1066397483;0.1052127447;0.1057867959;0.10326912;0.0889988038;0.0713071699;0.0575030806;0.0492953772;0.0495722987;0.0503601667;0.058182071;0.0637980177;0.0678119807;0.0678109681;0.0582781439;0.0467709086;0.0380330098;0.0376659251;0.040290843;0.0433504554;0.0418544349;0.0401658252;0.0384570788;0.0389144374;0.0394836874;0.0376585205;0.0369530944;0.0388712311;0.0432648728;0.0511327078;0.0527954605;0.0474380822;0.0378474627;0.0291370114;0.0283012271;0.0294598146;0.0336306596;0.0333226431;0.029943935;0.0256020079;0.023403306;0.0232544235;0.0234255393;0.022934443;0.0194699555;0.0165235327;0.016469014;0.0196265672;0.0242773784;0.0257457817;0.0239459315;0.019817026
US New Jersey;8882190;19047;0.594778479;0.0056818299;0.0056818299;0.0043329121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4515959323;0.5007375128;0.5116164957;0.5425844211;0.594778479;0.557388902;0.5278695791;0.4753147264;0.4347509985;0.4225955257;0.3860514786;0.3793303256;0.3481868057;0.3354862089;0.3217810252;0.2879524279;0.2476912937;0.210448122;0.188631447;0.1724092294;0.1645698571;0.1522880725;0.1408458081;0.1215660462;0.1036426136;0.0891825637;0.0794697348;0.0741624046;0.0705029062;0.0661203694;0.0627777581;0.0570230809;0.0536387033;0.0505258338;0.0476325094;0.0464883474;0.0439104966;0.0434364907;0.0417931509;0.0412718703;0.0392333674;0.0366038989;0.0340436728;0.0310550028;0.0289422199;0.0262470462;0.0243629158;0.0225252707;0.0213637874;0.0215207891;0.0208149554;0.020096184;0.0181964473;0.0160669333;0.014373699;0.0130761337;0.0127538608;0.0120519652;0.0111837722;0.0097500197;0.0083697548;0.0074995207;0.0073595564;0.0076558953;0.0083964572;0.0087689099;0.0090004539;0.0088162185;0.0084970624;0.0077518851;0.0069262396;0.006297768;0.0056818299
US New Mexico;2096829;314161;0.2641960881;0.0206341661;0.0226993567;0.0119544865;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2565212539;0.2641960881;0.2633232088;0.2404499354;0.2077809063;0.1849775028;0.1642050481;0.1634535122;0.1743080514;0.2038699069;0.2280240035;0.235331968;0.2223918444;0.1813413309;0.141917887;0.1199979796;0.1286869844;0.1393954124;0.147368977;0.144227632;0.1365346015;0.1294570395;0.1341628524;0.1362346956;0.1272712542;0.1093465651;0.08163126;0.0665878587;0.0566937081;0.0602548245;0.0622256851;0.063130715;0.0603044982;0.0575596928;0.0528409006;0.0519664871;0.0561248628;0.0608385619;0.0644824325;0.0604271235;0.0536289755;0.0463590188;0.0448423057;0.0496445416;0.0541557881;0.0574270864;0.0534177427;0.0487957531;0.0434934376;0.0398745698;0.03884465;0.0375307011;0.0378384578;0.0352869571;0.0329296264;0.029966471;0.0291935323;0.0294956255;0.0295761573;0.0296568102;0.0277760923;0.0270554586;0.0247341192;0.0224798828;0.0211448922;0.0206341661;0.0221079615;0.0228289735;0.0226993567
